Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-12-01,1,ACAPULCO,830.46,778.63,61.77,-9.94
2016-12-01,2,ACAPULCO,688.79,637.69,58.34,-7.23
2016-12-01,3,ACAPULCO,621.9,578.63,48.05,-4.78
2016-12-01,4,ACAPULCO,586.19,547.29,42.77,-3.88
2016-12-01,5,ACAPULCO,572.5,532.74,41.8,-2.04
2016-12-01,6,ACAPULCO,644.97,598.48,51.46,-4.97
2016-12-01,7,ACAPULCO,694.97,639.1,57.95,-2.08
2016-12-01,8,ACAPULCO,840.86,775.75,69.65,-4.54
2016-12-01,9,ACAPULCO,887.85,831.4,59.61,-3.15
2016-12-01,10,ACAPULCO,1029.98,964.25,69.8,-4.07
2016-12-01,11,ACAPULCO,1164.56,1077.15,91.82,-4.41
2016-12-01,12,ACAPULCO,1168.65,1078.93,93.72,-4
2016-12-01,13,ACAPULCO,1155.13,1070.56,90.71,-6.14
2016-12-01,14,ACAPULCO,1124.87,1062.71,68.38,-6.22
2016-12-01,15,ACAPULCO,1161.35,1078.53,88.83,-6.01
2016-12-01,16,ACAPULCO,1147.75,1063.46,89.71,-5.42
2016-12-01,17,ACAPULCO,1142.78,1094.62,53.68,-5.51
2016-12-01,18,ACAPULCO,1176.62,1094.09,91.39,-8.85
2016-12-01,19,ACAPULCO,1168.86,1078.55,98.79,-8.48
2016-12-01,20,ACAPULCO,1171.86,1077.75,108.5,-14.39
2016-12-01,21,ACAPULCO,1174.3,1071.23,117.49,-14.41
2016-12-01,22,ACAPULCO,1155.57,1058.5,111.42,-14.35
2016-12-01,23,ACAPULCO,1082.92,1000.36,96.47,-13.91
2016-12-01,24,ACAPULCO,930.88,873.69,68.52,-11.33
2016-12-01,1,AGUASCALIENTES,850.85,778.63,-1.16,73.38
2016-12-01,2,AGUASCALIENTES,691.09,637.69,.11,53.3
2016-12-01,3,AGUASCALIENTES,614.73,578.63,.84,35.26
2016-12-01,4,AGUASCALIENTES,577.23,547.29,1.37,28.57
2016-12-01,5,AGUASCALIENTES,548.91,532.74,1.15,15.03
2016-12-01,6,AGUASCALIENTES,636.62,598.48,1.45,36.69
2016-12-01,7,AGUASCALIENTES,655.15,639.1,.7,15.35
2016-12-01,8,AGUASCALIENTES,807.84,775.75,-1.12,33.22
2016-12-01,9,AGUASCALIENTES,854.21,831.4,3.53,19.28
2016-12-01,10,AGUASCALIENTES,990.56,964.25,3.79,22.52
2016-12-01,11,AGUASCALIENTES,1105.44,1077.15,5.42,22.87
2016-12-01,12,AGUASCALIENTES,1102.82,1078.93,4.17,19.72
2016-12-01,13,AGUASCALIENTES,1113.2,1070.56,5.26,37.38
2016-12-01,14,AGUASCALIENTES,1106.63,1062.71,6.99,36.93
2016-12-01,15,AGUASCALIENTES,1120.07,1078.53,6.52,35.02
2016-12-01,16,AGUASCALIENTES,1102.4,1063.46,6.38,32.57
2016-12-01,17,AGUASCALIENTES,1136.32,1094.62,9.08,32.62
2016-12-01,18,AGUASCALIENTES,1167.49,1094.09,8.16,65.24
2016-12-01,19,AGUASCALIENTES,1147.02,1078.55,5.94,62.54
2016-12-01,20,AGUASCALIENTES,1179.84,1077.74,-4.11,106.2
2016-12-01,21,AGUASCALIENTES,1171.56,1071.23,-5.9,106.23
2016-12-01,22,AGUASCALIENTES,1158.09,1058.5,-6.46,106.05
2016-12-01,23,AGUASCALIENTES,1104.22,1000.36,.96,102.91
2016-12-01,24,AGUASCALIENTES,957.66,873.69,.1,83.87
2016-12-01,1,APATZINGAN,842.79,778.63,40.14,24.02
2016-12-01,2,APATZINGAN,687.92,637.69,32.79,17.44
2016-12-01,3,APATZINGAN,616.53,578.63,26.37,11.53
2016-12-01,4,APATZINGAN,582.06,547.29,25.43,9.34
2016-12-01,5,APATZINGAN,561.68,532.74,24.03,4.91
2016-12-01,6,APATZINGAN,641.1,598.48,30.65,11.98
2016-12-01,7,APATZINGAN,681.85,639.1,37.73,5.01
2016-12-01,8,APATZINGAN,836.03,775.75,49.41,10.87
2016-12-01,9,APATZINGAN,894.15,831.4,58.2,4.56
2016-12-01,10,APATZINGAN,1037.75,964.25,70.2,3.31
2016-12-01,11,APATZINGAN,1157.54,1077.15,79.27,1.12
2016-12-01,12,APATZINGAN,1157.11,1078.93,78.88,-.7
2016-12-01,13,APATZINGAN,1161.02,1070.56,79.62,10.85
2016-12-01,14,APATZINGAN,1150.92,1062.71,78.96,9.25
2016-12-01,15,APATZINGAN,1169.16,1078.53,82.83,7.8
2016-12-01,16,APATZINGAN,1151.13,1063.46,80.86,6.82
