Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-02-01,1,ACAPULCO,633.43,591.13,42.3,0
2016-02-01,2,ACAPULCO,575.95,535.94,40.01,0
2016-02-01,3,ACAPULCO,542.93,507.12,35.81,0
2016-02-01,4,ACAPULCO,527.74,493.4,34.34,0
2016-02-01,5,ACAPULCO,522.28,488.94,33.34,0
2016-02-01,6,ACAPULCO,510.32,479.51,30.82,0
2016-02-01,7,ACAPULCO,546.69,509.81,36.87,0
2016-02-01,8,ACAPULCO,578.67,543.2,35.47,0
2016-02-01,9,ACAPULCO,648.3,607.98,40.32,0
2016-02-01,10,ACAPULCO,683.85,640.33,43.53,0
2016-02-01,11,ACAPULCO,694.06,651.78,42.28,0
2016-02-01,12,ACAPULCO,702.6,661.08,41.52,0
2016-02-01,13,ACAPULCO,719.34,677.68,41.66,0
2016-02-01,14,ACAPULCO,716.64,674.43,42.21,0
2016-02-01,15,ACAPULCO,709.97,677.2,32.78,0
2016-02-01,16,ACAPULCO,698.92,657.76,41.16,0
2016-02-01,17,ACAPULCO,697.95,656.91,41.04,0
2016-02-01,18,ACAPULCO,689.06,646.36,42.7,0
2016-02-01,19,ACAPULCO,723.5,672.42,51.09,0
2016-02-01,20,ACAPULCO,745.15,718.15,27,0
2016-02-01,21,ACAPULCO,710.18,678.33,31.86,0
2016-02-01,22,ACAPULCO,742.02,684.74,57.27,0
2016-02-01,23,ACAPULCO,703.72,654.08,49.65,0
2016-02-01,24,ACAPULCO,695.26,647.21,48.05,0
2016-02-01,1,AGUASCALIENTES,599.11,591.13,7.98,0
2016-02-01,2,AGUASCALIENTES,541.53,535.94,5.59,0
2016-02-01,3,AGUASCALIENTES,515.17,507.12,8.05,0
2016-02-01,4,AGUASCALIENTES,500.94,493.4,7.54,0
2016-02-01,5,AGUASCALIENTES,495.81,488.94,6.87,0
2016-02-01,6,AGUASCALIENTES,487.04,479.51,7.53,0
2016-02-01,7,AGUASCALIENTES,517.65,509.81,7.84,0
2016-02-01,8,AGUASCALIENTES,552.54,543.2,9.34,0
2016-02-01,9,AGUASCALIENTES,619.28,607.98,11.3,0
2016-02-01,10,AGUASCALIENTES,654.53,640.33,14.2,0
2016-02-01,11,AGUASCALIENTES,669.01,651.78,17.22,0
2016-02-01,12,AGUASCALIENTES,678.75,661.08,17.67,0
2016-02-01,13,AGUASCALIENTES,696.99,677.68,19.31,0
2016-02-01,14,AGUASCALIENTES,693.75,674.43,19.32,0
2016-02-01,15,AGUASCALIENTES,693.4,677.2,16.2,0
2016-02-01,16,AGUASCALIENTES,676.98,657.76,19.22,0
2016-02-01,17,AGUASCALIENTES,674.54,656.91,17.63,0
2016-02-01,18,AGUASCALIENTES,663.08,646.36,16.73,0
2016-02-01,19,AGUASCALIENTES,686.71,672.42,14.29,0
2016-02-01,20,AGUASCALIENTES,733.1,718.15,14.95,0
2016-02-01,21,AGUASCALIENTES,686.48,678.33,8.15,0
2016-02-01,22,AGUASCALIENTES,699.2,684.74,14.46,0
2016-02-01,23,AGUASCALIENTES,670.24,654.08,16.17,0
2016-02-01,24,AGUASCALIENTES,659.95,647.21,12.74,0
2016-02-01,1,APATZINGAN,609.82,591.13,18.69,0
2016-02-01,2,APATZINGAN,553.12,535.94,17.18,0
2016-02-01,3,APATZINGAN,523.77,507.12,16.65,0
2016-02-01,4,APATZINGAN,510.11,493.4,16.71,0
2016-02-01,5,APATZINGAN,503.73,488.94,14.79,0
2016-02-01,6,APATZINGAN,493.74,479.51,14.24,0
2016-02-01,7,APATZINGAN,526.36,509.81,16.55,0
2016-02-01,8,APATZINGAN,563.65,543.2,20.45,0
2016-02-01,9,APATZINGAN,632.93,607.98,24.95,0
2016-02-01,10,APATZINGAN,670.91,640.33,30.58,0
2016-02-01,11,APATZINGAN,687.43,651.78,35.65,0
2016-02-01,12,APATZINGAN,698.38,661.08,37.3,0
2016-02-01,13,APATZINGAN,717.46,677.68,39.78,0
2016-02-01,14,APATZINGAN,715.28,674.43,40.85,0
2016-02-01,15,APATZINGAN,713.27,677.2,36.07,0
2016-02-01,16,APATZINGAN,697.22,657.76,39.45,0
2016-02-01,17,APATZINGAN,694.83,656.91,37.92,0
2016-02-01,18,APATZINGAN,685.24,646.36,38.88,0
2016-02-01,19,APATZINGAN,710.59,672.42,38.17,0
2016-02-01,20,APATZINGAN,763.48,718.15,45.33,0
2016-02-01,21,APATZINGAN,715.59,678.33,37.26,0
2016-02-01,22,APATZINGAN,722.91,684.74,38.17,0
2016-02-01,23,APATZINGAN,690.71,654.08,36.64,0
2016-02-01,24,APATZINGAN,675.95,647.21,28.75,0
2016-02-01,1,CABORCA,560.68,591.13,-30.45,0
2016-02-01,2,CABORCA,503.79,535.94,-32.15,0
2016-02-01,3,CABORCA,496.56,507.12,-10.57,0
2016-02-01,4,CABORCA,483.07,493.4,-10.33,0
2016-02-01,5,CABORCA,474.13,488.94,-14.81,0
2016-02-01,6,CABORCA,464.65,479.51,-14.86,0
2016-02-01,7,CABORCA,493.54,509.81,-16.27,0
2016-02-01,8,CABORCA,519.9,543.2,-23.3,0
2016-02-01,9,CABORCA,572.78,607.98,-35.2,0
2016-02-01,10,CABORCA,606.69,640.33,-33.64,0
2016-02-01,11,CABORCA,625.71,651.78,-26.07,0
2016-02-01,12,CABORCA,622.16,661.08,-38.91,0
2016-02-01,13,CABORCA,648.25,677.68,-29.43,0
2016-02-01,14,CABORCA,636.94,674.43,-37.49,0
2016-02-01,15,CABORCA,636.94,677.2,-40.25,0
2016-02-01,16,CABORCA,620.27,657.76,-37.5,0
2016-02-01,17,CABORCA,620.27,656.91,-36.64,0
2016-02-01,18,CABORCA,617.31,646.36,-29.05,0
2016-02-01,19,CABORCA,631.2,672.42,-41.21,0
2016-02-01,20,CABORCA,663.55,718.15,-54.6,0
2016-02-01,21,CABORCA,596.26,678.33,-82.07,0
2016-02-01,22,CABORCA,643.68,684.74,-41.06,0
2016-02-01,23,CABORCA,631.24,654.08,-22.83,0
2016-02-01,24,CABORCA,605.79,647.21,-41.41,0
2016-02-01,1,CAMARGO,557.34,591.13,-33.8,0
2016-02-01,2,CAMARGO,503.54,535.94,-32.4,0
2016-02-01,3,CAMARGO,512.26,507.12,5.14,0
2016-02-01,4,CAMARGO,498.14,493.4,4.74,0
2016-02-01,5,CAMARGO,487.32,488.94,-1.62,0
2016-02-01,6,CAMARGO,475.49,479.51,-4.02,0
2016-02-01,7,CAMARGO,497.32,509.81,-12.49,0
2016-02-01,8,CAMARGO,523.29,543.2,-19.92,0
2016-02-01,9,CAMARGO,564.18,607.98,-43.8,0
2016-02-01,10,CAMARGO,594.86,640.33,-45.47,0
2016-02-01,11,CAMARGO,613.93,651.78,-37.86,0
2016-02-01,12,CAMARGO,611.86,661.08,-49.22,0
2016-02-01,13,CAMARGO,633.34,677.68,-44.34,0
2016-02-01,14,CAMARGO,628.26,674.43,-46.17,0
2016-02-01,15,CAMARGO,625.21,677.2,-51.99,0
2016-02-01,16,CAMARGO,612.15,657.77,-45.62,0
2016-02-01,17,CAMARGO,607.92,656.91,-48.99,0
2016-02-01,18,CAMARGO,602.94,646.36,-43.41,0
2016-02-01,19,CAMARGO,620.17,672.42,-52.24,0
2016-02-01,20,CAMARGO,664.62,718.15,-53.53,0
2016-02-01,21,CAMARGO,614.73,678.33,-63.6,0
2016-02-01,22,CAMARGO,637.57,684.74,-47.17,0
2016-02-01,23,CAMARGO,617.92,654.08,-36.15,0
2016-02-01,24,CAMARGO,596.99,647.21,-50.22,0
2016-02-01,1,CAMPECHE,630.21,591.13,39.07,0
2016-02-01,2,CAMPECHE,564.05,535.94,28.11,0
2016-02-01,3,CAMPECHE,526.11,507.12,18.99,0
2016-02-01,4,CAMPECHE,508.31,493.4,14.91,0
2016-02-01,5,CAMPECHE,502.33,488.94,13.39,0
2016-02-01,6,CAMPECHE,489.45,479.51,9.94,0
2016-02-01,7,CAMPECHE,523.75,509.81,13.93,0
2016-02-01,8,CAMPECHE,559.48,543.2,16.28,0
2016-02-01,9,CAMPECHE,634.7,607.98,26.72,0
2016-02-01,10,CAMPECHE,666.36,640.33,26.04,0
2016-02-01,11,CAMPECHE,661.48,651.78,9.69,0
2016-02-01,12,CAMPECHE,665.07,661.08,3.99,0
2016-02-01,13,CAMPECHE,686.28,677.68,8.6,0
2016-02-01,14,CAMPECHE,689.32,674.43,14.89,0
2016-02-01,15,CAMPECHE,722.84,677.2,45.65,0
2016-02-01,16,CAMPECHE,667.77,657.76,10.01,0
2016-02-01,17,CAMPECHE,676.67,656.91,19.76,0
2016-02-01,18,CAMPECHE,660.1,646.36,13.74,0
2016-02-01,19,CAMPECHE,697.03,672.42,24.61,0
2016-02-01,20,CAMPECHE,771.35,718.15,53.2,0
2016-02-01,21,CAMPECHE,756.42,678.33,78.1,0
2016-02-01,22,CAMPECHE,726.58,684.74,41.84,0
2016-02-01,23,CAMPECHE,667.28,654.08,13.21,0
2016-02-01,24,CAMPECHE,690.18,647.21,42.97,0
2016-02-01,1,CANCUN,643.66,591.13,52.53,0
2016-02-01,2,CANCUN,575.04,535.94,39.1,0
2016-02-01,3,CANCUN,534.82,507.12,27.7,0
2016-02-01,4,CANCUN,516.73,493.4,23.33,0
2016-02-01,5,CANCUN,510.71,488.94,21.77,0
2016-02-01,6,CANCUN,498.16,479.51,18.66,0
2016-02-01,7,CANCUN,534.6,509.81,24.79,0
2016-02-01,8,CANCUN,574.06,543.2,30.86,0
2016-02-01,9,CANCUN,653.63,607.98,45.65,0
2016-02-01,10,CANCUN,686.8,640.33,46.47,0
2016-02-01,11,CANCUN,683.08,651.78,31.3,0
2016-02-01,12,CANCUN,686.94,661.08,25.86,0
2016-02-01,13,CANCUN,709.35,677.68,31.68,0
2016-02-01,14,CANCUN,711.9,674.43,37.47,0
2016-02-01,15,CANCUN,745.42,677.2,68.22,0
2016-02-01,16,CANCUN,688.57,657.76,30.8,0
2016-02-01,17,CANCUN,697.24,656.91,40.32,0
2016-02-01,18,CANCUN,681.12,646.36,34.76,0
2016-02-01,19,CANCUN,720.96,672.42,48.54,0
2016-02-01,20,CANCUN,795.63,718.15,77.48,0
2016-02-01,21,CANCUN,778.74,678.33,100.42,0
