Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-07-16,1,ACAPULCO,952.63,922.9,24.94,4.79
2016-07-16,2,ACAPULCO,940.51,876.47,63.05,.98
2016-07-16,3,ACAPULCO,925.37,864.58,59.51,1.28
2016-07-16,4,ACAPULCO,920.44,857.72,61.51,1.21
2016-07-16,5,ACAPULCO,985.72,916.86,67.94,.92
2016-07-16,6,ACAPULCO,961.48,893.73,67.41,.34
2016-07-16,7,ACAPULCO,865.08,819.83,44.54,.7
2016-07-16,8,ACAPULCO,858.76,814.52,44.24,0
2016-07-16,9,ACAPULCO,984.73,925.58,59.14,0
2016-07-16,10,ACAPULCO,1005.47,992.23,13.24,0
2016-07-16,11,ACAPULCO,1040.76,986.67,54.09,0
2016-07-16,12,ACAPULCO,1017.07,997.45,19.62,0
2016-07-16,13,ACAPULCO,1055.48,1001.01,54.47,0
2016-07-16,14,ACAPULCO,1054.61,1034.78,19.83,0
2016-07-16,15,ACAPULCO,1058.14,1034.36,23.77,0
2016-07-16,16,ACAPULCO,1012.16,989.83,22.33,0
2016-07-16,17,ACAPULCO,976.34,962.37,13.98,0
2016-07-16,18,ACAPULCO,1033.15,1008.56,24.59,0
2016-07-16,19,ACAPULCO,986.31,968.93,17.38,0
2016-07-16,20,ACAPULCO,1009.07,951.75,56.83,.48
2016-07-16,21,ACAPULCO,1029.91,990.97,38.64,.31
2016-07-16,22,ACAPULCO,1042.46,992.03,49.96,.48
2016-07-16,23,ACAPULCO,1032.42,950.13,81.72,.57
2016-07-16,24,ACAPULCO,1032.08,954.34,77.31,.44
2016-07-16,1,AGUASCALIENTES,967.03,922.9,41.34,2.78
2016-07-16,2,AGUASCALIENTES,922.94,876.47,43.09,3.38
2016-07-16,3,AGUASCALIENTES,910.08,864.58,41.1,4.4
2016-07-16,4,AGUASCALIENTES,898.64,857.72,36.74,4.18
2016-07-16,5,AGUASCALIENTES,957.31,916.86,37.27,3.18
2016-07-16,6,AGUASCALIENTES,929.59,893.73,34.69,1.17
2016-07-16,7,AGUASCALIENTES,854.33,819.83,32.45,2.04
2016-07-16,8,AGUASCALIENTES,842.61,814.52,28.09,0
2016-07-16,9,AGUASCALIENTES,961.64,925.58,36.06,0
2016-07-16,10,AGUASCALIENTES,1029.5,992.23,37.27,0
2016-07-16,11,AGUASCALIENTES,1034.4,986.67,47.74,0
2016-07-16,12,AGUASCALIENTES,1033.22,997.45,35.77,0
2016-07-16,13,AGUASCALIENTES,1036.4,1001.01,35.39,0
2016-07-16,14,AGUASCALIENTES,1072.52,1034.78,37.73,0
2016-07-16,15,AGUASCALIENTES,1070.02,1034.36,35.66,0
2016-07-16,16,AGUASCALIENTES,1025.06,989.83,35.24,0
2016-07-16,17,AGUASCALIENTES,1003.21,962.37,40.85,0
2016-07-16,18,AGUASCALIENTES,1049.53,1008.56,40.97,0
2016-07-16,19,AGUASCALIENTES,1012.8,968.93,43.86,0
2016-07-16,20,AGUASCALIENTES,993.99,951.75,40.57,1.66
2016-07-16,21,AGUASCALIENTES,1028.56,990.97,36.52,1.06
2016-07-16,22,AGUASCALIENTES,1025.28,992.03,31.6,1.65
2016-07-16,23,AGUASCALIENTES,980.92,950.13,28.79,2
2016-07-16,24,AGUASCALIENTES,990.39,954.34,34.69,1.37
2016-07-16,1,APATZINGAN,972.97,922.9,46.01,4.06
2016-07-16,2,APATZINGAN,937.64,876.47,52.32,8.85
2016-07-16,3,APATZINGAN,925.88,864.58,49.79,11.51
2016-07-16,4,APATZINGAN,915.93,857.72,47.34,10.87
2016-07-16,5,APATZINGAN,979.19,916.86,54.05,8.28
2016-07-16,6,APATZINGAN,950.46,893.73,53.69,3.04
2016-07-16,7,APATZINGAN,871.74,819.83,46.63,5.28
2016-07-16,8,APATZINGAN,863.08,814.52,48.56,0
2016-07-16,9,APATZINGAN,984.02,925.58,58.44,0
2016-07-16,10,APATZINGAN,1045.98,992.23,53.75,0
2016-07-16,11,APATZINGAN,1052.56,986.67,65.89,0
2016-07-16,12,APATZINGAN,1049.62,997.45,52.17,0
2016-07-16,13,APATZINGAN,1052.72,1001.01,51.71,0
2016-07-16,14,APATZINGAN,1089.44,1034.78,54.66,0
2016-07-16,15,APATZINGAN,1087.11,1034.36,52.74,0
2016-07-16,16,APATZINGAN,1038.06,989.83,48.23,0
2016-07-16,17,APATZINGAN,1014.49,962.37,52.12,0
2016-07-16,18,APATZINGAN,1069.81,1008.56,61.26,0
2016-07-16,19,APATZINGAN,1028.19,968.93,59.26,0
2016-07-16,20,APATZINGAN,1016.23,951.75,60.02,4.46
2016-07-16,21,APATZINGAN,1044.97,990.97,51.15,2.85
2016-07-16,22,APATZINGAN,1050.18,992.03,53.67,4.48
2016-07-16,23,APATZINGAN,1006.98,950.13,51.48,5.36
2016-07-16,24,APATZINGAN,1012.09,954.34,54.18,3.57
2016-07-16,1,CABORCA,1545.69,922.9,138.1,484.69
2016-07-16,2,CABORCA,1175.2,876.47,108.9,189.82
2016-07-16,3,CABORCA,1223.29,864.58,111.75,246.97
2016-07-16,4,CABORCA,1191.28,857.72,100.42,233.14
2016-07-16,5,CABORCA,1196.92,916.86,102.46,177.6
2016-07-16,6,CABORCA,1048.04,893.73,89.14,65.17
2016-07-16,7,CABORCA,1023.19,819.84,88.65,114.7
2016-07-16,8,CABORCA,898.46,814.52,83.94,0
2016-07-16,9,CABORCA,1014.35,925.58,88.77,0
2016-07-16,10,CABORCA,1065.72,992.23,73.49,0
2016-07-16,11,CABORCA,1128.86,986.67,142.19,0
2016-07-16,12,CABORCA,1132.68,997.45,135.24,0
2016-07-16,13,CABORCA,1143.24,1001.01,142.23,0
2016-07-16,14,CABORCA,1198.18,1034.78,163.4,0
2016-07-16,15,CABORCA,1190.55,1034.36,156.18,0
2016-07-16,16,CABORCA,1149.91,989.83,160.08,0
2016-07-16,17,CABORCA,1137.97,962.37,175.61,0
2016-07-16,18,CABORCA,1188.47,1008.56,179.91,0
2016-07-16,19,CABORCA,1151.92,968.93,182.99,0
2016-07-16,20,CABORCA,1168.48,951.75,119.58,97.15
2016-07-16,21,CABORCA,1177.39,990.97,124.3,62.12
2016-07-16,22,CABORCA,1182.63,992.03,92.87,97.73
2016-07-16,23,CABORCA,1150.51,950.13,83.64,116.73
2016-07-16,24,CABORCA,1109.55,954.34,78.84,76.37
2016-07-16,1,CAMARGO,1381.37,922.9,168.96,289.5
2016-07-16,2,CAMARGO,1280.26,876.47,141.07,262.72
2016-07-16,3,CAMARGO,1338.38,864.58,131.99,341.81
2016-07-16,4,CAMARGO,1299.93,857.72,119.53,322.67
2016-07-16,5,CAMARGO,1281.2,916.86,118.53,245.81
2016-07-16,6,CAMARGO,1094.89,893.73,110.96,90.2
2016-07-16,7,CAMARGO,1085.12,819.84,106.51,158.77
2016-07-16,8,CAMARGO,900.1,814.52,85.58,0
2016-07-16,9,CAMARGO,1033.72,925.58,108.14,0
2016-07-16,10,CAMARGO,1108.56,992.23,116.33,0
2016-07-16,11,CAMARGO,1140.88,986.67,154.21,0
2016-07-16,12,CAMARGO,1155.19,997.45,157.74,0
2016-07-16,13,CAMARGO,1172.58,1001.01,171.57,0
2016-07-16,14,CAMARGO,1223.24,1034.78,188.46,0
2016-07-16,15,CAMARGO,1221.48,1034.36,187.12,0
2016-07-16,16,CAMARGO,1171.15,989.83,181.32,0
2016-07-16,17,CAMARGO,1147.51,962.37,185.15,0
2016-07-16,18,CAMARGO,1194.04,1008.56,185.48,0
2016-07-16,19,CAMARGO,1144.2,968.93,175.27,0
2016-07-16,20,CAMARGO,1236.11,951.75,149.91,134.45
