Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-06-01,1,ACAPULCO,894.72,816.93,77.79,0
2016-06-01,2,ACAPULCO,856.31,792.83,63.49,0
2016-06-01,3,ACAPULCO,827.94,773.01,54.93,0
2016-06-01,4,ACAPULCO,835.44,767.34,68,.09
2016-06-01,5,ACAPULCO,825.71,772.4,53.31,0
2016-06-01,6,ACAPULCO,840.77,771.66,69.11,0
2016-06-01,7,ACAPULCO,841.4,778.8,62.6,0
2016-06-01,8,ACAPULCO,859.11,795.72,63.39,0
2016-06-01,9,ACAPULCO,859.65,807.4,52.24,0
2016-06-01,10,ACAPULCO,884.86,836.91,47.95,0
2016-06-01,11,ACAPULCO,909.5,850.21,59.29,0
2016-06-01,12,ACAPULCO,896.81,851.17,45.64,0
2016-06-01,13,ACAPULCO,903.06,852.6,50.46,0
2016-06-01,14,ACAPULCO,909.38,853.36,56.02,0
2016-06-01,15,ACAPULCO,901.96,856.13,45.83,0
2016-06-01,16,ACAPULCO,910.9,857.8,53.1,0
2016-06-01,17,ACAPULCO,890.38,851.38,39,0
2016-06-01,18,ACAPULCO,897.82,847.89,49.92,0
2016-06-01,19,ACAPULCO,909.96,847.01,47.26,15.7
2016-06-01,20,ACAPULCO,916.55,844.85,71.71,0
2016-06-01,21,ACAPULCO,934.78,861.22,73.56,0
2016-06-01,22,ACAPULCO,938,864.38,73.62,0
2016-06-01,23,ACAPULCO,924.37,858.57,65.8,0
2016-06-01,24,ACAPULCO,932.88,858.13,74.74,0
2016-06-01,1,AGUASCALIENTES,837.64,816.93,20.71,0
2016-06-01,2,AGUASCALIENTES,812.07,792.83,19.24,0
2016-06-01,3,AGUASCALIENTES,793.6,773.01,20.59,0
2016-06-01,4,AGUASCALIENTES,789.45,767.34,22.12,-.01
2016-06-01,5,AGUASCALIENTES,793.08,772.4,20.68,0
2016-06-01,6,AGUASCALIENTES,790.81,771.66,19.15,0
2016-06-01,7,AGUASCALIENTES,800.26,778.8,21.47,0
2016-06-01,8,AGUASCALIENTES,814.2,795.72,18.47,0
2016-06-01,9,AGUASCALIENTES,826,807.41,18.59,0
2016-06-01,10,AGUASCALIENTES,860.64,836.91,23.73,0
2016-06-01,11,AGUASCALIENTES,870.94,850.21,20.73,0
2016-06-01,12,AGUASCALIENTES,867.02,851.17,15.85,0
2016-06-01,13,AGUASCALIENTES,872.17,852.6,19.57,0
2016-06-01,14,AGUASCALIENTES,872.3,853.36,18.93,0
2016-06-01,15,AGUASCALIENTES,879.61,856.13,23.47,0
2016-06-01,16,AGUASCALIENTES,883.36,857.8,25.56,0
2016-06-01,17,AGUASCALIENTES,878.83,851.38,27.46,0
2016-06-01,18,AGUASCALIENTES,874.14,847.89,26.25,0
2016-06-01,19,AGUASCALIENTES,863.3,847.01,18.14,-1.84
2016-06-01,20,AGUASCALIENTES,870.11,844.85,25.27,0
2016-06-01,21,AGUASCALIENTES,882.95,861.22,21.73,0
2016-06-01,22,AGUASCALIENTES,879.64,864.38,15.26,0
2016-06-01,23,AGUASCALIENTES,875.97,858.57,17.4,0
2016-06-01,24,AGUASCALIENTES,876.07,858.13,17.94,0
2016-06-01,1,APATZINGAN,871.89,816.93,54.96,0
2016-06-01,2,APATZINGAN,844.12,792.83,51.29,0
2016-06-01,3,APATZINGAN,822.47,773.01,49.46,0
2016-06-01,4,APATZINGAN,819.91,767.34,51.78,.79
2016-06-01,5,APATZINGAN,823.03,772.4,50.63,0
2016-06-01,6,APATZINGAN,821.73,771.66,50.08,0
2016-06-01,7,APATZINGAN,829.04,778.8,50.25,0
2016-06-01,8,APATZINGAN,840.64,795.72,44.92,0
2016-06-01,9,APATZINGAN,861.24,807.4,53.84,0
2016-06-01,10,APATZINGAN,895.17,836.91,58.26,0
2016-06-01,11,APATZINGAN,902.93,850.21,52.72,0
2016-06-01,12,APATZINGAN,901.12,851.17,49.95,0
2016-06-01,13,APATZINGAN,906.95,852.6,54.35,0
2016-06-01,14,APATZINGAN,902.65,853.36,49.29,0
2016-06-01,15,APATZINGAN,908.61,856.13,52.47,0
2016-06-01,16,APATZINGAN,913.67,857.8,55.86,0
2016-06-01,17,APATZINGAN,922.91,851.38,71.53,0
2016-06-01,18,APATZINGAN,918.17,847.89,70.27,0
2016-06-01,19,APATZINGAN,897.49,847.01,49.49,.99
2016-06-01,20,APATZINGAN,904.05,844.85,59.2,0
2016-06-01,21,APATZINGAN,922.9,861.22,61.68,0
2016-06-01,22,APATZINGAN,924.66,864.38,60.29,0
2016-06-01,23,APATZINGAN,918.09,858.57,59.52,0
2016-06-01,24,APATZINGAN,917.33,858.13,59.2,0
2016-06-01,1,CABORCA,808.71,816.93,-8.22,0
2016-06-01,2,CABORCA,771.27,792.83,-21.56,0
2016-06-01,3,CABORCA,764,773.01,-9.01,0
2016-06-01,4,CABORCA,613.33,767.34,-42.17,-111.84
2016-06-01,5,CABORCA,741.02,772.4,-31.38,0
2016-06-01,6,CABORCA,718.92,771.66,-52.74,0
2016-06-01,7,CABORCA,728.48,778.8,-50.31,0
2016-06-01,8,CABORCA,720.82,795.72,-74.9,0
2016-06-01,9,CABORCA,734.34,807.41,-73.06,0
2016-06-01,10,CABORCA,791.39,836.91,-45.53,0
2016-06-01,11,CABORCA,780.78,850.21,-69.43,0
2016-06-01,12,CABORCA,799.13,851.17,-52.04,0
2016-06-01,13,CABORCA,821.98,852.6,-30.62,0
2016-06-01,14,CABORCA,778.95,853.36,-74.41,0
2016-06-01,15,CABORCA,811.46,856.13,-44.68,0
2016-06-01,16,CABORCA,837.53,857.8,-20.27,0
