Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-11-16,1,ACAPULCO,559.17,515.98,43.19,0
2016-11-16,2,ACAPULCO,517.43,479.08,38.35,0
2016-11-16,3,ACAPULCO,505.29,468.82,36.48,0
2016-11-16,4,ACAPULCO,491.05,455.94,35.11,0
2016-11-16,5,ACAPULCO,493.36,457.65,35.71,0
2016-11-16,6,ACAPULCO,508.95,470.5,38.45,0
2016-11-16,7,ACAPULCO,532.32,491.92,40.4,0
2016-11-16,8,ACAPULCO,664.31,610.54,53.78,0
2016-11-16,9,ACAPULCO,732.26,684.4,47.86,0
2016-11-16,10,ACAPULCO,769.62,730.18,39.44,.01
2016-11-16,11,ACAPULCO,766.65,728.58,38.07,0
2016-11-16,12,ACAPULCO,785.55,726.11,59.44,0
2016-11-16,13,ACAPULCO,793.5,730.17,63.32,0
2016-11-16,14,ACAPULCO,792.05,730.95,61.09,0
2016-11-16,15,ACAPULCO,779.74,743.75,36,0
2016-11-16,16,ACAPULCO,804.65,754.61,50.04,0
2016-11-16,17,ACAPULCO,787.47,730.96,56.51,0
2016-11-16,18,ACAPULCO,804.28,741.8,62.48,0
2016-11-16,19,ACAPULCO,800.38,741.15,59.23,0
2016-11-16,20,ACAPULCO,823.65,752.26,74.52,-3.14
2016-11-16,21,ACAPULCO,809.04,734.19,77.94,-3.09
2016-11-16,22,ACAPULCO,802.25,731.02,75.58,-4.35
2016-11-16,23,ACAPULCO,731.72,681.14,54.67,-4.09
2016-11-16,24,ACAPULCO,610.76,567.88,44.49,-1.6
2016-11-16,1,AGUASCALIENTES,524.76,515.98,8.78,0
2016-11-16,2,AGUASCALIENTES,486.22,479.08,7.14,0
2016-11-16,3,AGUASCALIENTES,474.92,468.82,6.1,0
2016-11-16,4,AGUASCALIENTES,461.64,455.94,5.7,0
2016-11-16,5,AGUASCALIENTES,462.53,457.65,4.88,0
2016-11-16,6,AGUASCALIENTES,476.35,470.5,5.85,0
2016-11-16,7,AGUASCALIENTES,499.09,491.92,7.17,0
2016-11-16,8,AGUASCALIENTES,617.97,610.54,7.43,0
2016-11-16,9,AGUASCALIENTES,696.05,684.4,11.65,0
2016-11-16,10,AGUASCALIENTES,742.69,730.18,12.52,0
2016-11-16,11,AGUASCALIENTES,742.06,728.58,13.48,0
2016-11-16,12,AGUASCALIENTES,741.59,726.11,15.48,0
2016-11-16,13,AGUASCALIENTES,742.96,730.17,12.78,0
2016-11-16,14,AGUASCALIENTES,744.21,730.95,13.26,0
2016-11-16,15,AGUASCALIENTES,759.56,743.75,15.81,0
2016-11-16,16,AGUASCALIENTES,769.07,754.61,14.46,0
2016-11-16,17,AGUASCALIENTES,745.85,730.96,14.9,0
2016-11-16,18,AGUASCALIENTES,750.35,741.8,8.55,0
2016-11-16,19,AGUASCALIENTES,748.1,741.15,6.95,0
2016-11-16,20,AGUASCALIENTES,780.87,752.26,4.72,23.89
2016-11-16,21,AGUASCALIENTES,761.45,734.19,3.93,23.33
2016-11-16,22,AGUASCALIENTES,768.2,731.02,4.22,32.96
2016-11-16,23,AGUASCALIENTES,720.98,681.14,8.57,31.27
2016-11-16,24,AGUASCALIENTES,586.48,567.88,6.18,12.42
2016-11-16,1,APATZINGAN,542.5,515.98,26.52,0
2016-11-16,2,APATZINGAN,501.3,479.08,22.22,0
2016-11-16,3,APATZINGAN,489.03,468.82,20.21,0
2016-11-16,4,APATZINGAN,475.05,455.94,19.12,0
2016-11-16,5,APATZINGAN,476.45,457.65,18.81,0
2016-11-16,6,APATZINGAN,491.53,470.5,21.03,0
2016-11-16,7,APATZINGAN,517.44,491.92,25.52,0
2016-11-16,8,APATZINGAN,645.53,610.54,34.99,0
2016-11-16,9,APATZINGAN,726.09,684.4,41.69,0
2016-11-16,10,APATZINGAN,773.91,730.18,43.61,.12
2016-11-16,11,APATZINGAN,772.43,728.58,43.86,0
2016-11-16,12,APATZINGAN,771,726.11,44.89,0
2016-11-16,13,APATZINGAN,774.55,730.17,44.38,0
2016-11-16,14,APATZINGAN,774.84,730.95,43.89,0
2016-11-16,15,APATZINGAN,789.56,743.75,45.82,0
2016-11-16,16,APATZINGAN,799.51,754.61,44.9,0
2016-11-16,17,APATZINGAN,774.9,730.96,43.94,0
2016-11-16,18,APATZINGAN,784.29,741.8,42.49,0
2016-11-16,19,APATZINGAN,790.62,741.15,49.47,0
2016-11-16,20,APATZINGAN,816.02,752.26,54.93,8.83
2016-11-16,21,APATZINGAN,798.88,734.19,56.2,8.5
2016-11-16,22,APATZINGAN,792.8,731.02,49.64,12.14
2016-11-16,23,APATZINGAN,735.38,681.14,42.53,11.71
2016-11-16,24,APATZINGAN,603.61,567.88,31.06,4.67
2016-11-16,1,CABORCA,442.38,515.98,-73.6,0
2016-11-16,2,CABORCA,410.29,479.08,-68.79,0
2016-11-16,3,CABORCA,402.13,468.82,-66.69,0
2016-11-16,4,CABORCA,389.6,455.94,-66.34,0
2016-11-16,5,CABORCA,383.82,457.65,-73.83,0
2016-11-16,6,CABORCA,399.69,470.5,-70.81,0
2016-11-16,7,CABORCA,403.28,491.92,-88.64,0
2016-11-16,8,CABORCA,475.56,610.54,-134.97,0
2016-11-16,9,CABORCA,528.45,684.4,-155.95,0
2016-11-16,10,CABORCA,517.28,730.18,-195.61,-17.29
2016-11-16,11,CABORCA,561.81,728.58,-166.77,0
2016-11-16,12,CABORCA,572.37,726.11,-153.74,0
2016-11-16,13,CABORCA,575.58,730.17,-154.6,0
2016-11-16,14,CABORCA,579.01,730.95,-151.95,0
2016-11-16,15,CABORCA,605.15,743.75,-138.6,0
2016-11-16,16,CABORCA,613.17,754.61,-141.44,0
2016-11-16,17,CABORCA,613.53,730.96,-117.43,0
2016-11-16,18,CABORCA,579.85,741.8,-161.96,0
2016-11-16,19,CABORCA,569.67,741.15,-171.48,0
2016-11-16,20,CABORCA,579.66,752.26,-140.12,-32.49
2016-11-16,21,CABORCA,589.99,734.19,-130.28,-13.91
2016-11-16,22,CABORCA,532.94,731.02,-160.13,-37.94
2016-11-16,23,CABORCA,515.88,681.14,-102.14,-63.12
2016-11-16,24,CABORCA,450.5,567.88,-90.73,-26.65
2016-11-16,1,CAMARGO,471.44,515.98,-44.54,0
2016-11-16,2,CAMARGO,438.87,479.08,-40.21,0
2016-11-16,3,CAMARGO,430.05,468.82,-38.76,0
2016-11-16,4,CAMARGO,419.01,455.94,-36.93,0
2016-11-16,5,CAMARGO,415.9,457.65,-41.75,0
2016-11-16,6,CAMARGO,430.73,470.5,-39.77,0
2016-11-16,7,CAMARGO,445.31,491.92,-46.61,0
2016-11-16,8,CAMARGO,532.89,610.54,-77.65,0
2016-11-16,9,CAMARGO,603.6,684.4,-80.8,0
2016-11-16,10,CAMARGO,639.34,730.18,-86.06,-4.78
2016-11-16,11,CAMARGO,654.26,728.58,-74.32,0
2016-11-16,12,CAMARGO,660.25,726.11,-65.86,0
2016-11-16,13,CAMARGO,660.05,730.17,-70.13,0
2016-11-16,14,CAMARGO,667.13,730.95,-63.82,0
2016-11-16,15,CAMARGO,686.17,743.75,-57.58,0
2016-11-16,16,CAMARGO,694.88,754.61,-59.74,0
2016-11-16,17,CAMARGO,679.44,730.96,-51.51,0
2016-11-16,18,CAMARGO,670.99,741.8,-70.81,0
2016-11-16,19,CAMARGO,667.06,741.15,-74.1,0
2016-11-16,20,CAMARGO,654.65,752.26,-66.94,-30.67
2016-11-16,21,CAMARGO,642.41,734.19,-66.82,-24.96
2016-11-16,22,CAMARGO,604.18,731.02,-86.51,-40.33
2016-11-16,23,CAMARGO,572.8,681.14,-62.55,-45.78
2016-11-16,24,CAMARGO,492.68,567.88,-56.61,-18.59
2016-11-16,1,CAMPECHE,553.91,515.98,37.93,0
2016-11-16,2,CAMPECHE,521.07,479.08,42,0
2016-11-16,3,CAMPECHE,506.58,468.82,37.76,0
