Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-10-16,1,ACAPULCO,903.63,824.56,78.92,.16
2016-10-16,2,ACAPULCO,826.78,761.42,63.19,2.17
2016-10-16,3,ACAPULCO,766.69,699.01,65.55,2.13
2016-10-16,4,ACAPULCO,697.16,636.3,59.56,1.31
2016-10-16,5,ACAPULCO,607.67,565.88,41.76,.03
2016-10-16,6,ACAPULCO,591.99,552.07,39.9,.01
2016-10-16,7,ACAPULCO,618.98,569.44,49.49,.04
2016-10-16,8,ACAPULCO,601.78,561.85,39.9,.03
2016-10-16,9,ACAPULCO,586.88,551.03,35.85,0
2016-10-16,10,ACAPULCO,650.84,612.22,38.57,.05
2016-10-16,11,ACAPULCO,670.74,629.74,41,0
2016-10-16,12,ACAPULCO,694.74,650.18,44.56,0
2016-10-16,13,ACAPULCO,726.38,678.11,48.28,0
2016-10-16,14,ACAPULCO,756.16,705.36,50.77,.04
2016-10-16,15,ACAPULCO,774.14,721.22,52.92,0
2016-10-16,16,ACAPULCO,774.75,722.82,51.93,0
2016-10-16,17,ACAPULCO,787.62,736.92,50.7,0
2016-10-16,18,ACAPULCO,742.09,702.12,39.97,0
2016-10-16,19,ACAPULCO,805.67,748.87,56.81,0
2016-10-16,20,ACAPULCO,960.55,886.32,74.23,0
2016-10-16,21,ACAPULCO,979.4,887.3,92.11,0
2016-10-16,22,ACAPULCO,955.71,871.81,83.75,.15
2016-10-16,23,ACAPULCO,914.99,834.64,80.2,.15
2016-10-16,24,ACAPULCO,981.94,894.16,86.78,1
2016-10-16,1,AGUASCALIENTES,841.3,824.56,16.49,.26
2016-10-16,2,AGUASCALIENTES,772.92,761.42,16.8,-5.3
2016-10-16,3,AGUASCALIENTES,709.75,699.01,16.26,-5.52
2016-10-16,4,AGUASCALIENTES,646.79,636.3,13.8,-3.31
2016-10-16,5,AGUASCALIENTES,578.05,565.88,12.13,.05
2016-10-16,6,AGUASCALIENTES,564.02,552.07,11.92,.02
2016-10-16,7,AGUASCALIENTES,582.41,569.44,12.89,.08
2016-10-16,8,AGUASCALIENTES,574.61,561.85,12.71,.06
2016-10-16,9,AGUASCALIENTES,561.24,551.03,10.2,0
2016-10-16,10,AGUASCALIENTES,627.45,612.22,15.09,.14
2016-10-16,11,AGUASCALIENTES,646.03,629.74,16.29,0
2016-10-16,12,AGUASCALIENTES,666.82,650.18,16.64,0
2016-10-16,13,AGUASCALIENTES,694.99,678.11,16.88,0
2016-10-16,14,AGUASCALIENTES,723.2,705.36,17.74,.1
2016-10-16,15,AGUASCALIENTES,740.18,721.22,18.96,0
2016-10-16,16,AGUASCALIENTES,739.98,722.82,17.16,0
2016-10-16,17,AGUASCALIENTES,754.28,736.92,17.36,0
2016-10-16,18,AGUASCALIENTES,717.28,702.12,15.16,0
2016-10-16,19,AGUASCALIENTES,763.11,748.87,14.24,0
2016-10-16,20,AGUASCALIENTES,900.85,886.32,14.53,0
2016-10-16,21,AGUASCALIENTES,898.79,887.3,11.5,0
2016-10-16,22,AGUASCALIENTES,885.49,871.81,13.69,-.01
2016-10-16,23,AGUASCALIENTES,846.46,834.64,11.83,-.01
2016-10-16,24,AGUASCALIENTES,905.82,894.16,14.08,-2.42
2016-10-16,1,APATZINGAN,860.76,824.56,34.68,1.52
2016-10-16,2,APATZINGAN,806.45,761.42,33.24,11.8
2016-10-16,3,APATZINGAN,739.89,699.01,29.4,11.48
2016-10-16,4,APATZINGAN,668.83,636.3,25.29,7.24
2016-10-16,5,APATZINGAN,587.21,565.88,21.03,.3
2016-10-16,6,APATZINGAN,572.93,552.07,20.72,.14
2016-10-16,7,APATZINGAN,593.52,569.44,23.61,.47
2016-10-16,8,APATZINGAN,586.34,561.85,24.17,.33
2016-10-16,9,APATZINGAN,572.71,551.03,21.68,0
2016-10-16,10,APATZINGAN,640.53,612.22,27.75,.56
2016-10-16,11,APATZINGAN,661.48,629.74,31.73,0
2016-10-16,12,APATZINGAN,683.5,650.18,33.32,0
2016-10-16,13,APATZINGAN,712.59,678.11,34.49,0
2016-10-16,14,APATZINGAN,741.92,705.36,36.17,.4
2016-10-16,15,APATZINGAN,757.53,721.22,36.31,0
2016-10-16,16,APATZINGAN,757.8,722.82,34.98,0
2016-10-16,17,APATZINGAN,774.74,736.92,37.83,0
2016-10-16,18,APATZINGAN,737.8,702.12,35.69,0
2016-10-16,19,APATZINGAN,786.68,748.87,37.81,0
2016-10-16,20,APATZINGAN,931.88,886.32,45.56,0
2016-10-16,21,APATZINGAN,943.94,887.3,56.65,0
2016-10-16,22,APATZINGAN,923.97,871.81,51.01,1.16
2016-10-16,23,APATZINGAN,876.9,834.64,41.11,1.15
2016-10-16,24,APATZINGAN,939.8,894.16,40.25,5.39
2016-10-16,1,CABORCA,584.84,824.56,-35.37,-204.35
2016-10-16,2,CABORCA,493.33,761.42,-36.1,-231.99
2016-10-16,3,CABORCA,499.59,699.01,-36.65,-162.77
2016-10-16,4,CABORCA,459.12,636.3,-36.93,-140.25
2016-10-16,5,CABORCA,460.93,565.88,-65.22,-39.72
2016-10-16,6,CABORCA,461.23,552.07,-71.78,-19.06
2016-10-16,7,CABORCA,450.05,569.44,-55.85,-63.54
2016-10-16,8,CABORCA,454.17,561.85,-62.88,-44.8
2016-10-16,9,CABORCA,453.75,551.03,-97.28,0
2016-10-16,10,CABORCA,454.54,612.22,-81.82,-75.85
2016-10-16,11,CABORCA,562.05,629.74,-67.69,0
2016-10-16,12,CABORCA,581.31,650.18,-68.87,0
2016-10-16,13,CABORCA,613.38,678.11,-64.73,0
2016-10-16,14,CABORCA,579.1,705.36,-72.16,-54.1
2016-10-16,15,CABORCA,659.01,721.22,-62.21,0
2016-10-16,16,CABORCA,676.64,722.82,-46.18,0
2016-10-16,17,CABORCA,696.23,736.92,-40.69,0
2016-10-16,18,CABORCA,649.54,702.12,-52.58,0
2016-10-16,19,CABORCA,694.94,748.87,-53.93,0
2016-10-16,20,CABORCA,790.83,886.32,-95.49,0
2016-10-16,21,CABORCA,816.25,887.3,-71.04,0
2016-10-16,22,CABORCA,652.45,871.81,-58.64,-160.72
2016-10-16,23,CABORCA,631.46,834.64,-43.57,-159.6
2016-10-16,24,CABORCA,561.11,894.16,-44.14,-288.91
2016-10-16,1,CAMARGO,741.57,824.56,-25.69,-57.29
2016-10-16,2,CAMARGO,588.24,761.42,-26.89,-146.29
2016-10-16,3,CAMARGO,549.49,699.01,-20.97,-128.56
2016-10-16,4,CAMARGO,523.19,636.3,-23.78,-89.33
2016-10-16,5,CAMARGO,523.37,565.88,-31.4,-11.12
2016-10-16,6,CAMARGO,512.98,552.07,-33.75,-5.33
2016-10-16,7,CAMARGO,521.51,569.44,-30.15,-17.79
