Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2016-09-01,1,ACAPULCO,836.08,733.29,37.2,65.6
2016-09-01,2,ACAPULCO,699.09,641.16,56.7,1.24
2016-09-01,3,ACAPULCO,624.98,574.5,50.4,.08
2016-09-01,4,ACAPULCO,634.54,572.56,49.83,12.15
2016-09-01,5,ACAPULCO,600.88,554.52,46.36,0
2016-09-01,6,ACAPULCO,606.99,559.47,47.51,0
2016-09-01,7,ACAPULCO,665.34,602.92,62.43,0
2016-09-01,8,ACAPULCO,748.05,681.01,67.04,0
2016-09-01,9,ACAPULCO,803.17,741.7,61.47,0
2016-09-01,10,ACAPULCO,1166.8,1077.76,67.33,21.71
2016-09-01,11,ACAPULCO,1263.03,1168.48,61.65,32.9
2016-09-01,12,ACAPULCO,1281.56,1215.73,62.32,3.5
2016-09-01,13,ACAPULCO,1404.15,1326.14,64.61,13.4
2016-09-01,14,ACAPULCO,1329.12,1256.69,52.83,19.6
2016-09-01,15,ACAPULCO,1224.64,1166.77,50.93,6.95
2016-09-01,16,ACAPULCO,1134.91,1024.31,46.07,64.53
2016-09-01,17,ACAPULCO,1196.11,1136.74,49.01,10.37
2016-09-01,18,ACAPULCO,1260.38,1160.94,40.78,58.66
2016-09-01,19,ACAPULCO,1213.34,1162.6,43.47,7.27
2016-09-01,20,ACAPULCO,1077.39,953.37,43.02,81
2016-09-01,21,ACAPULCO,1244.06,1165.16,64.15,14.75
2016-09-01,22,ACAPULCO,1254.71,1175.23,59.5,19.98
2016-09-01,23,ACAPULCO,1406.26,1312.83,62.35,31.09
2016-09-01,24,ACAPULCO,1230.47,1160.06,45.68,24.74
2016-09-01,1,AGUASCALIENTES,745.27,733.29,26.46,-14.47
2016-09-01,2,AGUASCALIENTES,659.33,641.16,22.66,-4.49
2016-09-01,3,AGUASCALIENTES,593.97,574.5,19.76,-.29
2016-09-01,4,AGUASCALIENTES,588.78,572.56,17.76,-1.54
2016-09-01,5,AGUASCALIENTES,571.42,554.52,16.9,0
2016-09-01,6,AGUASCALIENTES,575.19,559.47,15.72,0
2016-09-01,7,AGUASCALIENTES,618.57,602.92,15.65,0
2016-09-01,8,AGUASCALIENTES,698.97,681.01,17.96,0
2016-09-01,9,AGUASCALIENTES,759.25,741.7,17.55,0
2016-09-01,10,AGUASCALIENTES,1013.93,1077.76,22.66,-86.49
2016-09-01,11,AGUASCALIENTES,1175.58,1168.48,27.76,-20.66
2016-09-01,12,AGUASCALIENTES,1246.6,1215.73,31.32,-.46
2016-09-01,13,AGUASCALIENTES,1359.72,1326.14,35.93,-2.34
2016-09-01,14,AGUASCALIENTES,1292.31,1256.69,39.05,-3.43
2016-09-01,15,AGUASCALIENTES,1202.34,1166.77,36.21,-.64
2016-09-01,16,AGUASCALIENTES,1046.55,1024.31,28.27,-6.02
2016-09-01,17,AGUASCALIENTES,1169.21,1136.74,33.45,-.97
2016-09-01,18,AGUASCALIENTES,1190.58,1160.94,36.79,-7.15
2016-09-01,19,AGUASCALIENTES,1196.49,1162.6,34.79,-.91
2016-09-01,20,AGUASCALIENTES,966.38,953.37,23.14,-10.13
2016-09-01,21,AGUASCALIENTES,1188.26,1165.16,24.9,-1.79
2016-09-01,22,AGUASCALIENTES,1200.35,1175.23,27.52,-2.41
2016-09-01,23,AGUASCALIENTES,1345.16,1312.83,38.01,-5.68
2016-09-01,24,AGUASCALIENTES,1187.49,1160.06,37.42,-9.98
2016-09-01,1,APATZINGAN,780.37,733.29,34.75,12.33
2016-09-01,2,APATZINGAN,677.43,641.16,30.5,5.78
2016-09-01,3,APATZINGAN,603.69,574.5,28.83,.37
2016-09-01,4,APATZINGAN,600.21,572.56,26.9,.75
