Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-04-01,1,ENSENADA,744.73,718.2,26.53,0
2017-04-01,2,ENSENADA,728.59,702.62,25.97,0
2017-04-01,3,ENSENADA,493.74,476.58,17.16,0
2017-04-01,4,ENSENADA,489.33,472.44,16.89,0
2017-04-01,5,ENSENADA,489.42,472.44,16.98,0
2017-04-01,6,ENSENADA,490.08,472.43,17.65,0
2017-04-01,7,ENSENADA,491.86,473.92,17.93,0
2017-04-01,8,ENSENADA,491.33,472.42,18.91,0
2017-04-01,9,ENSENADA,491.83,472.29,19.54,0
2017-04-01,10,ENSENADA,513.39,492.03,21.36,0
2017-04-01,11,ENSENADA,521.86,498.98,22.88,0
2017-04-01,12,ENSENADA,725.33,691.97,33.36,0
2017-04-01,13,ENSENADA,730.13,696.74,33.39,0
2017-04-01,14,ENSENADA,736.34,702.76,33.58,0
2017-04-01,15,ENSENADA,725.29,691.97,33.32,0
2017-04-01,16,ENSENADA,724.97,691.97,33,0
2017-04-01,17,ENSENADA,514.96,492.41,22.55,0
2017-04-01,18,ENSENADA,514.42,492.25,22.17,0
2017-04-01,19,ENSENADA,510.74,488.57,22.16,0
2017-04-01,20,ENSENADA,737.16,702.49,34.68,0
2017-04-01,21,ENSENADA,743.12,707.69,35.43,0
2017-04-01,22,ENSENADA,522.29,498.27,24.02,0
2017-04-01,23,ENSENADA,516.5,494.86,21.64,0
2017-04-01,24,ENSENADA,481.43,467.76,13.67,0
2017-04-01,1,MEXICALI,718.41,718.2,.21,0
2017-04-01,2,MEXICALI,702.41,702.62,-.21,0
2017-04-01,3,MEXICALI,474.75,476.58,-1.84,0
2017-04-01,4,MEXICALI,470.18,472.44,-2.26,0
2017-04-01,5,MEXICALI,470.07,472.44,-2.37,0
2017-04-01,6,MEXICALI,469.38,472.43,-3.06,0
2017-04-01,7,MEXICALI,469.99,473.92,-3.93,0
2017-04-01,8,MEXICALI,465.82,472.42,-6.61,0
2017-04-01,9,MEXICALI,463.06,472.29,-9.23,0
