Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-02-01,1,ENSENADA,498.04,482.55,15.49,0
2017-02-01,2,ENSENADA,503.55,489.78,13.77,0
2017-02-01,3,ENSENADA,455.41,444.82,10.59,0
2017-02-01,4,ENSENADA,455.45,445.06,10.38,0
2017-02-01,5,ENSENADA,455.64,444.96,10.69,0
2017-02-01,6,ENSENADA,456.58,445.05,11.52,0
2017-02-01,7,ENSENADA,475.28,463.32,11.96,0
2017-02-01,8,ENSENADA,484.12,471.78,12.34,0
2017-02-01,9,ENSENADA,481.51,468.72,12.79,0
2017-02-01,10,ENSENADA,484.3,471.67,12.63,0
2017-02-01,11,ENSENADA,491.02,478.59,12.43,0
2017-02-01,12,ENSENADA,625.65,609.35,16.3,0
2017-02-01,13,ENSENADA,620.19,604.25,15.94,0
2017-02-01,14,ENSENADA,624.31,608.4,15.91,0
2017-02-01,15,ENSENADA,621.35,605.34,16.01,0
2017-02-01,16,ENSENADA,487.17,474.74,12.43,0
2017-02-01,17,ENSENADA,487.43,474.29,13.14,0
2017-02-01,18,ENSENADA,628.18,610.09,18.09,0
2017-02-01,19,ENSENADA,631.43,612.44,18.99,0
2017-02-01,20,ENSENADA,627.36,608.86,18.5,0
2017-02-01,21,ENSENADA,627.18,609.99,17.19,0
2017-02-01,22,ENSENADA,612.56,597.27,15.29,0
2017-02-01,23,ENSENADA,493.21,481.65,11.56,0
2017-02-01,24,ENSENADA,475.07,464.02,11.05,0
2017-02-01,1,MEXICALI,472.6,482.55,-9.95,0
2017-02-01,2,MEXICALI,486.43,489.78,-3.35,0
2017-02-01,3,MEXICALI,443.64,444.82,-1.18,0
2017-02-01,4,MEXICALI,444.56,445.06,-.51,0
2017-02-01,5,MEXICALI,444.12,444.96,-.84,0
2017-02-01,6,MEXICALI,443.19,445.05,-1.86,0
2017-02-01,7,MEXICALI,460.77,463.32,-2.55,0
2017-02-01,8,MEXICALI,467.83,471.78,-3.96,0
2017-02-01,9,MEXICALI,462.21,468.72,-6.51,0
2017-02-01,10,MEXICALI,465.55,471.67,-6.11,0
2017-02-01,11,MEXICALI,472.5,478.59,-6.09,0
2017-02-01,12,MEXICALI,600.25,609.35,-9.1,0
2017-02-01,13,MEXICALI,597.07,604.25,-7.18,0
2017-02-01,14,MEXICALI,600.04,608.4,-8.36,0
2017-02-01,15,MEXICALI,597.52,605.34,-7.83,0
2017-02-01,16,MEXICALI,467.41,474.74,-7.33,0
2017-02-01,17,MEXICALI,466.63,474.29,-7.67,0
2017-02-01,18,MEXICALI,599.61,610.09,-10.48,0
2017-02-01,19,MEXICALI,602.99,612.44,-9.45,0
2017-02-01,20,MEXICALI,600.29,608.86,-8.58,0
2017-02-01,21,MEXICALI,600.13,609.99,-9.86,0
2017-02-01,22,MEXICALI,593.73,597.27,-3.54,0
2017-02-01,23,MEXICALI,482.09,481.65,.44,0
