Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-05-01,1,ENSENADA,493.13,475.83,17.3,0
2017-05-01,2,ENSENADA,497.56,480.86,16.7,0
2017-05-01,3,ENSENADA,490.54,474.11,16.43,0
2017-05-01,4,ENSENADA,486.67,470.15,16.52,0
2017-05-01,5,ENSENADA,486.53,470.14,16.39,0
2017-05-01,6,ENSENADA,486.22,470.14,16.08,0
2017-05-01,7,ENSENADA,486.12,470.01,16.11,0
2017-05-01,8,ENSENADA,485.6,469.92,15.68,0
2017-05-01,9,ENSENADA,559.4,540.91,18.49,0
2017-05-01,10,ENSENADA,495.46,478.09,17.38,0
2017-05-01,11,ENSENADA,499.11,480.26,18.85,0
2017-05-01,12,ENSENADA,525.75,504.7,21.05,0
2017-05-01,13,ENSENADA,528.82,507.33,21.48,0
2017-05-01,14,ENSENADA,533.55,511.99,21.56,0
2017-05-01,15,ENSENADA,585.23,562.14,23.09,0
2017-05-01,16,ENSENADA,528.8,507.97,20.83,0
2017-05-01,17,ENSENADA,524.88,503.44,21.44,0
2017-05-01,18,ENSENADA,734.41,704.01,30.41,0
2017-05-01,19,ENSENADA,526.83,505.13,21.7,0
2017-05-01,20,ENSENADA,759.8,725.36,34.44,0
2017-05-01,21,ENSENADA,776.99,741.51,35.49,0
2017-05-01,22,ENSENADA,758.02,725.42,32.6,0
2017-05-01,23,ENSENADA,527.16,506.51,20.65,0
2017-05-01,24,ENSENADA,515.32,496.05,19.26,0
2017-05-01,1,MEXICALI,471.93,475.83,-3.9,0
2017-05-01,2,MEXICALI,480.67,480.86,-.19,0
2017-05-01,3,MEXICALI,472.22,474.11,-1.89,0
2017-05-01,4,MEXICALI,465.66,470.15,-4.49,0
2017-05-01,5,MEXICALI,464.6,470.14,-5.54,0
2017-05-01,6,MEXICALI,463.16,470.14,-6.98,0
2017-05-01,7,MEXICALI,458.82,470.01,-11.19,0
2017-05-01,8,MEXICALI,458.19,469.92,-11.74,0
2017-05-01,9,MEXICALI,530.43,540.91,-10.49,0
2017-05-01,10,MEXICALI,462.51,478.09,-15.58,0
2017-05-01,11,MEXICALI,463.6,480.26,-16.66,0
2017-05-01,12,MEXICALI,487.96,504.7,-16.74,0
2017-05-01,13,MEXICALI,490.06,507.33,-17.27,0
2017-05-01,14,MEXICALI,495.09,511.99,-16.9,0
2017-05-01,15,MEXICALI,545.26,562.14,-16.89,0
2017-05-01,16,MEXICALI,495.51,507.97,-12.46,0
2017-05-01,17,MEXICALI,493.21,503.44,-10.23,0
2017-05-01,18,MEXICALI,687.34,704.01,-16.67,0
2017-05-01,19,MEXICALI,493.15,505.13,-11.98,0
2017-05-01,20,MEXICALI,703.73,725.36,-21.63,0
2017-05-01,21,MEXICALI,721.95,741.51,-19.56,0
2017-05-01,22,MEXICALI,707.49,725.42,-17.93,0
2017-05-01,23,MEXICALI,496.4,506.51,-10.11,0
2017-05-01,24,MEXICALI,489.8,496.05,-6.25,0
2017-05-01,1,SANLUIS,470.55,475.83,-5.28,0
2017-05-01,2,SANLUIS,479.22,480.86,-1.64,0
2017-05-01,3,SANLUIS,470.59,474.11,-3.52,0
2017-05-01,4,SANLUIS,463.92,470.15,-6.23,0
2017-05-01,5,SANLUIS,462.9,470.14,-7.24,0
2017-05-01,6,SANLUIS,461.42,470.14,-8.72,0
2017-05-01,7,SANLUIS,457.14,470.01,-12.87,0
2017-05-01,8,SANLUIS,456.55,469.92,-13.38,0
2017-05-01,9,SANLUIS,528.8,540.91,-12.12,0
2017-05-01,10,SANLUIS,461.2,478.09,-16.89,0
2017-05-01,11,SANLUIS,462.35,480.26,-17.92,0
2017-05-01,12,SANLUIS,486.77,504.7,-17.93,0
2017-05-01,13,SANLUIS,488.96,507.33,-18.37,0
2017-05-01,14,SANLUIS,494.1,511.99,-17.89,0
2017-05-01,15,SANLUIS,544.27,562.14,-17.88,0
2017-05-01,16,SANLUIS,494.65,507.97,-13.32,0
2017-05-01,17,SANLUIS,492.39,503.44,-11.05,0
2017-05-01,18,SANLUIS,685.92,704.01,-18.09,0
2017-05-01,19,SANLUIS,492.25,505.13,-12.88,0
2017-05-01,20,SANLUIS,703.07,725.36,-22.29,0
2017-05-01,21,SANLUIS,721.3,741.51,-20.21,0
2017-05-01,22,SANLUIS,706.61,725.42,-18.81,0
2017-05-01,23,SANLUIS,495.31,506.51,-11.2,0
2017-05-01,24,SANLUIS,488.45,496.05,-7.6,0
2017-05-01,1,TIJUANA,481.07,475.83,5.24,0
2017-05-01,2,TIJUANA,486.14,480.86,5.28,0
2017-05-01,3,TIJUANA,479.09,474.11,4.98,0
2017-05-01,4,TIJUANA,474.94,470.15,4.79,0
2017-05-01,5,TIJUANA,474.84,470.14,4.7,0
2017-05-01,6,TIJUANA,474.96,470.14,4.82,0
2017-05-01,7,TIJUANA,474.83,470.01,4.82,0
2017-05-01,8,TIJUANA,475,469.92,5.07,0
2017-05-01,9,TIJUANA,547.52,540.91,6.61,0
2017-05-01,10,TIJUANA,484.12,478.09,6.04,0
2017-05-01,11,TIJUANA,486.53,480.26,6.27,0
2017-05-01,12,TIJUANA,511.6,504.7,6.9,0
2017-05-01,13,TIJUANA,514.34,507.33,7,0
2017-05-01,14,TIJUANA,519.01,511.99,7.02,0
2017-05-01,15,TIJUANA,569.99,562.14,7.84,0
2017-05-01,16,TIJUANA,515.04,507.97,7.07,0
2017-05-01,17,TIJUANA,510.6,503.44,7.16,0
2017-05-01,18,TIJUANA,713.56,704.01,9.55,0
2017-05-01,19,TIJUANA,511.99,505.13,6.87,0
2017-05-01,20,TIJUANA,736.1,725.36,10.74,0
2017-05-01,21,TIJUANA,752.93,741.51,11.42,0
2017-05-01,22,TIJUANA,735.91,725.42,10.49,0
2017-05-01,23,TIJUANA,513.26,506.51,6.75,0
2017-05-01,24,TIJUANA,502.13,496.05,6.08,0
2017-05-02,1,ENSENADA,522.33,506.65,15.68,0
2017-05-02,2,ENSENADA,518.26,503.85,14.41,0
2017-05-02,3,ENSENADA,511.79,497.61,14.18,0
2017-05-02,4,ENSENADA,516.68,501.4,15.29,0
2017-05-02,5,ENSENADA,512.36,496.31,16.06,0
2017-05-02,6,ENSENADA,514.62,497.42,17.2,0
2017-05-02,7,ENSENADA,501.98,482.59,19.38,0
2017-05-02,8,ENSENADA,492.11,471.39,20.73,0
2017-05-02,9,ENSENADA,497.09,476.44,20.66,0
2017-05-02,10,ENSENADA,510.44,488.56,21.88,0
2017-05-02,11,ENSENADA,529.23,506.81,22.42,0
2017-05-02,12,ENSENADA,543.03,519.35,23.68,0
2017-05-02,13,ENSENADA,541.62,517.73,23.88,0
2017-05-02,14,ENSENADA,825.05,787.64,37.41,0
2017-05-02,15,ENSENADA,795.49,759.12,36.38,0
2017-05-02,16,ENSENADA,975.91,931.78,44.13,0
2017-05-02,17,ENSENADA,945.98,902.7,43.28,0
2017-05-02,18,ENSENADA,823.63,787.74,35.89,0
2017-05-02,19,ENSENADA,539.46,516.61,22.86,0
2017-05-02,20,ENSENADA,851.83,816.35,35.49,0
2017-05-02,21,ENSENADA,1004.38,960.55,43.83,0
2017-05-02,22,ENSENADA,881.4,845.25,36.16,0
2017-05-02,23,ENSENADA,788.64,758.96,29.68,0
2017-05-02,24,ENSENADA,527.23,507.53,19.7,0
2017-05-02,1,MEXICALI,505.27,506.65,-1.37,0
2017-05-02,2,MEXICALI,505.46,503.85,1.6,0
2017-05-02,3,MEXICALI,497.23,497.61,-.38,0
2017-05-02,4,MEXICALI,500.87,501.4,-.53,0
2017-05-02,5,MEXICALI,494.05,496.31,-2.25,0
2017-05-02,6,MEXICALI,490.66,497.42,-6.76,0
2017-05-02,7,MEXICALI,469.82,482.59,-12.78,0
2017-05-02,8,MEXICALI,466.98,471.39,-4.41,0
