Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-01-16,1,CONSTITUCION,1548.51,1513.21,35.31,0
2017-01-16,2,CONSTITUCION,1507.73,1474.2,33.53,0
2017-01-16,3,CONSTITUCION,1489.89,1457.97,31.91,0
2017-01-16,4,CONSTITUCION,1462.75,1432.35,30.4,0
2017-01-16,5,CONSTITUCION,1462.09,1432.06,30.03,0
2017-01-16,6,CONSTITUCION,1525.48,1490.6,34.87,0
2017-01-16,7,CONSTITUCION,1607.35,1561.18,46.16,0
2017-01-16,8,CONSTITUCION,1629.31,1577.01,52.3,0
2017-01-16,9,CONSTITUCION,1647.59,1587.46,60.13,0
2017-01-16,10,CONSTITUCION,1537.47,1519.93,17.54,0
2017-01-16,11,CONSTITUCION,1526.45,1519.74,6.71,0
2017-01-16,12,CONSTITUCION,1574.44,1560.6,13.84,0
2017-01-16,13,CONSTITUCION,1560.37,1548.23,12.14,0
2017-01-16,14,CONSTITUCION,1613.21,1586.71,26.5,0
2017-01-16,15,CONSTITUCION,1674.89,1645.25,29.65,0
2017-01-16,16,CONSTITUCION,1723.7,1702.78,20.92,0
2017-01-16,17,CONSTITUCION,1894.78,1897.22,-2.45,0
2017-01-16,18,CONSTITUCION,1614.02,1587.69,26.33,0
2017-01-16,19,CONSTITUCION,1931.46,1925.58,5.88,0
2017-01-16,20,CONSTITUCION,1936.81,1930.16,6.65,0
2017-01-16,21,CONSTITUCION,1898.07,1891.46,6.62,0
2017-01-16,22,CONSTITUCION,1644.09,1613.55,30.55,0
2017-01-16,23,CONSTITUCION,1863.13,1867.52,-4.39,0
2017-01-16,24,CONSTITUCION,1646.87,1589.1,57.77,0
2017-01-16,1,LA PAZ,1528.05,1513.21,14.85,0
2017-01-16,2,LA PAZ,1488.51,1474.2,14.31,0
2017-01-16,3,LA PAZ,1471.8,1457.97,13.83,0
2017-01-16,4,LA PAZ,1445.47,1432.35,13.12,0
2017-01-16,5,LA PAZ,1445.17,1432.06,13.11,0
2017-01-16,6,LA PAZ,1505.59,1490.61,14.99,0
2017-01-16,7,LA PAZ,1579.32,1561.18,18.13,0
2017-01-16,8,LA PAZ,1595.3,1577.01,18.29,0
2017-01-16,9,LA PAZ,1605.59,1587.46,18.13,0
2017-01-16,10,LA PAZ,1533.72,1519.93,13.79,0
2017-01-16,11,LA PAZ,1532.92,1519.74,13.18,0
2017-01-16,12,LA PAZ,1575.18,1560.6,14.58,0
2017-01-16,13,LA PAZ,1562.49,1548.23,14.26,0
2017-01-16,14,LA PAZ,1602.88,1586.71,16.17,0
2017-01-16,15,LA PAZ,1662.49,1645.25,17.24,0
2017-01-16,16,LA PAZ,1719.78,1702.78,17,0
2017-01-16,17,LA PAZ,1914.49,1897.22,17.27,0
2017-01-16,18,LA PAZ,1602.01,1587.69,14.32,0
2017-01-16,19,LA PAZ,1943.52,1925.58,17.94,0
2017-01-16,20,LA PAZ,1948.45,1930.16,18.29,0
2017-01-16,21,LA PAZ,1909.15,1891.46,17.69,0
2017-01-16,22,LA PAZ,1629.71,1613.55,16.17,0
2017-01-16,23,LA PAZ,1885.06,1867.52,17.54,0
2017-01-16,24,LA PAZ,1607.5,1589.1,18.4,0
2017-01-16,1,LOS CABOS,1558.28,1513.21,45.08,0
2017-01-16,2,LOS CABOS,1516.27,1474.2,42.06,0
2017-01-16,3,LOS CABOS,1498.46,1457.97,40.49,0
2017-01-16,4,LOS CABOS,1471.48,1432.35,39.13,0
2017-01-16,5,LOS CABOS,1470.72,1432.06,38.67,0
2017-01-16,6,LOS CABOS,1533,1490.61,42.4,0
2017-01-16,7,LOS CABOS,1609.35,1561.18,48.17,0
2017-01-16,8,LOS CABOS,1627.43,1577.01,50.42,0
2017-01-16,9,LOS CABOS,1641.21,1587.46,53.75,0
2017-01-16,10,LOS CABOS,1574.77,1519.93,54.84,0
2017-01-16,11,LOS CABOS,1576.74,1519.74,57,0
2017-01-16,12,LOS CABOS,1620.94,1560.6,60.34,0
2017-01-16,13,LOS CABOS,1607.85,1548.23,59.62,0
2017-01-16,14,LOS CABOS,1647.51,1586.71,60.8,0
2017-01-16,15,LOS CABOS,1708.21,1645.25,62.97,0
2017-01-16,16,LOS CABOS,1769.02,1702.78,66.25,0
2017-01-16,17,LOS CABOS,1971.39,1897.22,74.16,0
2017-01-16,18,LOS CABOS,1649.47,1587.69,61.78,0
2017-01-16,19,LOS CABOS,2006.73,1925.58,81.15,0
2017-01-16,20,LOS CABOS,2011.44,1930.16,81.28,0
2017-01-16,21,LOS CABOS,1969.98,1891.46,78.52,0
2017-01-16,22,LOS CABOS,1677.03,1613.55,63.48,0
2017-01-16,23,LOS CABOS,1936.18,1867.52,68.66,0
2017-01-16,24,LOS CABOS,1640.61,1589.1,51.51,0
2017-01-17,1,CONSTITUCION,1543.96,1503.9,40.06,0
2017-01-17,2,CONSTITUCION,1500.34,1462.47,37.87,0
2017-01-17,3,CONSTITUCION,1463.8,1428.62,35.18,0
2017-01-17,4,CONSTITUCION,1453.59,1416.4,37.19,0
2017-01-17,5,CONSTITUCION,1454.3,1418.54,35.76,0
2017-01-17,6,CONSTITUCION,1512.12,1470.86,41.26,0
2017-01-17,7,CONSTITUCION,1624.61,1567.07,57.54,0
2017-01-17,8,CONSTITUCION,1650.82,1585.1,65.72,0
2017-01-17,9,CONSTITUCION,1662.68,1587.45,75.23,0
