Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-02-16,1,CONSTITUCION,1768.25,1782.4,-14.15,0
2017-02-16,2,CONSTITUCION,1759.33,1769.64,-10.31,0
2017-02-16,3,CONSTITUCION,1695.04,1702.89,-7.86,0
2017-02-16,4,CONSTITUCION,1605.57,1604.87,.71,0
2017-02-16,5,CONSTITUCION,1613.04,1613.69,-.65,0
2017-02-16,6,CONSTITUCION,1754.65,1759.43,-4.78,0
2017-02-16,7,CONSTITUCION,1713.79,1759.59,-45.79,0
2017-02-16,8,CONSTITUCION,1719.33,1727.56,-8.23,0
2017-02-16,9,CONSTITUCION,2082.98,2049.66,33.32,0
2017-02-16,10,CONSTITUCION,2072.79,2034.02,38.77,0
2017-02-16,11,CONSTITUCION,2071.2,2031.24,39.96,0
2017-02-16,12,CONSTITUCION,2073.08,2030.41,42.67,0
2017-02-16,13,CONSTITUCION,2039.93,1995,44.93,0
2017-02-16,14,CONSTITUCION,2072.99,2031.23,41.76,0
2017-02-16,15,CONSTITUCION,2077.63,2033.68,43.95,0
2017-02-16,16,CONSTITUCION,1738.25,1762.31,-24.07,0
2017-02-16,17,CONSTITUCION,1795.54,1835.3,-39.76,0
2017-02-16,18,CONSTITUCION,1929.82,2004.94,-75.13,0
2017-02-16,19,CONSTITUCION,1855.16,1905.69,-50.53,0
2017-02-16,20,CONSTITUCION,1966.07,2037.64,-71.58,0
2017-02-16,21,CONSTITUCION,1864.58,1922.41,-57.83,0
2017-02-16,22,CONSTITUCION,1723.19,1757.68,-34.49,0
2017-02-16,23,CONSTITUCION,1795.53,1861.08,-65.55,0
2017-02-16,24,CONSTITUCION,1881.62,1984.87,-103.26,0
2017-02-16,1,LA PAZ,1787.86,1782.4,5.46,0
2017-02-16,2,LA PAZ,1775.83,1769.64,6.19,0
2017-02-16,3,LA PAZ,1709.38,1702.89,6.49,0
2017-02-16,4,LA PAZ,1611.43,1604.87,6.56,0
2017-02-16,5,LA PAZ,1620.35,1613.69,6.66,0
2017-02-16,6,LA PAZ,1767.28,1759.43,7.84,0
2017-02-16,7,LA PAZ,1765.02,1759.59,5.43,0
2017-02-16,8,LA PAZ,1739.6,1727.56,12.04,0
2017-02-16,9,LA PAZ,2062.74,2049.66,13.09,0
2017-02-16,10,LA PAZ,2046.98,2034.02,12.96,0
2017-02-16,11,LA PAZ,2044.62,2031.24,13.38,0
2017-02-16,12,LA PAZ,2044.48,2030.41,14.07,0
2017-02-16,13,LA PAZ,2010,1995,15,0
2017-02-16,14,LA PAZ,2046.66,2031.23,15.43,0
2017-02-16,15,LA PAZ,2048.41,2033.68,14.73,0
2017-02-16,16,LA PAZ,1768.65,1762.31,6.34,0
2017-02-16,17,LA PAZ,1841.15,1835.3,5.84,0
2017-02-16,18,LA PAZ,2009.13,2004.94,4.19,0
2017-02-16,19,LA PAZ,1910.51,1905.69,4.83,0
2017-02-16,20,LA PAZ,2041.86,2037.64,4.22,0
2017-02-16,21,LA PAZ,1927.27,1922.41,4.86,0
2017-02-16,22,LA PAZ,1763.06,1757.68,5.38,0
2017-02-16,23,LA PAZ,1866.14,1861.08,5.06,0
2017-02-16,24,LA PAZ,1988.51,1984.87,3.63,0
2017-02-16,1,LOS CABOS,1834.22,1782.4,51.82,0
2017-02-16,2,LOS CABOS,1819.1,1769.64,49.45,0
2017-02-16,3,LOS CABOS,1748.89,1702.89,46,0
2017-02-16,4,LOS CABOS,1647.38,1604.87,42.51,0
2017-02-16,5,LOS CABOS,1656.38,1613.69,42.69,0
2017-02-16,6,LOS CABOS,1808.38,1759.43,48.95,0
2017-02-16,7,LOS CABOS,1812.84,1759.59,53.26,0
2017-02-16,8,LOS CABOS,1815.09,1727.56,87.52,0
2017-02-16,9,LOS CABOS,2159.03,2049.66,109.37,0
2017-02-16,10,LOS CABOS,2147.93,2034.02,113.91,0
2017-02-16,11,LOS CABOS,2148.96,2031.24,117.73,0
2017-02-16,12,LOS CABOS,2150.1,2030.41,119.69,0
2017-02-16,13,LOS CABOS,2112.64,1995,117.64,0
2017-02-16,14,LOS CABOS,2149.98,2031.23,118.75,0
2017-02-16,15,LOS CABOS,2107.81,2033.68,74.14,0
2017-02-16,16,LOS CABOS,1827.13,1762.31,64.82,0
2017-02-16,17,LOS CABOS,1903.51,1835.31,68.21,0
2017-02-16,18,LOS CABOS,2080.11,2004.94,75.17,0
2017-02-16,19,LOS CABOS,1982.32,1905.69,76.63,0
2017-02-16,20,LOS CABOS,2121.37,2037.64,83.73,0
2017-02-16,21,LOS CABOS,1999.67,1922.41,77.27,0
2017-02-16,22,LOS CABOS,1824.77,1757.68,67.09,0
2017-02-16,23,LOS CABOS,1926.22,1861.08,65.14,0
2017-02-16,24,LOS CABOS,2047.98,1984.87,63.11,0
2017-02-17,1,CONSTITUCION,1737.71,1808.32,-70.61,0
2017-02-17,2,CONSTITUCION,1626.67,1677.61,-50.95,0
2017-02-17,3,CONSTITUCION,1792.86,1817.22,-24.36,0
2017-02-17,4,CONSTITUCION,1782,1807.77,-25.76,0
2017-02-17,5,CONSTITUCION,1782.21,1807.8,-25.59,0
2017-02-17,6,CONSTITUCION,1668.85,1727.26,-58.41,0
2017-02-17,7,CONSTITUCION,1861.3,1953.48,-92.19,0
2017-02-17,8,CONSTITUCION,1914.96,1969.52,-54.55,0
