Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-03-01,1,CONSTITUCION,1733.83,1808.3,-74.47,0
2017-03-01,2,CONSTITUCION,1665.51,1727.4,-61.9,0
2017-03-01,3,CONSTITUCION,1782.03,1817.2,-35.17,0
2017-03-01,4,CONSTITUCION,1719.76,1743.85,-24.09,0
2017-03-01,5,CONSTITUCION,1720.18,1746.02,-25.84,0
2017-03-01,6,CONSTITUCION,1664.17,1726.48,-62.31,0
2017-03-01,7,CONSTITUCION,1877.24,1989.88,-112.64,0
2017-03-01,8,CONSTITUCION,1889.67,1948.68,-59.01,0
2017-03-01,9,CONSTITUCION,1841.36,1879.51,-38.15,0
2017-03-01,10,CONSTITUCION,1775.47,1749.34,26.13,0
2017-03-01,11,CONSTITUCION,1790.95,1767.41,23.54,0
2017-03-01,12,CONSTITUCION,1793.43,1767.48,25.95,0
2017-03-01,13,CONSTITUCION,2055.61,2025.08,30.53,0
2017-03-01,14,CONSTITUCION,2136.12,2097.23,38.89,0
2017-03-01,15,CONSTITUCION,2140.42,2097.37,43.05,0
2017-03-01,16,CONSTITUCION,2180,2152.41,27.59,0
2017-03-01,17,CONSTITUCION,1816.61,1857.62,-41.02,0
2017-03-01,18,CONSTITUCION,2049.99,2132.21,-82.23,0
2017-03-01,19,CONSTITUCION,1935.46,2003.24,-67.79,0
2017-03-01,20,CONSTITUCION,2060.21,2131.67,-71.47,0
2017-03-01,21,CONSTITUCION,2002.54,2075.31,-72.77,0
2017-03-01,22,CONSTITUCION,1819.29,1863.29,-44,0
2017-03-01,23,CONSTITUCION,1920.9,2006.38,-85.49,0
2017-03-01,24,CONSTITUCION,1791.95,1809,-17.04,0
2017-03-01,1,LA PAZ,1812.65,1808.3,4.35,0
2017-03-01,2,LA PAZ,1732.85,1727.4,5.44,0
2017-03-01,3,LA PAZ,1825.52,1817.2,8.31,0
2017-03-01,4,LA PAZ,1752.65,1743.85,8.8,0
2017-03-01,5,LA PAZ,1754.74,1746.02,8.71,0
2017-03-01,6,LA PAZ,1732.33,1726.48,5.85,0
2017-03-01,7,LA PAZ,1993.94,1989.88,4.06,0
2017-03-01,8,LA PAZ,1965.82,1948.68,17.14,0
2017-03-01,9,LA PAZ,1896.12,1879.51,16.61,0
2017-03-01,10,LA PAZ,1764.86,1749.34,15.52,0
2017-03-01,11,LA PAZ,1783.34,1767.41,15.93,0
2017-03-01,12,LA PAZ,1783.42,1767.48,15.94,0
2017-03-01,13,LA PAZ,2043.26,2025.08,18.18,0
2017-03-01,14,LA PAZ,2116.89,2097.23,19.66,0
2017-03-01,15,LA PAZ,2116.77,2097.37,19.4,0
2017-03-01,16,LA PAZ,2162.69,2152.41,10.28,0
2017-03-01,17,LA PAZ,1863.55,1857.62,5.93,0
2017-03-01,18,LA PAZ,2135.34,2132.21,3.13,0
2017-03-01,19,LA PAZ,2007.18,2003.24,3.94,0
2017-03-01,20,LA PAZ,2134.96,2131.67,3.29,0
2017-03-01,21,LA PAZ,2078.86,2075.31,3.55,0
2017-03-01,22,LA PAZ,1868.46,1863.29,5.17,0
2017-03-01,23,LA PAZ,2010.52,2006.38,4.14,0
2017-03-01,24,LA PAZ,1817.37,1809,8.38,0
2017-03-01,1,LOS CABOS,1863.88,1808.3,55.58,0
2017-03-01,2,LOS CABOS,1777.81,1727.4,50.4,0
2017-03-01,3,LOS CABOS,1868.15,1817.2,50.94,0
2017-03-01,4,LOS CABOS,1791.49,1743.85,47.64,0
2017-03-01,5,LOS CABOS,1793.85,1746.02,47.83,0
2017-03-01,6,LOS CABOS,1776.12,1726.48,49.65,0
2017-03-01,7,LOS CABOS,2052.7,1989.88,62.82,0
2017-03-01,8,LOS CABOS,2007.59,1948.68,58.91,0
2017-03-01,9,LOS CABOS,1938.76,1879.51,59.24,0
2017-03-01,10,LOS CABOS,1806.8,1749.34,57.47,0
2017-03-01,11,LOS CABOS,1827.43,1767.41,60.02,0
2017-03-01,12,LOS CABOS,1828.77,1767.48,61.29,0
2017-03-01,13,LOS CABOS,2095.87,2025.08,70.79,0
2017-03-01,14,LOS CABOS,2169.61,2097.23,72.38,0
2017-03-01,15,LOS CABOS,2169.28,2097.37,71.91,0
2017-03-01,16,LOS CABOS,2234.42,2152.41,82.01,0
2017-03-01,17,LOS CABOS,1928.78,1857.62,71.15,0
2017-03-01,18,LOS CABOS,2216.01,2132.21,83.8,0
2017-03-01,19,LOS CABOS,2086.13,2003.24,82.89,0
2017-03-01,20,LOS CABOS,2223.12,2131.67,91.45,0
2017-03-01,21,LOS CABOS,2162.36,2075.31,87.05,0
2017-03-01,22,LOS CABOS,1937.33,1863.29,74.04,0
2017-03-01,23,LOS CABOS,2079.24,2006.38,72.85,0
2017-03-01,24,LOS CABOS,1867.25,1809,58.25,0
2017-03-02,1,CONSTITUCION,1622.3,1625.37,-3.07,0
2017-03-02,2,CONSTITUCION,1698.28,1766.37,-68.1,0
2017-03-02,3,CONSTITUCION,1782.21,1813.63,-31.41,0
2017-03-02,4,CONSTITUCION,1774.01,1797.48,-23.47,0
2017-03-02,5,CONSTITUCION,1777.05,1802.37,-25.32,0
