Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-01-01,1,ACAPULCO,1010.09,640.92,77.38,291.79
2017-01-01,2,ACAPULCO,809.93,724.95,84.98,0
2017-01-01,3,ACAPULCO,707.82,638.03,69.79,0
2017-01-01,4,ACAPULCO,675.76,612.79,62.97,0
2017-01-01,5,ACAPULCO,659.99,600.75,59.25,0
2017-01-01,6,ACAPULCO,653.91,596.4,57.51,0
2017-01-01,7,ACAPULCO,644.59,589.48,55.11,0
2017-01-01,8,ACAPULCO,580.85,537.29,43.56,0
2017-01-01,9,ACAPULCO,580.68,537.19,43.49,0
2017-01-01,10,ACAPULCO,606.61,558.73,47.87,0
2017-01-01,11,ACAPULCO,655.18,601.12,54.06,0
2017-01-01,12,ACAPULCO,655.74,600.62,55.13,0
2017-01-01,13,ACAPULCO,670.57,612.6,57.97,0
2017-01-01,14,ACAPULCO,677.27,616.73,60.54,0
2017-01-01,15,ACAPULCO,685.53,623.96,61.57,0
2017-01-01,16,ACAPULCO,689.36,626.57,62.79,0
2017-01-01,17,ACAPULCO,691.33,628.46,62.88,0
2017-01-01,18,ACAPULCO,723.9,665.07,58.83,0
2017-01-01,19,ACAPULCO,963.35,734.71,77.81,150.84
2017-01-01,20,ACAPULCO,983.4,754.98,59.32,169.1
2017-01-01,21,ACAPULCO,983.23,717.13,60.26,205.84
2017-01-01,22,ACAPULCO,996.42,739.35,85.83,171.24
2017-01-01,23,ACAPULCO,992.74,709.36,67.62,215.75
2017-01-01,24,ACAPULCO,874.84,796.86,77.98,0
2017-01-01,1,AGUASCALIENTES,726.61,640.92,-5.26,90.95
2017-01-01,2,AGUASCALIENTES,716.25,724.95,-8.7,0
2017-01-01,3,AGUASCALIENTES,631.48,638.03,-6.55,0
2017-01-01,4,AGUASCALIENTES,608.94,612.79,-3.85,0
2017-01-01,5,AGUASCALIENTES,595.79,600.75,-4.96,0
2017-01-01,6,AGUASCALIENTES,590.17,596.4,-6.23,0
2017-01-01,7,AGUASCALIENTES,583.28,589.48,-6.2,0
2017-01-01,8,AGUASCALIENTES,532.51,537.29,-4.78,0
2017-01-01,9,AGUASCALIENTES,530.65,537.19,-6.54,0
2017-01-01,10,AGUASCALIENTES,551.37,558.73,-7.36,0
2017-01-01,11,AGUASCALIENTES,594.18,601.12,-6.94,0
2017-01-01,12,AGUASCALIENTES,595.06,600.61,-5.56,0
2017-01-01,13,AGUASCALIENTES,606.08,612.6,-6.52,0
2017-01-01,14,AGUASCALIENTES,609.38,616.73,-7.35,0
2017-01-01,15,AGUASCALIENTES,616.91,623.96,-7.05,0
2017-01-01,16,AGUASCALIENTES,620.46,626.57,-6.11,0
2017-01-01,17,AGUASCALIENTES,622.89,628.46,-5.57,0
2017-01-01,18,AGUASCALIENTES,657.14,665.07,-7.93,0
2017-01-01,19,AGUASCALIENTES,765.37,734.71,-16.35,47.01
2017-01-01,20,AGUASCALIENTES,794.92,754.98,-12.75,52.68
2017-01-01,21,AGUASCALIENTES,766.22,717.13,-15,64.09
2017-01-01,22,AGUASCALIENTES,772.96,739.35,-19.72,53.33
2017-01-01,23,AGUASCALIENTES,759.8,709.36,-16.78,67.22
2017-01-01,24,AGUASCALIENTES,776.33,796.86,-20.53,0
2017-01-01,1,APATZINGAN,770.76,640.92,31.92,97.92
2017-01-01,2,APATZINGAN,757.31,724.95,32.36,0
