Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-03-16,1,ACAPULCO,644.56,592.3,52.26,0
2017-03-16,2,ACAPULCO,592.32,546.31,46,0
2017-03-16,3,ACAPULCO,578.02,535.51,42.5,0
2017-03-16,4,ACAPULCO,555.45,515.74,39.71,0
2017-03-16,5,ACAPULCO,574.94,534.09,40.84,0
2017-03-16,6,ACAPULCO,597.53,553.52,44.01,0
2017-03-16,7,ACAPULCO,654.97,604.27,50.71,0
2017-03-16,8,ACAPULCO,748.16,691.51,59.26,-2.6
2017-03-16,9,ACAPULCO,968.09,897.87,76.23,-6.01
2017-03-16,10,ACAPULCO,1065.62,990.55,82.54,-7.47
2017-03-16,11,ACAPULCO,1069.17,984.42,90.2,-5.46
2017-03-16,12,ACAPULCO,1067.55,1013.05,85.1,-30.61
2017-03-16,13,ACAPULCO,1088,1067.97,90.7,-70.68
2017-03-16,14,ACAPULCO,1091.84,1021.54,86.46,-16.15
2017-03-16,15,ACAPULCO,1100.03,1018.22,85.75,-3.94
2017-03-16,16,ACAPULCO,1074.36,1024.39,94.63,-44.67
2017-03-16,17,ACAPULCO,1040.74,1056.58,89.53,-105.37
2017-03-16,18,ACAPULCO,1061.06,1022.16,83.08,-44.19
2017-03-16,19,ACAPULCO,1069.83,986.69,86.93,-3.79
2017-03-16,20,ACAPULCO,1108.39,1008.34,103.48,-3.43
2017-03-16,21,ACAPULCO,1085.29,990.77,99.77,-5.25
2017-03-16,22,ACAPULCO,1085.26,987.87,102.83,-5.44
2017-03-16,23,ACAPULCO,930.72,847.73,86.5,-3.51
2017-03-16,24,ACAPULCO,668.91,611.76,57.15,0
2017-03-16,1,AGUASCALIENTES,597.18,592.3,4.88,0
2017-03-16,2,AGUASCALIENTES,548.67,546.31,2.36,0
2017-03-16,3,AGUASCALIENTES,538.86,535.51,3.35,0
2017-03-16,4,AGUASCALIENTES,519.23,515.74,3.49,0
2017-03-16,5,AGUASCALIENTES,538.1,534.09,4.01,0
2017-03-16,6,AGUASCALIENTES,557.78,553.52,4.26,0
2017-03-16,7,AGUASCALIENTES,611.43,604.27,7.16,0
2017-03-16,8,AGUASCALIENTES,721.48,691.51,9.58,20.39
2017-03-16,9,AGUASCALIENTES,964.51,897.87,16.43,50.21
2017-03-16,10,AGUASCALIENTES,1075.17,990.55,22.12,62.49
2017-03-16,11,AGUASCALIENTES,1047.24,984.42,17.2,45.62
2017-03-16,12,AGUASCALIENTES,1073.45,1013.05,27.94,32.46
2017-03-16,13,AGUASCALIENTES,1111.01,1067.97,28.96,14.08
2017-03-16,14,AGUASCALIENTES,1076.35,1021.54,27.48,27.33
2017-03-16,15,AGUASCALIENTES,1077.81,1018.22,26.75,32.85
2017-03-16,16,AGUASCALIENTES,1059.47,1024.39,26.45,8.63
2017-03-16,17,AGUASCALIENTES,1073.57,1056.58,26.6,-9.6
2017-03-16,18,AGUASCALIENTES,1057.23,1022.16,27.37,7.7
2017-03-16,19,AGUASCALIENTES,1037.6,986.69,21.14,29.77
