Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-05-01,1,ACAPULCO,974.97,877.01,97.96,0
2017-05-01,2,ACAPULCO,726.88,660.26,66.63,0
2017-05-01,3,ACAPULCO,684.03,625.87,58.16,0
2017-05-01,4,ACAPULCO,703.49,639.73,63.76,0
2017-05-01,5,ACAPULCO,693.86,632.51,61.35,0
2017-05-01,6,ACAPULCO,724.74,656.52,68.22,0
2017-05-01,7,ACAPULCO,821.52,744.14,77.38,0
2017-05-01,8,ACAPULCO,691.19,632.21,58.98,0
2017-05-01,9,ACAPULCO,912.3,834.44,77.86,0
2017-05-01,10,ACAPULCO,945.72,867.65,78.06,0
2017-05-01,11,ACAPULCO,1011.21,943.59,67.62,0
2017-05-01,12,ACAPULCO,1058.35,989.4,68.96,0
2017-05-01,13,ACAPULCO,1057.65,990.25,67.4,0
2017-05-01,14,ACAPULCO,1054.14,985.3,68.84,0
2017-05-01,15,ACAPULCO,1122.53,1053.47,69.07,0
2017-05-01,16,ACAPULCO,1071.26,1006.63,64.63,0
2017-05-01,17,ACAPULCO,1044.07,971.95,72.12,0
2017-05-01,18,ACAPULCO,1065.77,1000.25,65.52,0
2017-05-01,19,ACAPULCO,1076.29,1007.27,69.02,0
2017-05-01,20,ACAPULCO,1105.69,1008.78,96.9,0
2017-05-01,21,ACAPULCO,1038.85,953.3,85.55,0
2017-05-01,22,ACAPULCO,1067.09,977.81,89.28,0
2017-05-01,23,ACAPULCO,1097.4,1002.46,94.95,0
2017-05-01,24,ACAPULCO,1018.34,936.01,82.33,0
2017-05-01,1,AGUASCALIENTES,892.02,877.01,15.01,0
2017-05-01,2,AGUASCALIENTES,670.45,660.26,10.19,0
2017-05-01,3,AGUASCALIENTES,638.23,625.87,12.35,0
2017-05-01,4,AGUASCALIENTES,649.88,639.73,10.15,0
2017-05-01,5,AGUASCALIENTES,641.9,632.51,9.39,0
2017-05-01,6,AGUASCALIENTES,664.81,656.52,8.29,0
2017-05-01,7,AGUASCALIENTES,752,744.14,7.85,0
2017-05-01,8,AGUASCALIENTES,641.79,632.21,9.58,0
2017-05-01,9,AGUASCALIENTES,844.31,834.44,9.87,0
2017-05-01,10,AGUASCALIENTES,883,867.65,15.35,0
2017-05-01,11,AGUASCALIENTES,960.83,943.59,17.25,0
2017-05-01,12,AGUASCALIENTES,1012.27,989.4,22.87,0
2017-05-01,13,AGUASCALIENTES,1014.54,990.25,24.29,0
2017-05-01,14,AGUASCALIENTES,1010.84,985.3,25.54,0
2017-05-01,15,AGUASCALIENTES,1079.67,1053.47,26.2,0
2017-05-01,16,AGUASCALIENTES,1031.13,1006.63,24.5,0
2017-05-01,17,AGUASCALIENTES,989.84,971.95,17.89,0
2017-05-01,18,AGUASCALIENTES,1025.55,1000.25,25.3,0
2017-05-01,19,AGUASCALIENTES,1032.57,1007.27,25.3,0
2017-05-01,20,AGUASCALIENTES,1030.36,1008.78,21.58,0
2017-05-01,21,AGUASCALIENTES,970.54,953.3,17.24,0
2017-05-01,22,AGUASCALIENTES,992.3,977.81,14.5,0
2017-05-01,23,AGUASCALIENTES,1020.66,1002.46,18.2,0
2017-05-01,24,AGUASCALIENTES,958.08,936.02,22.06,0
2017-05-01,1,APATZINGAN,931.43,877.01,54.42,0
2017-05-01,2,APATZINGAN,693.8,660.26,33.55,0
2017-05-01,3,APATZINGAN,656.5,625.87,30.63,0
2017-05-01,4,APATZINGAN,672.11,639.73,32.38,0
2017-05-01,5,APATZINGAN,663.47,632.51,30.96,0
2017-05-01,6,APATZINGAN,691.12,656.52,34.6,0
2017-05-01,7,APATZINGAN,786.13,744.14,41.99,0
2017-05-01,8,APATZINGAN,673.16,632.21,40.95,0
2017-05-01,9,APATZINGAN,893.18,834.44,58.74,0
2017-05-01,10,APATZINGAN,936.33,867.65,68.68,0
2017-05-01,11,APATZINGAN,1016.2,943.59,72.61,0
2017-05-01,12,APATZINGAN,1068,989.4,78.61,0
2017-05-01,13,APATZINGAN,1069.64,990.25,79.39,0
2017-05-01,14,APATZINGAN,1065.57,985.3,80.27,0
2017-05-01,15,APATZINGAN,1135.1,1053.46,81.63,0
2017-05-01,16,APATZINGAN,1082.84,1006.63,76.21,0
2017-05-01,17,APATZINGAN,1043.07,971.95,71.12,0
2017-05-01,18,APATZINGAN,1075.57,1000.25,75.32,0
2017-05-01,19,APATZINGAN,1083.04,1007.27,75.77,0
2017-05-01,20,APATZINGAN,1084.16,1008.78,75.37,0
2017-05-01,21,APATZINGAN,1031.2,953.3,77.91,0
2017-05-01,22,APATZINGAN,1059.95,977.81,82.14,0
2017-05-01,23,APATZINGAN,1072.48,1002.46,70.02,0
2017-05-01,24,APATZINGAN,994.76,936.01,58.75,0
2017-05-01,1,CABORCA,661.4,877.01,-106.94,-108.67
2017-05-01,2,CABORCA,586.29,660.26,-73.97,0
2017-05-01,3,CABORCA,565.6,625.87,-60.28,0
2017-05-01,4,CABORCA,564.59,639.73,-75.14,0
2017-05-01,5,CABORCA,553.55,632.51,-78.96,0
2017-05-01,6,CABORCA,557.87,656.52,-98.66,0
2017-05-01,7,CABORCA,589.19,744.14,-127.41,-27.54
2017-05-01,8,CABORCA,552.84,632.21,-79.37,0
2017-05-01,9,CABORCA,592.45,834.44,-142.04,-99.95
2017-05-01,10,CABORCA,621.3,867.65,-129.79,-116.57
2017-05-01,11,CABORCA,674.5,943.59,-123.48,-145.61
2017-05-01,12,CABORCA,718.77,989.4,-101.24,-169.39
2017-05-01,13,CABORCA,766.43,990.25,-89.23,-134.59
2017-05-01,14,CABORCA,751.78,985.3,-83.59,-149.94
2017-05-01,15,CABORCA,769.29,1053.46,-78.95,-205.23
2017-05-01,16,CABORCA,767.6,1006.63,-70.32,-168.71
2017-05-01,17,CABORCA,752.44,971.95,-80,-139.51
2017-05-01,18,CABORCA,782.76,1000.25,-67.45,-150.05
2017-05-01,19,CABORCA,784.08,1007.27,-72.77,-150.42
2017-05-01,20,CABORCA,787.29,1008.78,-87.21,-134.29
2017-05-01,21,CABORCA,775.61,953.3,-84.96,-92.72
2017-05-01,22,CABORCA,786.13,977.81,-81.4,-110.28
2017-05-01,23,CABORCA,927.12,1002.46,-75.34,0
2017-05-01,24,CABORCA,784.89,936.01,-61.19,-89.93
2017-05-01,1,CAMARGO,835.65,877.01,-41.36,0
2017-05-01,2,CAMARGO,632.21,660.26,-28.05,0
2017-05-01,3,CAMARGO,607.58,625.87,-18.3,0
2017-05-01,4,CAMARGO,608.78,639.73,-30.95,0
2017-05-01,5,CAMARGO,600.09,632.51,-32.42,0
2017-05-01,6,CAMARGO,612.83,656.52,-43.69,0
2017-05-01,7,CAMARGO,681.41,744.14,-62.73,0
2017-05-01,8,CAMARGO,599.19,632.21,-33.02,0
2017-05-01,9,CAMARGO,764.62,834.44,-69.82,0
2017-05-01,10,CAMARGO,813.16,867.65,-54.5,0
2017-05-01,11,CAMARGO,904.65,943.59,-38.94,0
2017-05-01,12,CAMARGO,975.79,989.4,-13.61,0
2017-05-01,13,CAMARGO,990.36,990.25,.11,0
2017-05-01,14,CAMARGO,992.38,985.3,7.07,0
2017-05-01,15,CAMARGO,1067.68,1053.46,14.22,0
2017-05-01,16,CAMARGO,1023.18,1006.63,16.56,0
2017-05-01,17,CAMARGO,981.22,971.95,9.27,0
2017-05-01,18,CAMARGO,1020.7,1000.25,20.45,0
2017-05-01,19,CAMARGO,1028.97,1007.27,21.7,0
2017-05-01,20,CAMARGO,1018.14,1008.78,9.35,0
2017-05-01,21,CAMARGO,964.53,953.3,11.23,0
2017-05-01,22,CAMARGO,994.84,977.81,17.03,0
2017-05-01,23,CAMARGO,1023.42,1002.46,20.96,0
2017-05-01,24,CAMARGO,957.72,936.02,21.71,0
2017-05-01,1,CAMPECHE,1984.95,877.01,124.82,983.12
2017-05-01,2,CAMPECHE,771.98,660.26,111.72,0
2017-05-01,3,CAMPECHE,722.82,625.87,96.95,0
2017-05-01,4,CAMPECHE,738.62,639.73,98.88,0
2017-05-01,5,CAMPECHE,729.51,632.51,97,0
2017-05-01,6,CAMPECHE,755.09,656.52,98.56,0
2017-05-01,7,CAMPECHE,871.11,744.14,126.97,0
2017-05-01,8,CAMPECHE,716.65,632.21,84.44,0
2017-05-01,9,CAMPECHE,961.43,834.44,126.99,0
2017-05-01,10,CAMPECHE,970.66,867.65,103,0
2017-05-01,11,CAMPECHE,1081.07,943.59,137.48,0
2017-05-01,12,CAMPECHE,1130.67,989.4,141.27,0
2017-05-01,13,CAMPECHE,1118.43,990.25,128.18,0
2017-05-01,14,CAMPECHE,1113.05,985.3,127.75,0
2017-05-01,15,CAMPECHE,1190.19,1053.46,136.73,0
2017-05-01,16,CAMPECHE,1155.95,1006.63,149.32,0
2017-05-01,17,CAMPECHE,1116.76,971.95,144.81,0
2017-05-01,18,CAMPECHE,1151.3,1000.25,151.05,0
2017-05-01,19,CAMPECHE,1160.96,1007.27,153.69,0
2017-05-01,20,CAMPECHE,1164.52,1008.78,155.73,0
2017-05-01,21,CAMPECHE,2025.74,953.3,118.84,953.6
2017-05-01,22,CAMPECHE,2134.43,977.81,124.44,1032.19
2017-05-01,23,CAMPECHE,2108.22,1002.46,129.46,976.31
2017-05-01,24,CAMPECHE,1931.59,936.01,128.9,866.67
2017-05-01,1,CANCUN,2022.63,877.01,162.5,983.12
2017-05-01,2,CANCUN,796.15,660.26,135.89,0
2017-05-01,3,CANCUN,744.63,625.87,118.75,0
2017-05-01,4,CANCUN,760.57,639.73,120.83,0
2017-05-01,5,CANCUN,751.1,632.51,118.59,0
2017-05-01,6,CANCUN,778.36,656.52,121.83,0
2017-05-01,7,CANCUN,898.64,744.14,154.49,0
2017-05-01,8,CANCUN,742.12,632.21,109.9,0
