Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-04-16,1,ENSENADA,476.65,459.12,17.53,0
2017-04-16,2,ENSENADA,472.39,456,16.39,0
2017-04-16,3,ENSENADA,471.65,456.57,15.08,0
2017-04-16,4,ENSENADA,471.09,455.73,15.36,0
2017-04-16,5,ENSENADA,471.69,455.51,16.18,0
2017-04-16,6,ENSENADA,473.01,456.36,16.64,0
2017-04-16,7,ENSENADA,472.11,455.53,16.58,0
2017-04-16,8,ENSENADA,474.21,456.45,17.77,0
2017-04-16,9,ENSENADA,478.56,459.32,19.24,0
2017-04-16,10,ENSENADA,480.03,460.21,19.82,0
2017-04-16,11,ENSENADA,484.62,464.37,20.26,0
2017-04-16,12,ENSENADA,482.74,463.43,19.31,0
2017-04-16,13,ENSENADA,483.33,465.05,18.28,0
2017-04-16,14,ENSENADA,490.6,472.17,18.43,0
2017-04-16,15,ENSENADA,492.7,473.25,19.46,0
2017-04-16,16,ENSENADA,493.83,475.83,18,0
2017-04-16,17,ENSENADA,492.5,475.79,16.71,0
2017-04-16,18,ENSENADA,491.96,475.71,16.26,0
2017-04-16,19,ENSENADA,490.58,473.36,17.21,0
2017-04-16,20,ENSENADA,491.37,472.65,18.72,0
2017-04-16,21,ENSENADA,494.72,475.63,19.09,0
2017-04-16,22,ENSENADA,494.15,475.73,18.42,0
2017-04-16,23,ENSENADA,486.46,469.8,16.67,0
2017-04-16,24,ENSENADA,483.12,468.44,14.68,0
2017-04-16,1,MEXICALI,454.44,459.12,-4.68,0
2017-04-16,2,MEXICALI,453.62,456,-2.38,0
2017-04-16,3,MEXICALI,453.21,456.57,-3.36,0
2017-04-16,4,MEXICALI,452.73,455.73,-3.01,0
2017-04-16,5,MEXICALI,452.5,455.51,-3.01,0
2017-04-16,6,MEXICALI,453.07,456.36,-3.3,0
2017-04-16,7,MEXICALI,452.15,455.53,-3.38,0
2017-04-16,8,MEXICALI,452.07,456.45,-4.38,0
2017-04-16,9,MEXICALI,453.59,459.32,-5.72,0
2017-04-16,10,MEXICALI,453.6,460.21,-6.61,0
2017-04-16,11,MEXICALI,455.59,464.37,-8.77,0
