Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-01-11,1,ENSENADA,844.23,829.34,14.89,0
2017-01-11,2,ENSENADA,974.61,958.11,16.5,0
2017-01-11,3,ENSENADA,1072.75,1055,17.75,0
2017-01-11,4,ENSENADA,1006.82,990.53,16.3,0
2017-01-11,5,ENSENADA,1040.08,1022.64,17.44,0
2017-01-11,6,ENSENADA,878.23,861.8,16.43,0
2017-01-11,7,ENSENADA,617.89,605.38,12.52,0
2017-01-11,8,ENSENADA,661.02,647.17,13.85,0
2017-01-11,9,ENSENADA,661.3,647.61,13.69,0
2017-01-11,10,ENSENADA,809.98,792.18,17.8,0
2017-01-11,11,ENSENADA,623.91,611.3,12.6,0
2017-01-11,12,ENSENADA,842.8,824.44,18.36,0
2017-01-11,13,ENSENADA,627.7,614.07,13.62,0
2017-01-11,14,ENSENADA,785.81,768.71,17.1,0
2017-01-11,15,ENSENADA,847.24,829.22,18.02,0
2017-01-11,16,ENSENADA,2078.64,2034.79,43.85,0
2017-01-11,17,ENSENADA,976.63,956.58,20.05,0
2017-01-11,18,ENSENADA,2117.98,2071.31,46.67,0
2017-01-11,19,ENSENADA,1731.64,1695.72,35.92,0
2017-01-11,20,ENSENADA,949.26,926.3,22.96,0
2017-01-11,21,ENSENADA,2051.13,2006.02,45.11,0
2017-01-11,22,ENSENADA,2192.82,2146.63,46.19,0
2017-01-11,23,ENSENADA,844.91,829.28,15.63,0
2017-01-11,24,ENSENADA,7669.03,7545.89,123.14,0
2017-01-11,1,MEXICALI,820.59,829.34,-8.75,0
2017-01-11,2,MEXICALI,953.64,958.11,-4.47,0
2017-01-11,3,MEXICALI,1051.22,1055,-3.79,0
2017-01-11,4,MEXICALI,986.77,990.53,-3.75,0
2017-01-11,5,MEXICALI,1023.59,1022.64,.95,0
2017-01-11,6,MEXICALI,860.41,861.8,-1.4,0
2017-01-11,7,MEXICALI,598.89,605.38,-6.49,0
2017-01-11,8,MEXICALI,631.56,647.17,-15.61,0
2017-01-11,9,MEXICALI,632.16,647.61,-15.46,0
2017-01-11,10,MEXICALI,770.29,792.18,-21.89,0
2017-01-11,11,MEXICALI,593.21,611.31,-18.09,0
2017-01-11,12,MEXICALI,798.31,824.44,-26.13,0
2017-01-11,13,MEXICALI,594.38,614.07,-19.69,0
2017-01-11,14,MEXICALI,743.5,768.71,-25.21,0
2017-01-11,15,MEXICALI,809.6,829.22,-19.63,0
2017-01-11,16,MEXICALI,1987.01,2034.79,-47.77,0
2017-01-11,17,MEXICALI,940.69,956.58,-15.89,0
2017-01-11,18,MEXICALI,2039.17,2071.31,-32.14,0
2017-01-11,19,MEXICALI,1680.56,1695.72,-15.16,0
2017-01-11,20,MEXICALI,915.14,926.3,-11.16,0
2017-01-11,21,MEXICALI,1956.86,2006.02,-49.16,0
2017-01-11,22,MEXICALI,2104.66,2146.63,-41.97,0
2017-01-11,23,MEXICALI,809.37,829.28,-19.91,0
2017-01-11,24,MEXICALI,7498.88,7547.13,-48.25,0
2017-01-11,1,SANLUIS,814.78,829.34,-14.56,0
2017-01-11,2,SANLUIS,947.98,958.11,-10.13,0
2017-01-11,3,SANLUIS,1045.3,1055,-9.71,0
2017-01-11,4,SANLUIS,981.21,990.53,-9.32,0
2017-01-11,5,SANLUIS,1017.9,1022.64,-4.74,0
2017-01-11,6,SANLUIS,855.83,861.8,-5.98,0
2017-01-11,7,SANLUIS,595.72,605.38,-9.65,0
2017-01-11,8,SANLUIS,627.54,647.17,-19.63,0
2017-01-11,9,SANLUIS,628.55,647.61,-19.07,0
2017-01-11,10,SANLUIS,766.01,792.18,-26.18,0
2017-01-11,11,SANLUIS,589.92,611.3,-21.39,0
2017-01-11,12,SANLUIS,793.63,824.44,-30.81,0
2017-01-11,13,SANLUIS,591.89,614.07,-22.18,0
2017-01-11,14,SANLUIS,739.8,768.71,-28.91,0
2017-01-11,15,SANLUIS,805.65,829.22,-23.57,0
2017-01-11,16,SANLUIS,1976.52,2034.79,-58.27,0
2017-01-11,17,SANLUIS,936.37,956.58,-20.21,0
2017-01-11,18,SANLUIS,2032.35,2071.31,-38.96,0
2017-01-11,19,SANLUIS,1675.64,1695.72,-20.09,0
2017-01-11,20,SANLUIS,912.16,926.3,-14.14,0
2017-01-11,21,SANLUIS,1948.85,2006.02,-57.17,0
2017-01-11,22,SANLUIS,2094.92,2146.63,-51.71,0
2017-01-11,23,SANLUIS,804.53,829.28,-24.74,0
2017-01-11,24,SANLUIS,7461.81,7547.13,-85.31,0
2017-01-11,1,TIJUANA,838.87,829.34,9.53,0
2017-01-11,2,TIJUANA,969.47,958.11,11.36,0
2017-01-11,3,TIJUANA,1067.56,1055,12.56,0
2017-01-11,4,TIJUANA,1002.28,990.53,11.75,0
2017-01-11,5,TIJUANA,1034.67,1022.64,12.03,0
2017-01-11,6,TIJUANA,871.76,861.8,9.96,0
2017-01-11,7,TIJUANA,612.58,605.38,7.21,0
2017-01-11,8,TIJUANA,655.09,647.17,7.92,0
2017-01-11,9,TIJUANA,656.15,647.61,8.54,0
2017-01-11,10,TIJUANA,802.58,792.18,10.4,0
2017-01-11,11,TIJUANA,619.33,611.31,8.03,0
2017-01-11,12,TIJUANA,835.23,824.44,10.79,0
2017-01-11,13,TIJUANA,621.77,614.07,7.7,0
2017-01-11,14,TIJUANA,778.52,768.71,9.81,0
2017-01-11,15,TIJUANA,840.47,829.22,11.25,0
2017-01-11,16,TIJUANA,2062.62,2034.79,27.83,0
2017-01-11,17,TIJUANA,969.97,956.58,13.39,0
2017-01-11,18,TIJUANA,2101.88,2071.31,30.57,0
2017-01-11,19,TIJUANA,1722.38,1695.72,26.65,0
2017-01-11,20,TIJUANA,940.68,926.3,14.38,0
2017-01-11,21,TIJUANA,2035.24,2006.02,29.22,0
2017-01-11,22,TIJUANA,2176.89,2146.63,30.26,0
2017-01-11,23,TIJUANA,839.74,829.28,10.47,0
2017-01-11,24,TIJUANA,7646.85,7547.13,99.73,0
2017-01-13,1,ENSENADA,2572.31,2532.28,40.03,0
2017-01-13,2,ENSENADA,2798.42,2754.71,43.71,0
2017-01-13,3,ENSENADA,2808.76,2755.97,52.79,0
2017-01-13,4,ENSENADA,3125.3,3065.65,59.65,0
2017-01-13,5,ENSENADA,3016.23,2955.05,61.18,0
2017-01-13,6,ENSENADA,2896.64,2833.19,63.44,0
2017-01-13,7,ENSENADA,3004.39,2932.81,71.58,0
2017-01-13,8,ENSENADA,1123.58,1096.35,27.24,0
2017-01-13,9,ENSENADA,1123.38,1095.98,27.4,0
2017-01-13,10,ENSENADA,1122.74,1096.38,26.35,0
2017-01-13,11,ENSENADA,6589.07,6417.83,171.24,0
2017-01-13,12,ENSENADA,6422.65,6249.6,173.06,0
2017-01-13,13,ENSENADA,6423.31,6251.7,171.61,0
2017-01-13,14,ENSENADA,1090.72,1062.23,28.49,0
2017-01-13,15,ENSENADA,5865.63,5719.28,146.35,0
2017-01-13,16,ENSENADA,6425.14,6245.44,179.7,0
2017-01-13,17,ENSENADA,1127.66,1096.61,31.05,0
2017-01-13,18,ENSENADA,1093.28,1062.34,30.94,0
2017-01-13,19,ENSENADA,5832.81,5616.87,215.95,0
2017-01-13,20,ENSENADA,3765.18,3621.46,143.71,0
2017-01-13,21,ENSENADA,3240.58,3120.36,120.22,0
2017-01-13,22,ENSENADA,1136.58,1096.13,40.45,0
2017-01-13,23,ENSENADA,1134.2,1096.24,37.96,0
2017-01-13,24,ENSENADA,668.96,648.6,20.36,0
2017-01-13,1,MEXICALI,2537.18,2532.28,4.9,0
2017-01-13,2,MEXICALI,2747.75,2754.71,-6.96,0
2017-01-13,3,MEXICALI,2739.97,2755.97,-16,0
2017-01-13,4,MEXICALI,3053.11,3065.65,-12.55,0
2017-01-13,5,MEXICALI,2942.31,2955.05,-12.73,0
2017-01-13,6,MEXICALI,2818.02,2833.19,-15.18,0
2017-01-13,7,MEXICALI,2877.51,2932.81,-55.29,0
2017-01-13,8,MEXICALI,1067.26,1096.35,-29.09,0
2017-01-13,9,MEXICALI,1065.53,1095.98,-30.44,0
