Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-06-01,1,ENSENADA,505.47,487.6,17.87,0
2017-06-01,2,ENSENADA,499.88,483.07,16.81,0
2017-06-01,3,ENSENADA,501.36,484.8,16.55,0
2017-06-01,4,ENSENADA,499.64,483.28,16.37,0
2017-06-01,5,ENSENADA,503.18,486.87,16.31,0
2017-06-01,6,ENSENADA,505.21,488.68,16.54,0
2017-06-01,7,ENSENADA,504.21,487.16,17.05,0
2017-06-01,8,ENSENADA,508.37,490.04,18.33,0
2017-06-01,9,ENSENADA,519.94,499.98,19.96,0
2017-06-01,10,ENSENADA,522.9,502.09,20.81,0
2017-06-01,11,ENSENADA,529.93,508.39,21.54,0
2017-06-01,12,ENSENADA,580.42,558.16,22.25,0
2017-06-01,13,ENSENADA,576.33,553.78,22.56,0
2017-06-01,14,ENSENADA,722.95,693.16,29.79,0
2017-06-01,15,ENSENADA,723.93,692.97,30.96,0
2017-06-01,16,ENSENADA,526.55,504.42,22.13,0
2017-06-01,17,ENSENADA,522.06,499.73,22.33,0
2017-06-01,18,ENSENADA,734.25,703.32,30.93,0
2017-06-01,19,ENSENADA,727.57,697.98,29.6,0
2017-06-01,20,ENSENADA,721.93,693.04,28.89,0
2017-06-01,21,ENSENADA,523.74,502.01,21.73,0
2017-06-01,22,ENSENADA,722.5,692.84,29.66,0
2017-06-01,23,ENSENADA,512.73,492.37,20.37,0
2017-06-01,24,ENSENADA,507.57,488.53,19.04,0
2017-06-01,1,MEXICALI,492.96,487.6,5.36,0
2017-06-01,2,MEXICALI,487.66,483.07,4.59,0
2017-06-01,3,MEXICALI,488.97,484.8,4.17,0
2017-06-01,4,MEXICALI,486.55,483.28,3.28,0
2017-06-01,5,MEXICALI,487.59,486.87,.72,0
2017-06-01,6,MEXICALI,487.78,488.68,-.89,0
2017-06-01,7,MEXICALI,485.94,487.16,-1.22,0
2017-06-01,8,MEXICALI,486.28,490.04,-3.77,0
2017-06-01,9,MEXICALI,492.63,499.98,-7.35,0
2017-06-01,10,MEXICALI,493.54,502.09,-8.55,0
2017-06-01,11,MEXICALI,497.52,508.39,-10.87,0
2017-06-01,12,MEXICALI,548.59,558.16,-9.57,0
2017-06-01,13,MEXICALI,547.84,553.78,-5.94,0
2017-06-01,14,MEXICALI,687.33,693.16,-5.83,0
2017-06-01,15,MEXICALI,688.47,692.97,-4.51,0
2017-06-01,16,MEXICALI,503.05,504.42,-1.38,0
2017-06-01,17,MEXICALI,501.07,499.73,1.34,0
2017-06-01,18,MEXICALI,702.84,703.32,-.48,0
2017-06-01,19,MEXICALI,700.74,697.98,2.76,0
2017-06-01,20,MEXICALI,696.19,693.04,3.15,0
2017-06-01,21,MEXICALI,502.33,502.01,.32,0
2017-06-01,22,MEXICALI,694.86,692.84,2.02,0
2017-06-01,23,MEXICALI,496.46,492.37,4.09,0
