Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-03-01,1,ENSENADA,389.73,380.36,9.37,0
2017-03-01,2,ENSENADA,382.92,374.27,8.65,0
2017-03-01,3,ENSENADA,383.47,374.41,9.07,0
2017-03-01,4,ENSENADA,383.6,374.32,9.28,0
2017-03-01,5,ENSENADA,384.9,375.48,9.42,0
2017-03-01,6,ENSENADA,389.83,380.34,9.49,0
2017-03-01,7,ENSENADA,384.15,374.79,9.36,0
2017-03-01,8,ENSENADA,384.67,374.06,10.61,0
2017-03-01,9,ENSENADA,432.71,421.11,11.6,0
2017-03-01,10,ENSENADA,397.08,386.3,10.78,0
2017-03-01,11,ENSENADA,403.36,392.3,11.06,0
2017-03-01,12,ENSENADA,432.11,419.73,12.38,0
2017-03-01,13,ENSENADA,502.22,487.4,14.82,0
2017-03-01,14,ENSENADA,435.29,422.29,13,0
2017-03-01,15,ENSENADA,440.63,427.46,13.17,0
2017-03-01,16,ENSENADA,440.93,427.87,13.07,0
2017-03-01,17,ENSENADA,438.82,425.9,12.92,0
2017-03-01,18,ENSENADA,597.31,579.25,18.06,0
2017-03-01,19,ENSENADA,445.64,430.62,15.03,0
2017-03-01,20,ENSENADA,444.24,429.97,14.27,0
2017-03-01,21,ENSENADA,440.68,427.26,13.41,0
2017-03-01,22,ENSENADA,432.63,421.29,11.33,0
2017-03-01,23,ENSENADA,398.96,389.68,9.28,0
2017-03-01,24,ENSENADA,383.66,374.37,9.29,0
2017-03-01,1,MEXICALI,369.23,380.36,-11.13,0
2017-03-01,2,MEXICALI,362.97,374.27,-11.3,0
2017-03-01,3,MEXICALI,364.39,374.41,-10.02,0
2017-03-01,4,MEXICALI,364.65,374.32,-9.67,0
2017-03-01,5,MEXICALI,365.35,375.48,-10.13,0
2017-03-01,6,MEXICALI,370.71,380.34,-9.63,0
2017-03-01,7,MEXICALI,363.88,374.79,-10.9,0
2017-03-01,8,MEXICALI,362.49,374.06,-11.57,0
2017-03-01,9,MEXICALI,406.51,421.11,-14.6,0
2017-03-01,10,MEXICALI,374.41,386.3,-11.89,0
2017-03-01,11,MEXICALI,383.9,392.3,-8.4,0
2017-03-01,12,MEXICALI,412.98,419.73,-6.75,0
2017-03-01,13,MEXICALI,475.72,487.4,-11.68,0
2017-03-01,14,MEXICALI,413.48,422.29,-8.81,0
2017-03-01,15,MEXICALI,415.55,427.46,-11.91,0
2017-03-01,16,MEXICALI,415.81,427.87,-12.06,0
2017-03-01,17,MEXICALI,415.23,425.9,-10.68,0
2017-03-01,18,MEXICALI,563.81,579.25,-15.44,0
2017-03-01,19,MEXICALI,418.44,430.62,-12.17,0
2017-03-01,20,MEXICALI,418.19,429.97,-11.78,0
2017-03-01,21,MEXICALI,416.59,427.26,-10.68,0
2017-03-01,22,MEXICALI,413.75,421.29,-7.55,0
2017-03-01,23,MEXICALI,382.73,389.68,-6.96,0
2017-03-01,24,MEXICALI,365.95,374.37,-8.42,0
2017-03-01,1,SANLUIS,366.85,380.36,-13.51,0
2017-03-01,2,SANLUIS,360.53,374.27,-13.74,0
2017-03-01,3,SANLUIS,361.94,374.4,-12.46,0
2017-03-01,4,SANLUIS,362.24,374.32,-12.07,0
2017-03-01,5,SANLUIS,363.09,375.48,-12.4,0
2017-03-01,6,SANLUIS,368.67,380.34,-11.67,0
2017-03-01,7,SANLUIS,361.85,374.79,-12.94,0
2017-03-01,8,SANLUIS,360.4,374.06,-13.65,0
2017-03-01,9,SANLUIS,404.16,421.11,-16.95,0
2017-03-01,10,SANLUIS,373.11,386.3,-13.19,0
2017-03-01,11,SANLUIS,382.88,392.3,-9.42,0
2017-03-01,12,SANLUIS,411.93,419.73,-7.8,0
2017-03-01,13,SANLUIS,474.38,487.4,-13.02,0
2017-03-01,14,SANLUIS,412.38,422.29,-9.91,0
2017-03-01,15,SANLUIS,413.51,427.46,-13.95,0
2017-03-01,16,SANLUIS,413.79,427.87,-14.08,0
2017-03-01,17,SANLUIS,413.38,425.9,-12.53,0
2017-03-01,18,SANLUIS,561.58,579.25,-17.67,0
2017-03-01,19,SANLUIS,417.17,430.62,-13.45,0
2017-03-01,20,SANLUIS,416.91,429.97,-13.06,0
2017-03-01,21,SANLUIS,415.19,427.26,-12.07,0
2017-03-01,22,SANLUIS,412.14,421.29,-9.16,0
2017-03-01,23,SANLUIS,380.88,389.68,-8.8,0
2017-03-01,24,SANLUIS,363.93,374.37,-10.44,0
2017-03-01,1,TIJUANA,384.96,380.36,4.6,0
2017-03-01,2,TIJUANA,378.5,374.27,4.24,0
2017-03-01,3,TIJUANA,378.59,374.41,4.19,0
2017-03-01,4,TIJUANA,378.39,374.32,4.08,0
2017-03-01,5,TIJUANA,379.58,375.48,4.1,0
2017-03-01,6,TIJUANA,384.71,380.34,4.37,0
2017-03-01,7,TIJUANA,379.24,374.79,4.45,0
2017-03-01,8,TIJUANA,378.92,374.06,4.86,0
2017-03-01,9,TIJUANA,426.73,421.11,5.62,0
2017-03-01,10,TIJUANA,391.67,386.3,5.38,0
2017-03-01,11,TIJUANA,398.1,392.3,5.8,0
