Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-05-01,1,ENSENADA,505.77,489.02,16.75,0
2017-05-01,2,ENSENADA,500.98,485.14,15.84,0
2017-05-01,3,ENSENADA,498.62,482.61,16.01,0
2017-05-01,4,ENSENADA,497.52,481.8,15.73,0
2017-05-01,5,ENSENADA,498.1,482.69,15.41,0
2017-05-01,6,ENSENADA,503.76,487.92,15.84,0
2017-05-01,7,ENSENADA,496.45,481.12,15.34,0
2017-05-01,8,ENSENADA,500.89,484.21,16.67,0
2017-05-01,9,ENSENADA,510.94,492.2,18.74,0
2017-05-01,10,ENSENADA,516.16,500.2,15.97,0
2017-05-01,11,ENSENADA,518.08,502.37,15.71,0
2017-05-01,12,ENSENADA,576.79,558.96,17.83,0
2017-05-01,13,ENSENADA,573.37,556.17,17.2,0
2017-05-01,14,ENSENADA,570.37,553.57,16.81,0
2017-05-01,15,ENSENADA,568.81,552.15,16.67,0
2017-05-01,16,ENSENADA,742.25,720.18,22.07,0
2017-05-01,17,ENSENADA,764.5,741.65,22.84,0
2017-05-01,18,ENSENADA,773.59,746.7,26.89,0
2017-05-01,19,ENSENADA,762.96,736.33,26.63,0
2017-05-01,20,ENSENADA,768.57,741.61,26.96,0
2017-05-01,21,ENSENADA,1813.35,1750.1,63.25,0
2017-05-01,22,ENSENADA,1763.83,1705.24,58.59,0
2017-05-01,23,ENSENADA,759.43,736.06,23.37,0
2017-05-01,24,ENSENADA,512.41,498.11,14.3,0
2017-05-01,1,MEXICALI,489.44,489.02,.41,0
2017-05-01,2,MEXICALI,485.74,485.14,.59,0
2017-05-01,3,MEXICALI,482.86,482.61,.25,0
2017-05-01,4,MEXICALI,480.99,481.8,-.81,0
2017-05-01,5,MEXICALI,481.07,482.69,-1.62,0
2017-05-01,6,MEXICALI,482.77,487.92,-5.15,0
2017-05-01,7,MEXICALI,476.96,481.12,-4.16,0
2017-05-01,8,MEXICALI,480.49,484.21,-3.73,0
2017-05-01,9,MEXICALI,486.11,492.2,-6.09,0
2017-05-01,10,MEXICALI,491.78,500.2,-8.42,0
2017-05-01,11,MEXICALI,494.88,502.37,-7.49,0
2017-05-01,12,MEXICALI,548.19,558.96,-10.76,0
2017-05-01,13,MEXICALI,548.47,556.17,-7.71,0
2017-05-01,14,MEXICALI,548.81,553.57,-4.75,0
2017-05-01,15,MEXICALI,549.95,552.15,-2.2,0
2017-05-01,16,MEXICALI,722.42,720.18,2.24,0
2017-05-01,17,MEXICALI,745.47,741.65,3.82,0
2017-05-01,18,MEXICALI,752.05,746.7,5.36,0
2017-05-01,19,MEXICALI,738.93,736.33,2.59,0
2017-05-01,20,MEXICALI,742.56,741.61,.95,0
2017-05-01,21,MEXICALI,1788.6,1750.1,38.5,0
2017-05-01,22,MEXICALI,1746.3,1705.24,41.06,0
2017-05-01,23,MEXICALI,736.76,736.06,.7,0
2017-05-01,24,MEXICALI,498.91,498.11,.79,0
2017-05-01,1,SANLUIS,488.87,489.02,-.15,0
2017-05-01,2,SANLUIS,484.98,485.14,-.16,0
2017-05-01,3,SANLUIS,481.9,482.61,-.71,0
2017-05-01,4,SANLUIS,479.78,481.8,-2.01,0
2017-05-01,5,SANLUIS,479.78,482.69,-2.92,0
2017-05-01,6,SANLUIS,481.11,487.92,-6.81,0
2017-05-01,7,SANLUIS,475.3,481.12,-5.81,0
2017-05-01,8,SANLUIS,478.96,484.21,-5.25,0
2017-05-01,9,SANLUIS,484.73,492.2,-7.47,0
2017-05-01,10,SANLUIS,490.58,500.2,-9.62,0
2017-05-01,11,SANLUIS,493.8,502.37,-8.57,0
2017-05-01,12,SANLUIS,547.2,558.96,-11.76,0
2017-05-01,13,SANLUIS,547.79,556.17,-8.38,0
2017-05-01,14,SANLUIS,548.37,553.57,-5.19,0
2017-05-01,15,SANLUIS,549.95,552.15,-2.2,0
2017-05-01,16,SANLUIS,723.04,720.18,2.86,0
2017-05-01,17,SANLUIS,746.42,741.65,4.77,0
2017-05-01,18,SANLUIS,752.95,746.7,6.26,0
2017-05-01,19,SANLUIS,739.36,736.33,3.03,0
2017-05-01,20,SANLUIS,742.94,741.61,1.33,0
2017-05-01,21,SANLUIS,1794.07,1750.1,43.98,0
2017-05-01,22,SANLUIS,1751.81,1705.24,46.57,0
2017-05-01,23,SANLUIS,737.32,736.06,1.26,0
2017-05-01,24,SANLUIS,498.92,498.11,.81,0
2017-05-01,1,TIJUANA,494.54,489.02,5.51,0
2017-05-01,2,TIJUANA,490.22,485.14,5.08,0
2017-05-01,3,TIJUANA,487.49,482.61,4.88,0
2017-05-01,4,TIJUANA,486.57,481.8,4.77,0
2017-05-01,5,TIJUANA,487.32,482.69,4.63,0
2017-05-01,6,TIJUANA,492.34,487.92,4.42,0
2017-05-01,7,TIJUANA,485.56,481.12,4.44,0
2017-05-01,8,TIJUANA,488.99,484.21,4.77,0
2017-05-01,9,TIJUANA,497.27,492.2,5.06,0
2017-05-01,10,TIJUANA,505.68,500.2,5.48,0
2017-05-01,11,TIJUANA,508.45,502.37,6.08,0
2017-05-01,12,TIJUANA,565.89,558.96,6.93,0
2017-05-01,13,TIJUANA,563.43,556.17,7.26,0
2017-05-01,14,TIJUANA,561.06,553.57,7.49,0
2017-05-01,15,TIJUANA,559.68,552.15,7.54,0
2017-05-01,16,TIJUANA,730.38,720.18,10.2,0
2017-05-01,17,TIJUANA,752.3,741.65,10.65,0
2017-05-01,18,TIJUANA,757.29,746.7,10.6,0
2017-05-01,19,TIJUANA,746.61,736.33,10.27,0
2017-05-01,20,TIJUANA,752.31,741.61,10.7,0
2017-05-01,21,TIJUANA,1778.06,1750.1,27.96,0
2017-05-01,22,TIJUANA,1728.72,1705.24,23.47,0
2017-05-01,23,TIJUANA,744.95,736.06,8.89,0
2017-05-01,24,TIJUANA,503.99,498.11,5.87,0
2017-05-02,1,ENSENADA,483.47,469.6,13.87,0
2017-05-02,2,ENSENADA,484.16,470.01,14.15,0
2017-05-02,3,ENSENADA,483.87,469.07,14.81,0
2017-05-02,4,ENSENADA,482.77,468.21,14.56,0
2017-05-02,5,ENSENADA,481.57,467.52,14.05,0
2017-05-02,6,ENSENADA,483.9,468.78,15.12,0
2017-05-02,7,ENSENADA,469.6,454.29,15.3,0
2017-05-02,8,ENSENADA,479.72,463.46,16.26,0
2017-05-02,9,ENSENADA,490.18,473.08,17.1,0
2017-05-02,10,ENSENADA,498.92,485.06,13.86,0
2017-05-02,11,ENSENADA,517.95,503.49,14.46,0
2017-05-02,12,ENSENADA,740.8,719.54,21.26,0
2017-05-02,13,ENSENADA,747.73,725.78,21.95,0
2017-05-02,14,ENSENADA,781.18,757.74,23.45,0
2017-05-02,15,ENSENADA,824.59,798.79,25.8,0
2017-05-02,16,ENSENADA,796.69,772.94,23.76,0
2017-05-02,17,ENSENADA,790.09,766.93,23.17,0
2017-05-02,18,ENSENADA,785.7,757.7,27.99,0
2017-05-02,19,ENSENADA,785.9,757.61,28.29,0
2017-05-02,20,ENSENADA,1270.34,1221.47,48.88,0
2017-05-02,21,ENSENADA,787.69,758.18,29.51,0
2017-05-02,22,ENSENADA,1214.7,1169.93,44.77,0
2017-05-02,23,ENSENADA,771.36,746.61,24.75,0
2017-05-02,24,ENSENADA,752.19,729.98,22.22,0
2017-05-02,1,MEXICALI,465.65,469.6,-3.95,0
2017-05-02,2,MEXICALI,464.66,470.01,-5.36,0
2017-05-02,3,MEXICALI,463.13,469.07,-5.94,0
2017-05-02,4,MEXICALI,462.64,468.21,-5.57,0
2017-05-02,5,MEXICALI,461.7,467.52,-5.82,0
2017-05-02,6,MEXICALI,462.86,468.78,-5.92,0
2017-05-02,7,MEXICALI,458.43,454.29,4.13,0
2017-05-02,8,MEXICALI,462.31,463.46,-1.16,0
2017-05-02,9,MEXICALI,465.71,473.08,-7.37,0
2017-05-02,10,MEXICALI,476.19,485.06,-8.87,0
2017-05-02,11,MEXICALI,495.05,503.49,-8.43,0
2017-05-02,12,MEXICALI,709.33,719.54,-10.21,0
2017-05-02,13,MEXICALI,716.4,725.78,-9.38,0
2017-05-02,14,MEXICALI,752.12,757.74,-5.61,0
2017-05-02,15,MEXICALI,795.86,798.79,-2.94,0
2017-05-02,16,MEXICALI,773.31,772.94,.38,0
2017-05-02,17,MEXICALI,771.22,766.93,4.29,0
2017-05-02,18,MEXICALI,762.87,757.7,5.16,0
2017-05-02,19,MEXICALI,767.59,757.61,9.98,0
2017-05-02,20,MEXICALI,1246.64,1221.47,25.17,0
2017-05-02,21,MEXICALI,773.29,758.18,15.11,0
2017-05-02,22,MEXICALI,1188.84,1169.93,18.91,0
2017-05-02,23,MEXICALI,757.17,746.61,10.56,0
2017-05-02,24,MEXICALI,740.35,729.98,10.38,0
2017-05-02,1,SANLUIS,465.46,469.6,-4.14,0
2017-05-02,2,SANLUIS,464.12,470.01,-5.89,0
2017-05-02,3,SANLUIS,462.31,469.07,-6.75,0
2017-05-02,4,SANLUIS,461.91,468.21,-6.29,0
2017-05-02,5,SANLUIS,460.7,467.52,-6.82,0
2017-05-02,6,SANLUIS,461.74,468.78,-7.04,0
2017-05-02,7,SANLUIS,457.18,454.29,2.89,0
2017-05-02,8,SANLUIS,460.74,463.46,-2.72,0
2017-05-02,9,SANLUIS,464.07,473.08,-9.02,0
2017-05-02,10,SANLUIS,474.8,485.06,-10.26,0
2017-05-02,11,SANLUIS,494.07,503.49,-9.42,0
2017-05-02,12,SANLUIS,708.46,719.54,-11.08,0
