Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-04-01,1,CONSTITUCION,1492.06,1531.17,-39.11,0
2017-04-01,2,CONSTITUCION,1635.29,1705.52,-70.23,0
2017-04-01,3,CONSTITUCION,1619.46,1685.15,-65.69,0
2017-04-01,4,CONSTITUCION,1556.44,1617.87,-61.43,0
2017-04-01,5,CONSTITUCION,1556.44,1617.87,-61.43,0
2017-04-01,6,CONSTITUCION,1556.84,1620.39,-63.55,0
2017-04-01,7,CONSTITUCION,1344.29,1365.04,-20.75,0
2017-04-01,8,CONSTITUCION,1648.05,1643.71,4.34,0
2017-04-01,9,CONSTITUCION,1695.06,1680.65,14.42,0
2017-04-01,10,CONSTITUCION,1894.75,1871.6,23.15,0
2017-04-01,11,CONSTITUCION,1986.92,1956.81,30.11,0
2017-04-01,12,CONSTITUCION,1719.67,1751.94,-32.26,0
2017-04-01,13,CONSTITUCION,1731.1,1770.44,-39.34,0
2017-04-01,14,CONSTITUCION,1763.41,1806.95,-43.54,0
2017-04-01,15,CONSTITUCION,1763.41,1806.95,-43.54,0
2017-04-01,16,CONSTITUCION,1733.88,1770.28,-36.4,0
2017-04-01,17,CONSTITUCION,1684.6,1680.94,3.66,0
2017-04-01,18,CONSTITUCION,1678.98,1675.26,3.72,0
2017-04-01,19,CONSTITUCION,1924.93,1992.09,-67.16,0
2017-04-01,20,CONSTITUCION,2071.9,2128.95,-57.05,0
2017-04-01,21,CONSTITUCION,2061.75,2122.17,-60.42,0
2017-04-01,22,CONSTITUCION,1952.8,2024.27,-71.46,0
2017-04-01,23,CONSTITUCION,1875.11,1954.36,-79.25,0
2017-04-01,24,CONSTITUCION,1760.42,1835.68,-75.27,0
2017-04-01,1,LA PAZ,1540.72,1531.17,9.55,0
2017-04-01,2,LA PAZ,1713.31,1705.52,7.79,0
2017-04-01,3,LA PAZ,1693.08,1685.15,7.94,0
2017-04-01,4,LA PAZ,1625.35,1617.87,7.49,0
2017-04-01,5,LA PAZ,1625.35,1617.87,7.49,0
2017-04-01,6,LA PAZ,1627.88,1620.39,7.49,0
2017-04-01,7,LA PAZ,1369.9,1365.04,4.86,0
2017-04-01,8,LA PAZ,1651.16,1643.71,7.45,0
2017-04-01,9,LA PAZ,1688.54,1680.65,7.89,0
2017-04-01,10,LA PAZ,1881.13,1871.6,9.54,0
2017-04-01,11,LA PAZ,1966.75,1956.81,9.94,0
2017-04-01,12,LA PAZ,1758.93,1751.94,7,0
2017-04-01,13,LA PAZ,1777.52,1770.44,7.08,0
2017-04-01,14,LA PAZ,1814.44,1806.95,7.49,0
2017-04-01,15,LA PAZ,1814.44,1806.95,7.49,0
2017-04-01,16,LA PAZ,1777.61,1770.28,7.33,0
2017-04-01,17,LA PAZ,1693.87,1680.94,12.92,0
2017-04-01,18,LA PAZ,1690.72,1675.26,15.47,0
2017-04-01,19,LA PAZ,1998.62,1992.09,6.53,0
2017-04-01,20,LA PAZ,2134.5,2128.95,5.55,0
2017-04-01,21,LA PAZ,2127.98,2122.17,5.82,0
2017-04-01,22,LA PAZ,2030.98,2024.27,6.71,0
2017-04-01,23,LA PAZ,1960.06,1954.36,5.7,0
2017-04-01,24,LA PAZ,1839.86,1835.68,4.18,0
2017-04-01,1,LOS CABOS,1577.66,1531.17,46.5,0
2017-04-01,2,LOS CABOS,1757.9,1705.52,52.38,0
2017-04-01,3,LOS CABOS,1735.03,1685.15,49.89,0
2017-04-01,4,LOS CABOS,1665.12,1617.87,47.25,0
2017-04-01,5,LOS CABOS,1665.12,1617.87,47.25,0
2017-04-01,6,LOS CABOS,1667.93,1620.39,47.54,0
2017-04-01,7,LOS CABOS,1406.17,1365.04,41.13,0
2017-04-01,8,LOS CABOS,1696.87,1643.71,53.16,0
2017-04-01,9,LOS CABOS,1739.39,1680.65,58.75,0
2017-04-01,10,LOS CABOS,1983.59,1871.6,112,0
2017-04-01,11,LOS CABOS,2077.67,1956.81,120.86,0
2017-04-01,12,LOS CABOS,1863.21,1751.94,111.28,0
2017-04-01,13,LOS CABOS,1883.49,1770.44,113.05,0
2017-04-01,14,LOS CABOS,1922.27,1806.95,115.32,0
2017-04-01,15,LOS CABOS,1922.27,1806.95,115.32,0
2017-04-01,16,LOS CABOS,1840.77,1770.28,70.49,0
2017-04-01,17,LOS CABOS,1748.03,1680.94,67.09,0
2017-04-01,18,LOS CABOS,1738.8,1675.26,63.54,0
2017-04-01,19,LOS CABOS,2069.32,1992.1,77.23,0
2017-04-01,20,LOS CABOS,2216.12,2128.95,87.18,0
2017-04-01,21,LOS CABOS,2207.91,2122.17,85.74,0
2017-04-01,22,LOS CABOS,2102.03,2024.27,77.76,0
2017-04-01,23,LOS CABOS,2026.21,1954.36,71.85,0
2017-04-01,24,LOS CABOS,1897.79,1835.68,62.11,0
2017-04-02,1,CONSTITUCION,1979.01,1990.47,-11.45,0
2017-04-02,2,CONSTITUCION,1940.36,1954.32,-13.95,0
2017-04-02,3,CONSTITUCION,1651.82,1660.06,-8.24,0
2017-04-02,4,CONSTITUCION,1625.82,1634.49,-8.68,0
2017-04-02,5,CONSTITUCION,1625.82,1634.49,-8.68,0
2017-04-02,6,CONSTITUCION,1419.15,1444.22,-25.08,0
2017-04-02,7,CONSTITUCION,1698.02,1699.5,-1.48,0
2017-04-02,8,CONSTITUCION,1701.18,1701.51,-.33,0
2017-04-02,9,CONSTITUCION,1952.22,1953.28,-1.06,0
2017-04-02,10,CONSTITUCION,1963.88,1962.17,1.71,0
2017-04-02,11,CONSTITUCION,1959.64,1958,1.63,0
2017-04-02,12,CONSTITUCION,2028.88,2019.34,9.54,0
2017-04-02,13,CONSTITUCION,1980.79,1973.12,7.67,0
2017-04-02,14,CONSTITUCION,1604.89,1635.08,-30.19,0
2017-04-02,15,CONSTITUCION,1600.82,1635.17,-34.35,0
2017-04-02,16,CONSTITUCION,1599.08,1635.4,-36.33,0
2017-04-02,17,CONSTITUCION,1727.57,1732.26,-4.69,0
2017-04-02,18,CONSTITUCION,1606.34,1606.63,-.29,0
2017-04-02,19,CONSTITUCION,1790.78,1864.29,-73.52,0
2017-04-02,20,CONSTITUCION,1952.13,2038.93,-86.8,0
2017-04-02,21,CONSTITUCION,1970.11,2056.68,-86.57,0
2017-04-02,22,CONSTITUCION,1894.64,1990.17,-95.53,0
2017-04-02,23,CONSTITUCION,1797.22,1890.5,-93.28,0
2017-04-02,1,LA PAZ,1997.36,1990.47,6.89,0
2017-04-02,2,LA PAZ,1962.02,1954.32,7.7,0
2017-04-02,3,LA PAZ,1667.6,1660.06,7.54,0
2017-04-02,4,LA PAZ,1641.86,1634.49,7.37,0
2017-04-02,5,LA PAZ,1641.86,1634.49,7.37,0
2017-04-02,6,LA PAZ,1449.39,1444.22,5.17,0
2017-04-02,7,LA PAZ,1706.56,1699.5,7.06,0
2017-04-02,8,LA PAZ,1707.8,1701.51,6.29,0
2017-04-02,9,LA PAZ,1960.16,1953.28,6.88,0
2017-04-02,10,LA PAZ,1969.34,1962.17,7.18,0
2017-04-02,11,LA PAZ,1965.28,1958,7.28,0
2017-04-02,12,LA PAZ,2026.92,2019.34,7.58,0
2017-04-02,13,LA PAZ,1980.81,1973.12,7.69,0
2017-04-02,14,LA PAZ,1639.75,1635.08,4.67,0
2017-04-02,15,LA PAZ,1639.76,1635.17,4.59,0
2017-04-02,16,LA PAZ,1639.87,1635.4,4.47,0
2017-04-02,17,LA PAZ,1747.02,1732.26,14.77,0
2017-04-02,18,LA PAZ,1622.53,1606.63,15.9,0
2017-04-02,19,LA PAZ,1871.13,1864.29,6.84,0
2017-04-02,20,LA PAZ,2044.73,2038.93,5.8,0
2017-04-02,21,LA PAZ,2061.47,2056.68,4.79,0
2017-04-02,22,LA PAZ,1994.58,1990.17,4.42,0
2017-04-02,23,LA PAZ,1894.03,1890.5,3.53,0
2017-04-02,1,LOS CABOS,2052.95,1990.47,62.48,0
2017-04-02,2,LOS CABOS,2013.64,1954.32,59.32,0
2017-04-02,3,LOS CABOS,1708.15,1660.06,48.09,0
2017-04-02,4,LOS CABOS,1681.35,1634.49,46.86,0
2017-04-02,5,LOS CABOS,1681.35,1634.49,46.86,0
2017-04-02,6,LOS CABOS,1486.85,1444.22,42.63,0
2017-04-02,7,LOS CABOS,1750.36,1699.5,50.86,0
2017-04-02,8,LOS CABOS,1755.57,1701.51,54.06,0
2017-04-02,9,LOS CABOS,2019.69,1953.28,66.41,0
2017-04-02,10,LOS CABOS,2073.11,1962.17,110.94,0
2017-04-02,11,LOS CABOS,2071.44,1958,113.44,0
2017-04-02,12,LOS CABOS,2137.86,2019.34,118.51,0
2017-04-02,13,LOS CABOS,2089.01,1973.12,115.89,0
2017-04-02,14,LOS CABOS,1731.63,1635.08,96.55,0
2017-04-02,15,LOS CABOS,1731.69,1635.17,96.52,0
2017-04-02,16,LOS CABOS,1695.83,1635.4,60.42,0
2017-04-02,17,LOS CABOS,1797.4,1732.26,65.14,0
2017-04-02,18,LOS CABOS,1664.23,1606.63,57.6,0
2017-04-02,19,LOS CABOS,1933.46,1864.29,69.17,0
2017-04-02,20,LOS CABOS,2119.8,2038.93,80.87,0
2017-04-02,21,LOS CABOS,2139.76,2056.68,83.08,0
2017-04-02,22,LOS CABOS,2064.43,1990.17,74.26,0
2017-04-02,23,LOS CABOS,1954.37,1890.5,63.87,0
2017-04-03,1,CONSTITUCION,1937.14,1957.61,-20.47,0
2017-04-03,2,CONSTITUCION,1541.12,1548.27,-7.15,0
2017-04-03,3,CONSTITUCION,1429.73,1429.42,.32,0
2017-04-03,4,CONSTITUCION,1475.33,1472.89,2.45,0
2017-04-03,5,CONSTITUCION,1541.27,1543.08,-1.81,0
2017-04-03,6,CONSTITUCION,1652.66,1657.95,-5.29,0
2017-04-03,7,CONSTITUCION,1972.61,1985.53,-12.92,0
