Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-01-13,1,CONSTITUCION,1956.29,1888.04,68.25,0
2017-01-13,2,CONSTITUCION,1963.61,1899.64,63.97,0
2017-01-13,3,CONSTITUCION,1577.75,1527.87,49.88,0
2017-01-13,4,CONSTITUCION,1556.77,1510.22,46.55,0
2017-01-13,5,CONSTITUCION,1564.75,1517.34,47.42,0
2017-01-13,6,CONSTITUCION,1617.81,1561.86,55.95,0
2017-01-13,7,CONSTITUCION,1569.1,1556.75,12.34,0
2017-01-13,8,CONSTITUCION,1879.24,1859.37,19.87,0
2017-01-13,9,CONSTITUCION,1795.25,1778.3,16.95,0
2017-01-13,10,CONSTITUCION,1634.11,1579.16,54.95,0
2017-01-13,11,CONSTITUCION,1826.96,1808.4,18.56,0
2017-01-13,12,CONSTITUCION,2192.54,2181.93,10.61,0
2017-01-13,13,CONSTITUCION,2196.84,2184.73,12.12,0
2017-01-13,14,CONSTITUCION,1877.51,1867.96,9.55,0
2017-01-13,15,CONSTITUCION,1877.47,1870.12,7.35,0
2017-01-13,16,CONSTITUCION,1850.82,1837.31,13.51,0
2017-01-13,17,CONSTITUCION,5889.05,5857.26,31.79,0
2017-01-13,18,CONSTITUCION,1848.49,1838.42,10.07,0
2017-01-13,19,CONSTITUCION,5889.05,5848.78,40.27,0
2017-01-13,20,CONSTITUCION,5889.05,5845.88,43.18,0
2017-01-13,21,CONSTITUCION,2213.43,2199.52,13.91,0
2017-01-13,22,CONSTITUCION,5889.05,5888.97,.08,0
2017-01-13,23,CONSTITUCION,1871.36,1880.56,-9.21,0
2017-01-13,24,CONSTITUCION,1579.6,1557.26,22.33,0
2017-01-13,1,LA PAZ,1909.11,1888.04,21.07,0
2017-01-13,2,LA PAZ,1919.94,1899.64,20.3,0
2017-01-13,3,LA PAZ,1543.98,1527.87,16.11,0
2017-01-13,4,LA PAZ,1525.2,1510.22,14.98,0
2017-01-13,5,LA PAZ,1532.89,1517.34,15.56,0
2017-01-13,6,LA PAZ,1579.71,1561.86,17.85,0
2017-01-13,7,LA PAZ,1571.01,1556.75,14.26,0
2017-01-13,8,LA PAZ,1876.87,1859.37,17.49,0
2017-01-13,9,LA PAZ,1794.24,1778.3,15.94,0
2017-01-13,10,LA PAZ,1593.01,1579.16,13.85,0
2017-01-13,11,LA PAZ,1821.63,1808.4,13.24,0
2017-01-13,12,LA PAZ,2197.09,2181.93,15.17,0
2017-01-13,13,LA PAZ,2199.97,2184.73,15.25,0
2017-01-13,14,LA PAZ,1883.13,1867.96,15.17,0
2017-01-13,15,LA PAZ,1885.13,1870.12,15,0
2017-01-13,16,LA PAZ,1852.54,1837.31,15.22,0
2017-01-13,17,LA PAZ,5889.05,5832.62,56.43,0
2017-01-13,18,LA PAZ,1857.22,1838.42,18.8,0
2017-01-13,19,LA PAZ,5889.05,5844,45.05,0
2017-01-13,20,LA PAZ,5889.05,5843.85,45.2,0
2017-01-13,21,LA PAZ,2217.07,2199.52,17.55,0
2017-01-13,22,LA PAZ,5889.05,5845.43,43.62,0
2017-01-13,23,LA PAZ,1896.12,1880.56,15.56,0
2017-01-13,24,LA PAZ,1570.96,1557.26,13.7,0
2017-01-13,1,LOS CABOS,1943.75,1888.04,55.71,0
2017-01-13,2,LOS CABOS,1958.78,1899.64,59.13,0
2017-01-13,3,LOS CABOS,1570.1,1527.87,42.23,0
2017-01-13,4,LOS CABOS,1551.23,1510.22,41,0
2017-01-13,5,LOS CABOS,1558.27,1517.34,40.93,0
2017-01-13,6,LOS CABOS,1605.58,1561.86,43.72,0
2017-01-13,7,LOS CABOS,1604.08,1556.75,47.32,0
2017-01-13,8,LOS CABOS,1918.77,1859.37,59.4,0
2017-01-13,9,LOS CABOS,1837.44,1778.3,59.14,0
2017-01-13,10,LOS CABOS,1667.03,1579.16,87.87,0
2017-01-13,11,LOS CABOS,1914.32,1808.4,105.93,0
2017-01-13,12,LOS CABOS,2313.2,2181.93,131.28,0
2017-01-13,13,LOS CABOS,2317.51,2184.73,132.78,0
2017-01-13,14,LOS CABOS,1983.14,1867.96,115.19,0
2017-01-13,15,LOS CABOS,1985.64,1870.12,115.52,0
2017-01-13,16,LOS CABOS,1907.98,1837.31,70.66,0
2017-01-13,17,LOS CABOS,5889.05,5665.93,223.12,0
2017-01-13,18,LOS CABOS,1911.3,1838.42,72.88,0
2017-01-13,19,LOS CABOS,5889.05,5651.73,237.32,0
2017-01-13,20,LOS CABOS,5889.05,5652.56,236.49,0
2017-01-13,21,LOS CABOS,2289.37,2199.52,89.85,0
2017-01-13,22,LOS CABOS,5889.05,5670.52,218.53,0
2017-01-13,23,LOS CABOS,1946.46,1880.56,65.9,0
2017-01-13,24,LOS CABOS,1606.57,1557.27,49.31,0
2017-01-14,1,CONSTITUCION,1638.87,1582.02,56.85,0
2017-01-14,2,CONSTITUCION,1571.39,1531.71,39.68,0
2017-01-14,3,CONSTITUCION,1402.13,1410.46,-8.33,0
2017-01-14,4,CONSTITUCION,1562.57,1513.56,49.02,0
2017-01-14,5,CONSTITUCION,1562.85,1513.95,48.9,0
2017-01-14,6,CONSTITUCION,1600.3,1541.68,58.62,0
2017-01-14,7,CONSTITUCION,1828.15,1753.47,74.68,0
2017-01-14,8,CONSTITUCION,1518.02,1514.2,3.82,0
2017-01-14,9,CONSTITUCION,1609.26,1587.4,21.86,0
2017-01-14,10,CONSTITUCION,1842.09,1844.66,-2.57,0
2017-01-14,11,CONSTITUCION,1853.89,1789.47,64.42,0
2017-01-14,12,CONSTITUCION,1959.02,1907.36,51.66,0
2017-01-14,13,CONSTITUCION,1967.94,1920.8,47.14,0
2017-01-14,14,CONSTITUCION,1967.94,1920.8,47.14,0
2017-01-14,15,CONSTITUCION,1956.73,1911.41,45.33,0
2017-01-14,16,CONSTITUCION,1705.91,1746.09,-40.18,0
2017-01-14,17,CONSTITUCION,1953.62,1943.04,10.58,0
2017-01-14,18,CONSTITUCION,1889.73,1876.61,13.13,0
2017-01-14,19,CONSTITUCION,5889.05,5812.93,76.12,0
2017-01-14,20,CONSTITUCION,5889.05,5805.91,83.14,0
2017-01-14,21,CONSTITUCION,2243.15,2231.14,12.01,0
2017-01-14,22,CONSTITUCION,1868.01,1927.19,-59.18,0
2017-01-14,23,CONSTITUCION,1873.48,1900.92,-27.44,0
2017-01-14,24,CONSTITUCION,1565.45,1556.9,8.55,0
2017-01-14,1,LA PAZ,1597.44,1582.02,15.42,0
2017-01-14,2,LA PAZ,1545.07,1531.71,13.36,0
2017-01-14,3,LA PAZ,1418.27,1410.46,7.81,0
2017-01-14,4,LA PAZ,1526.76,1513.56,13.2,0
2017-01-14,5,LA PAZ,1526.84,1513.95,12.89,0
2017-01-14,6,LA PAZ,1556.47,1541.68,14.79,0
2017-01-14,7,LA PAZ,1771.97,1753.47,18.5,0
2017-01-14,8,LA PAZ,1524.93,1514.2,10.73,0
2017-01-14,9,LA PAZ,1600.78,1587.4,13.38,0
2017-01-14,10,LA PAZ,1858.87,1844.66,14.21,0
2017-01-14,11,LA PAZ,1804.99,1789.47,15.53,0
2017-01-14,12,LA PAZ,1923.36,1907.36,16,0
2017-01-14,13,LA PAZ,1936.84,1920.8,16.05,0
2017-01-14,14,LA PAZ,1936.84,1920.8,16.05,0
2017-01-14,15,LA PAZ,1927.37,1911.41,15.96,0
2017-01-14,16,LA PAZ,1758.06,1746.09,11.97,0
2017-01-14,17,LA PAZ,1958.35,1943.04,15.31,0
2017-01-14,18,LA PAZ,1894.17,1876.61,17.57,0
2017-01-14,19,LA PAZ,5889.05,5844.52,44.53,0
2017-01-14,20,LA PAZ,5889.05,5843.08,45.97,0
2017-01-14,21,LA PAZ,2248.65,2231.14,17.5,0
2017-01-14,22,LA PAZ,1940.5,1927.19,13.31,0
2017-01-14,23,LA PAZ,1914.71,1900.92,13.79,0
2017-01-14,24,LA PAZ,1568.71,1556.9,11.81,0
2017-01-14,1,LOS CABOS,1628.5,1582.02,46.48,0
2017-01-14,2,LOS CABOS,1574.83,1531.71,43.12,0
2017-01-14,3,LOS CABOS,1449.29,1410.46,38.82,0
2017-01-14,4,LOS CABOS,1554.32,1513.56,40.76,0
2017-01-14,5,LOS CABOS,1554.87,1513.95,40.92,0
2017-01-14,6,LOS CABOS,1584.16,1541.68,42.48,0
2017-01-14,7,LOS CABOS,1804.45,1753.47,50.98,0
2017-01-14,8,LOS CABOS,1560.89,1514.2,46.69,0
2017-01-14,9,LOS CABOS,1640.49,1587.4,53.09,0
2017-01-14,10,LOS CABOS,1949.97,1844.66,105.31,0
2017-01-14,11,LOS CABOS,1894.7,1789.47,105.24,0
2017-01-14,12,LOS CABOS,2022.35,1907.36,114.99,0
2017-01-14,13,LOS CABOS,2037.1,1920.8,116.31,0
2017-01-14,14,LOS CABOS,2037.1,1920.8,116.31,0
2017-01-14,15,LOS CABOS,2026.97,1911.41,115.56,0
2017-01-14,16,LOS CABOS,1811.52,1746.09,65.43,0
2017-01-14,17,LOS CABOS,2034.73,1943.04,91.69,0
2017-01-14,18,LOS CABOS,1948.88,1876.61,72.28,0
2017-01-14,19,LOS CABOS,5889.05,5654.78,234.27,0
2017-01-14,20,LOS CABOS,5889.05,5652.49,236.56,0
2017-01-14,21,LOS CABOS,2321.23,2231.14,90.09,0
2017-01-14,22,LOS CABOS,2001.75,1927.19,74.56,0
2017-01-14,23,LOS CABOS,1968.97,1900.92,68.05,0
2017-01-14,24,LOS CABOS,1607.26,1556.9,50.36,0
2017-01-15,1,CONSTITUCION,1601.09,1558.97,42.12,0
2017-01-15,2,CONSTITUCION,1557.22,1518.91,38.32,0
2017-01-15,3,CONSTITUCION,1543.27,1508.33,34.93,0
2017-01-15,4,CONSTITUCION,1522.47,1488.88,33.59,0
2017-01-15,5,CONSTITUCION,1521.37,1488.54,32.83,0
2017-01-15,6,CONSTITUCION,1534.72,1500.49,34.23,0
2017-01-15,7,CONSTITUCION,1552.14,1516.28,35.86,0
2017-01-15,8,CONSTITUCION,1573.06,1531.54,41.51,0
2017-01-15,9,CONSTITUCION,1627.27,1576.92,50.36,0
2017-01-15,10,CONSTITUCION,1530.12,1558.77,-28.64,0
2017-01-15,11,CONSTITUCION,1782.58,1851.12,-68.54,0
2017-01-15,12,CONSTITUCION,1812.48,1889.74,-77.26,0
2017-01-15,13,CONSTITUCION,1785.05,1857.12,-72.07,0
2017-01-15,14,CONSTITUCION,1782.96,1859.94,-76.98,0
2017-01-15,15,CONSTITUCION,1778.69,1856.58,-77.89,0
2017-01-15,16,CONSTITUCION,1721.06,1781.82,-60.76,0
2017-01-15,17,CONSTITUCION,2262.82,2246.9,15.92,0
2017-01-15,18,CONSTITUCION,1835.51,1846.3,-10.78,0
2017-01-15,19,CONSTITUCION,5889.05,6275.07,-386.02,0
2017-01-15,20,CONSTITUCION,1847.31,1921.65,-74.34,0
2017-01-15,21,CONSTITUCION,1911.28,1997.58,-86.31,0
2017-01-15,22,CONSTITUCION,1900.52,1921.21,-20.68,0
2017-01-15,23,CONSTITUCION,1589.94,1581.32,8.63,0
2017-01-15,24,CONSTITUCION,1602.25,1557.19,45.06,0
2017-01-15,1,LA PAZ,1572.08,1558.97,13.12,0
2017-01-15,2,LA PAZ,1531.37,1518.91,12.46,0
2017-01-15,3,LA PAZ,1519.95,1508.33,11.62,0
2017-01-15,4,LA PAZ,1500.13,1488.88,11.25,0
2017-01-15,5,LA PAZ,1499.97,1488.54,11.44,0
2017-01-15,6,LA PAZ,1512.53,1500.49,12.04,0
2017-01-15,7,LA PAZ,1528.93,1516.28,12.65,0
2017-01-15,8,LA PAZ,1544.31,1531.54,12.76,0
2017-01-15,9,LA PAZ,1590.64,1576.92,13.72,0
2017-01-15,10,LA PAZ,1568.98,1558.77,10.22,0
2017-01-15,11,LA PAZ,1862.03,1851.12,10.91,0
2017-01-15,12,LA PAZ,1900.07,1889.74,10.33,0
2017-01-15,13,LA PAZ,1867.33,1857.12,10.2,0
2017-01-15,14,LA PAZ,1869.66,1859.94,9.72,0
2017-01-15,15,LA PAZ,1866.07,1856.58,9.49,0
2017-01-15,16,LA PAZ,1791.85,1781.82,10.04,0
2017-01-15,17,LA PAZ,2266.71,2246.9,19.82,0
2017-01-15,18,LA PAZ,1868.41,1846.3,22.11,0
2017-01-15,19,LA PAZ,5889.05,5864.08,24.97,0
2017-01-15,20,LA PAZ,1933.51,1921.65,11.86,0
2017-01-15,21,LA PAZ,2011.63,1997.58,14.05,0
2017-01-15,22,LA PAZ,1935.66,1921.21,14.46,0
2017-01-15,23,LA PAZ,1594.29,1581.32,12.98,0
2017-01-15,24,LA PAZ,1571.08,1557.19,13.89,0
2017-01-15,1,LOS CABOS,1605.7,1558.97,46.74,0
2017-01-15,2,LOS CABOS,1562.54,1518.91,43.63,0
2017-01-15,3,LOS CABOS,1550.46,1508.33,42.13,0
2017-01-15,4,LOS CABOS,1529.3,1488.88,40.42,0
2017-01-15,5,LOS CABOS,1528.75,1488.54,40.21,0
2017-01-15,6,LOS CABOS,1541.74,1500.49,41.25,0
2017-01-15,7,LOS CABOS,1559.18,1516.28,42.91,0
2017-01-15,8,LOS CABOS,1576.44,1531.54,44.89,0
2017-01-15,9,LOS CABOS,1626,1576.92,49.08,0
2017-01-15,10,LOS CABOS,1641.98,1558.77,83.21,0
2017-01-15,11,LOS CABOS,1953.2,1851.12,102.08,0
2017-01-15,12,LOS CABOS,1994.38,1889.74,104.64,0
2017-01-15,13,LOS CABOS,1960.46,1857.12,103.34,0
2017-01-15,14,LOS CABOS,1963.64,1859.94,103.7,0
2017-01-15,15,LOS CABOS,1959.77,1856.58,103.19,0
2017-01-15,16,LOS CABOS,1842.93,1781.82,61.12,0
2017-01-15,17,LOS CABOS,2344.3,2246.9,97.4,0
2017-01-15,18,LOS CABOS,1912.32,1846.3,66.02,0
2017-01-15,19,LOS CABOS,5889.05,5669.67,219.39,0
2017-01-15,20,LOS CABOS,1996.29,1921.65,74.64,0
2017-01-15,21,LOS CABOS,2074.17,1997.58,76.59,0
2017-01-15,22,LOS CABOS,1990.29,1921.21,69.08,0
2017-01-15,23,LOS CABOS,1633.39,1581.32,52.07,0
2017-01-15,24,LOS CABOS,1603.46,1557.19,46.27,0
