Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-02-01,1,CONSTITUCION,1719.09,1735.2,-16.11,0
2017-02-01,2,CONSTITUCION,1666.81,1684.76,-17.95,0
2017-02-01,3,CONSTITUCION,1505.3,1510.21,-4.91,0
2017-02-01,4,CONSTITUCION,1441.99,1445.72,-3.73,0
2017-02-01,5,CONSTITUCION,1441.99,1445.72,-3.73,0
2017-02-01,6,CONSTITUCION,1686.62,1705.62,-19,0
2017-02-01,7,CONSTITUCION,1675.41,1735.31,-59.9,0
2017-02-01,8,CONSTITUCION,1747.69,1817.07,-69.38,0
2017-02-01,9,CONSTITUCION,1820.38,1901.87,-81.49,0
2017-02-01,10,CONSTITUCION,1923.62,2025.2,-101.58,0
2017-02-01,11,CONSTITUCION,1989.78,2088.7,-98.92,0
2017-02-01,12,CONSTITUCION,1982.02,2089.64,-107.61,0
2017-02-01,13,CONSTITUCION,1983.54,2089.76,-106.22,0
2017-02-01,14,CONSTITUCION,2143.68,2261.19,-117.52,0
2017-02-01,15,CONSTITUCION,2148.53,2272.77,-124.24,0
2017-02-01,16,CONSTITUCION,2147.77,2273.84,-126.07,0
2017-02-01,17,CONSTITUCION,2235.32,2243.24,-7.91,0
2017-02-01,18,CONSTITUCION,2269.06,2280.23,-11.17,0
2017-02-01,19,CONSTITUCION,3866.54,4049.29,-182.75,0
2017-02-01,20,CONSTITUCION,4087.74,4265.48,-177.74,0
2017-02-01,21,CONSTITUCION,3968.47,4143.28,-174.82,0
2017-02-01,22,CONSTITUCION,1934.51,2028.94,-94.43,0
2017-02-01,23,CONSTITUCION,2043.6,2167.87,-124.28,0
2017-02-01,24,CONSTITUCION,1756.3,1840.93,-84.63,0
2017-02-01,1,LA PAZ,1745.3,1735.2,10.11,0
2017-02-01,2,LA PAZ,1694.92,1684.76,10.16,0
2017-02-01,3,LA PAZ,1520.31,1510.21,10.1,0
2017-02-01,4,LA PAZ,1454.91,1445.72,9.19,0
2017-02-01,5,LA PAZ,1454.91,1445.72,9.19,0
2017-02-01,6,LA PAZ,1716.33,1705.62,10.71,0
2017-02-01,7,LA PAZ,1744.08,1735.32,8.76,0
2017-02-01,8,LA PAZ,1825.39,1817.07,8.32,0
2017-02-01,9,LA PAZ,1909.27,1901.87,7.4,0
2017-02-01,10,LA PAZ,2031.42,2025.2,6.23,0
2017-02-01,11,LA PAZ,2095.55,2088.7,6.85,0
2017-02-01,12,LA PAZ,2096.03,2089.64,6.4,0
2017-02-01,13,LA PAZ,2096.45,2089.76,6.69,0
2017-02-01,14,LA PAZ,2264.67,2261.19,3.48,0
2017-02-01,15,LA PAZ,2275.52,2272.77,2.75,0
2017-02-01,16,LA PAZ,2276.8,2273.84,2.96,0
2017-02-01,17,LA PAZ,2265.67,2243.24,22.43,0
2017-02-01,18,LA PAZ,2303.02,2280.23,22.8,0
2017-02-01,19,LA PAZ,4067.88,4049.29,18.6,0
2017-02-01,20,LA PAZ,4289.27,4265.48,23.79,0
2017-02-01,21,LA PAZ,4165.36,4143.28,22.08,0
2017-02-01,22,LA PAZ,2035.27,2028.94,6.33,0
2017-02-01,23,LA PAZ,2166.66,2167.87,-1.21,0
2017-02-01,24,LA PAZ,1842.35,1840.93,1.41,0
2017-02-01,1,LOS CABOS,1782.86,1735.2,47.67,0
2017-02-01,2,LOS CABOS,1729.32,1684.76,44.56,0
2017-02-01,3,LOS CABOS,1548.91,1510.21,38.7,0
2017-02-01,4,LOS CABOS,1482.48,1445.72,36.76,0
2017-02-01,5,LOS CABOS,1482.48,1445.72,36.76,0
2017-02-01,6,LOS CABOS,1750.62,1705.62,45,0
2017-02-01,7,LOS CABOS,1785.8,1735.31,50.49,0
2017-02-01,8,LOS CABOS,1872.39,1817.07,55.33,0
2017-02-01,9,LOS CABOS,1962.52,1901.87,60.65,0
2017-02-01,10,LOS CABOS,2134.58,2025.2,109.38,0
2017-02-01,11,LOS CABOS,2185.76,2088.7,97.07,0
2017-02-01,12,LOS CABOS,2189.45,2089.63,99.81,0
2017-02-01,13,LOS CABOS,2189.6,2089.76,99.84,0
2017-02-01,14,LOS CABOS,2387.13,2261.19,125.94,0
2017-02-01,15,LOS CABOS,2400.17,2272.77,127.4,0
2017-02-01,16,LOS CABOS,2353.28,2273.84,79.45,0
2017-02-01,17,LOS CABOS,2319.86,2243.24,76.62,0
2017-02-01,18,LOS CABOS,2359.75,2280.23,79.52,0
2017-02-01,19,LOS CABOS,4176.74,4049.29,127.45,0
2017-02-01,20,LOS CABOS,4394.62,4265.48,129.14,0
2017-02-01,21,LOS CABOS,4268.46,4143.28,125.18,0
2017-02-01,22,LOS CABOS,2096.56,2028.94,67.62,0
2017-02-01,23,LOS CABOS,2240.7,2167.87,72.83,0
2017-02-01,24,LOS CABOS,1896.25,1840.93,55.32,0
2017-02-02,1,CONSTITUCION,1905.88,2044.28,-138.4,0
2017-02-02,2,CONSTITUCION,1845.03,1975.19,-130.17,0
2017-02-02,3,CONSTITUCION,1795.48,1906.87,-111.39,0
2017-02-02,4,CONSTITUCION,1889.05,2002.86,-113.82,0
2017-02-02,5,CONSTITUCION,1889.38,2002.75,-113.37,0
2017-02-02,6,CONSTITUCION,1902.58,2043.52,-140.93,0
2017-02-02,7,CONSTITUCION,1748.6,1837.3,-88.7,0
2017-02-02,8,CONSTITUCION,1854.15,1956.06,-101.91,0
2017-02-02,9,CONSTITUCION,1894.83,1999.63,-104.8,0
2017-02-02,10,CONSTITUCION,1453.13,1471.52,-18.39,0
2017-02-02,11,CONSTITUCION,1449.38,1425.18,24.21,0
2017-02-02,12,CONSTITUCION,1988.8,2006.22,-17.42,0
2017-02-02,13,CONSTITUCION,2037.81,2042.42,-4.62,0
2017-02-02,14,CONSTITUCION,1555.85,1547.03,8.81,0
2017-02-02,15,CONSTITUCION,1366.58,1385.86,-19.28,0
2017-02-02,16,CONSTITUCION,1411.83,1422.25,-10.42,0
2017-02-02,17,CONSTITUCION,1447.6,1440.67,6.93,0
2017-02-02,18,CONSTITUCION,1492.82,1486.78,6.04,0
2017-02-02,19,CONSTITUCION,1568.77,1576.45,-7.68,0
2017-02-02,20,CONSTITUCION,1695.01,1717.52,-22.51,0
2017-02-02,21,CONSTITUCION,1565.19,1576.43,-11.24,0
2017-02-02,22,CONSTITUCION,1880.95,1961.81,-80.86,0
2017-02-02,23,CONSTITUCION,2031.02,2145.23,-114.21,0
2017-02-02,24,CONSTITUCION,1784.84,1871.89,-87.05,0
2017-02-02,1,LA PAZ,2043.03,2044.28,-1.25,0
2017-02-02,2,LA PAZ,1974.63,1975.19,-.57,0
2017-02-02,3,LA PAZ,1907.32,1906.87,.45,0
2017-02-02,4,LA PAZ,2003.58,2002.86,.72,0
2017-02-02,5,LA PAZ,2003.27,2002.75,.53,0
2017-02-02,6,LA PAZ,2042.98,2043.52,-.54,0
