Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-06-16,1,CONSTITUCION,2017.5,1940.98,76.52,0
2017-06-16,2,CONSTITUCION,1879.84,1815.98,63.86,0
2017-06-16,3,CONSTITUCION,1795.96,1743.95,52.01,0
2017-06-16,4,CONSTITUCION,1766.12,1719.72,46.39,0
2017-06-16,5,CONSTITUCION,1692.54,1647.21,45.33,0
2017-06-16,6,CONSTITUCION,1666.89,1617.43,49.47,0
2017-06-16,7,CONSTITUCION,1684.58,1632.33,52.25,0
2017-06-16,8,CONSTITUCION,1671.39,1610.47,60.92,0
2017-06-16,9,CONSTITUCION,1770.01,1705.62,64.4,0
2017-06-16,10,CONSTITUCION,1818.46,1746.07,72.38,0
2017-06-16,11,CONSTITUCION,1783.42,1703.1,80.32,0
2017-06-16,12,CONSTITUCION,1873.44,1786.95,86.49,0
2017-06-16,13,CONSTITUCION,1915.8,1822.89,92.91,0
2017-06-16,14,CONSTITUCION,2100.17,1991.81,108.36,0
2017-06-16,15,CONSTITUCION,2205.02,2085.39,119.64,0
2017-06-16,16,CONSTITUCION,3589.19,3386.18,203,0
2017-06-16,17,CONSTITUCION,3520.64,3381.6,139.04,0
2017-06-16,18,CONSTITUCION,2260.13,2172.65,87.48,0
2017-06-16,19,CONSTITUCION,3422.68,3246.58,176.1,0
2017-06-16,20,CONSTITUCION,2093.97,1996.99,96.97,0
2017-06-16,21,CONSTITUCION,2184.48,2082.59,101.89,0
2017-06-16,22,CONSTITUCION,3709.1,3525.36,183.75,0
2017-06-16,23,CONSTITUCION,3705.78,3524.45,181.32,0
2017-06-16,24,CONSTITUCION,2128.41,2039.05,89.36,0
2017-06-16,1,LA PAZ,1966.33,1940.98,25.35,0
2017-06-16,2,LA PAZ,1840.85,1815.98,24.87,0
2017-06-16,3,LA PAZ,1766.2,1743.95,22.25,0
2017-06-16,4,LA PAZ,1740.14,1719.72,20.42,0
2017-06-16,5,LA PAZ,1667.51,1647.21,20.3,0
2017-06-16,6,LA PAZ,1637.42,1617.43,19.99,0
2017-06-16,7,LA PAZ,1651.99,1632.33,19.66,0
2017-06-16,8,LA PAZ,1629.25,1610.47,18.79,0
2017-06-16,9,LA PAZ,1723.69,1705.62,18.07,0
2017-06-16,10,LA PAZ,1765.75,1746.07,19.68,0
