Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-03-01,1,CONSTITUCION,1868.97,1976.38,-107.41,0
2017-03-01,2,CONSTITUCION,1756.49,1834.28,-77.79,0
2017-03-01,3,CONSTITUCION,1997.44,2025.41,-27.97,0
2017-03-01,4,CONSTITUCION,1994.93,2025.19,-30.26,0
2017-03-01,5,CONSTITUCION,1996.29,2025.48,-29.19,0
2017-03-01,6,CONSTITUCION,1912.11,1994.57,-82.46,0
2017-03-01,7,CONSTITUCION,1899.54,2013.54,-114,0
2017-03-01,8,CONSTITUCION,1958.32,2068.39,-110.07,0
2017-03-01,9,CONSTITUCION,1959.6,2068.34,-108.74,0
2017-03-01,10,CONSTITUCION,1701.01,1739.31,-38.3,0
2017-03-01,11,CONSTITUCION,2162.09,2152.19,9.89,0
2017-03-01,12,CONSTITUCION,2191.22,2176.86,14.36,0
2017-03-01,13,CONSTITUCION,2166.44,2150.82,15.61,0
2017-03-01,14,CONSTITUCION,2202.39,2185.07,17.32,0
2017-03-01,15,CONSTITUCION,2167.25,2150.21,17.05,0
2017-03-01,16,CONSTITUCION,2212.08,2189.83,22.26,0
2017-03-01,17,CONSTITUCION,2163.52,2146.85,16.67,0
2017-03-01,18,CONSTITUCION,2140.38,2145.21,-4.83,0
2017-03-01,19,CONSTITUCION,1950.89,2035.33,-84.44,0
2017-03-01,20,CONSTITUCION,2057.97,2140.91,-82.93,0
2017-03-01,21,CONSTITUCION,2042.45,2129.99,-87.54,0
2017-03-01,22,CONSTITUCION,1903.33,1979.53,-76.2,0
2017-03-01,23,CONSTITUCION,1960.35,2070.43,-110.08,0
2017-03-01,24,CONSTITUCION,1524.65,1507.92,16.73,0
2017-03-01,1,LA PAZ,1980.35,1976.38,3.98,0
2017-03-01,2,LA PAZ,1839.66,1834.28,5.38,0
2017-03-01,3,LA PAZ,2036.04,2025.41,10.63,0
2017-03-01,4,LA PAZ,2035.25,2025.19,10.06,0
2017-03-01,5,LA PAZ,2035.79,2025.48,10.31,0
2017-03-01,6,LA PAZ,2000.51,1994.57,5.94,0
2017-03-01,7,LA PAZ,2017.58,2013.54,4.04,0
2017-03-01,8,LA PAZ,2073.9,2068.39,5.51,0
2017-03-01,9,LA PAZ,2074.16,2068.34,5.82,0
2017-03-01,10,LA PAZ,1745.34,1739.31,6.03,0
2017-03-01,11,LA PAZ,2160.37,2152.19,8.18,0
2017-03-01,12,LA PAZ,2185.7,2176.86,8.84,0
2017-03-01,13,LA PAZ,2160.89,2150.82,10.07,0
2017-03-01,14,LA PAZ,2195.24,2185.07,10.18,0
2017-03-01,15,LA PAZ,2160.22,2150.21,10.01,0
2017-03-01,16,LA PAZ,2200.74,2189.83,10.91,0
2017-03-01,17,LA PAZ,2162.23,2146.85,15.38,0
2017-03-01,18,LA PAZ,2162.47,2145.21,17.27,0
2017-03-01,19,LA PAZ,2038.79,2035.33,3.46,0
2017-03-01,20,LA PAZ,2143.85,2140.91,2.94,0
2017-03-01,21,LA PAZ,2133.43,2129.99,3.44,0
2017-03-01,22,LA PAZ,1984.04,1979.53,4.51,0
2017-03-01,23,LA PAZ,2074.18,2070.43,3.75,0
2017-03-01,24,LA PAZ,1514.44,1507.92,6.52,0
2017-03-01,1,LOS CABOS,2034.49,1976.38,58.11,0
2017-03-01,2,LOS CABOS,1885.58,1834.28,51.3,0
2017-03-01,3,LOS CABOS,2080.03,2025.41,54.63,0
2017-03-01,4,LOS CABOS,2079.2,2025.19,54.01,0
2017-03-01,5,LOS CABOS,2079.15,2025.48,53.67,0
2017-03-01,6,LOS CABOS,2050.19,1994.57,55.62,0
2017-03-01,7,LOS CABOS,2074.01,2013.54,60.47,0
2017-03-01,8,LOS CABOS,2133.43,2068.39,65.04,0
2017-03-01,9,LOS CABOS,2137.27,2068.34,68.93,0
2017-03-01,10,LOS CABOS,1837.35,1739.31,98.04,0
2017-03-01,11,LOS CABOS,2277.47,2152.19,125.28,0
2017-03-01,12,LOS CABOS,2305.11,2176.86,128.25,0
2017-03-01,13,LOS CABOS,2279.33,2150.82,128.51,0
2017-03-01,14,LOS CABOS,2316.34,2185.07,131.27,0
2017-03-01,15,LOS CABOS,2279.39,2150.21,129.18,0
2017-03-01,16,LOS CABOS,2272.02,2189.83,82.2,0
2017-03-01,17,LOS CABOS,2229.44,2146.85,82.59,0
2017-03-01,18,LOS CABOS,2228.64,2145.21,83.43,0
2017-03-01,19,LOS CABOS,2117.9,2035.33,82.57,0
2017-03-01,20,LOS CABOS,2230.93,2140.91,90.02,0
2017-03-01,21,LOS CABOS,2218.04,2129.99,88.06,0
2017-03-01,22,LOS CABOS,2057.1,1979.53,77.57,0
2017-03-01,23,LOS CABOS,2144.27,2070.43,73.84,0
2017-03-01,24,LOS CABOS,1555.62,1507.92,47.7,0
2017-03-02,1,CONSTITUCION,1651.26,1657,-5.75,0
2017-03-02,2,CONSTITUCION,2044.26,2080.31,-36.06,0
2017-03-02,3,CONSTITUCION,2035.81,2081.4,-45.59,0
2017-03-02,4,CONSTITUCION,1766.79,1796.45,-29.66,0
2017-03-02,5,CONSTITUCION,1768.54,1799.87,-31.34,0
2017-03-02,6,CONSTITUCION,1542,1586.17,-44.16,0
2017-03-02,7,CONSTITUCION,1760.26,1834.94,-74.68,0
2017-03-02,8,CONSTITUCION,1993.51,2110.71,-117.2,0
2017-03-02,9,CONSTITUCION,2003.93,2115.14,-111.21,0
2017-03-02,10,CONSTITUCION,2010.01,2110.57,-100.57,0
2017-03-02,11,CONSTITUCION,2018.12,2115.29,-97.18,0
2017-03-02,12,CONSTITUCION,2015.66,2110.44,-94.78,0
2017-03-02,13,CONSTITUCION,1758.8,1791.23,-32.43,0
2017-03-02,14,CONSTITUCION,2191.89,2167.49,24.41,0
2017-03-02,15,CONSTITUCION,2189.74,2166.83,22.92,0
2017-03-02,16,CONSTITUCION,2305.07,2273.58,31.49,0
2017-03-02,17,CONSTITUCION,2158.43,2163.16,-4.73,0
2017-03-02,18,CONSTITUCION,2157.45,2162.53,-5.08,0
2017-03-02,19,CONSTITUCION,1989,2075.35,-86.35,0
2017-03-02,20,CONSTITUCION,2100.22,2178.15,-77.93,0
2017-03-02,21,CONSTITUCION,2103.14,2185.81,-82.68,0
2017-03-02,22,CONSTITUCION,1989.69,2074.86,-85.17,0
2017-03-02,23,CONSTITUCION,2070.73,2177.36,-106.63,0
2017-03-02,24,CONSTITUCION,2156.54,2170.39,-13.85,0
2017-03-02,1,LA PAZ,1663.95,1657,6.94,0
2017-03-02,2,LA PAZ,2089.68,2080.31,9.37,0
2017-03-02,3,LA PAZ,2089.25,2081.4,7.85,0
2017-03-02,4,LA PAZ,1803.49,1796.45,7.04,0
2017-03-02,5,LA PAZ,1807,1799.87,7.12,0
2017-03-02,6,LA PAZ,1589.7,1586.17,3.53,0
2017-03-02,7,LA PAZ,1838.33,1834.94,3.39,0
2017-03-02,8,LA PAZ,2108.64,2110.71,-2.07,0
2017-03-02,9,LA PAZ,2113.12,2115.14,-2.02,0
2017-03-02,10,LA PAZ,2109.01,2110.57,-1.56,0
2017-03-02,11,LA PAZ,2113.7,2115.29,-1.6,0
2017-03-02,12,LA PAZ,2108.89,2110.44,-1.55,0
2017-03-02,13,LA PAZ,1796.72,1791.23,5.49,0
2017-03-02,14,LA PAZ,2177.93,2167.49,10.45,0
2017-03-02,15,LA PAZ,2177.31,2166.83,10.49,0
2017-03-02,16,LA PAZ,2283.63,2273.58,10.05,0
2017-03-02,17,LA PAZ,2180.07,2163.16,16.91,0
2017-03-02,18,LA PAZ,2179.98,2162.53,17.45,0
2017-03-02,19,LA PAZ,2078.35,2075.35,3,0
2017-03-02,20,LA PAZ,2180.86,2178.15,2.71,0
2017-03-02,21,LA PAZ,2188.04,2185.81,2.22,0
2017-03-02,22,LA PAZ,2078.22,2074.86,3.36,0
2017-03-02,23,LA PAZ,2179.88,2177.36,2.52,0
2017-03-02,24,LA PAZ,2178.67,2170.39,8.27,0
2017-03-02,1,LOS CABOS,1705.64,1657,48.64,0
2017-03-02,2,LOS CABOS,2138.4,2080.31,58.08,0
2017-03-02,3,LOS CABOS,2138.07,2081.4,56.67,0
2017-03-02,4,LOS CABOS,1844.53,1796.45,48.08,0
2017-03-02,5,LOS CABOS,1847.75,1799.87,47.88,0
2017-03-02,6,LOS CABOS,1630.75,1586.17,44.58,0
2017-03-02,7,LOS CABOS,1890.39,1834.94,55.46,0
2017-03-02,8,LOS CABOS,2178.28,2110.71,67.57,0
2017-03-02,9,LOS CABOS,2186.59,2115.14,71.45,0
2017-03-02,10,LOS CABOS,2231.06,2110.57,120.49,0
2017-03-02,11,LOS CABOS,2239.89,2115.29,124.59,0
