Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-05-01,1,CONSTITUCION,1392.84,1408.65,-15.81,0
2017-05-01,2,CONSTITUCION,1482.95,1466.13,16.82,0
2017-05-01,3,CONSTITUCION,1757.9,1778.26,-20.36,0
2017-05-01,4,CONSTITUCION,1676.84,1689.06,-12.22,0
2017-05-01,5,CONSTITUCION,1655.82,1665.91,-10.09,0
2017-05-01,6,CONSTITUCION,1636.36,1643.39,-7.02,0
2017-05-01,7,CONSTITUCION,1558.42,1558.34,.08,0
2017-05-01,8,CONSTITUCION,1422.66,1412.73,9.94,0
2017-05-01,9,CONSTITUCION,1667.58,1666.91,.68,0
2017-05-01,10,CONSTITUCION,1715.16,1712.57,2.58,0
2017-05-01,11,CONSTITUCION,1802.95,1798.48,4.47,0
2017-05-01,12,CONSTITUCION,1809.48,1798.82,10.66,0
2017-05-01,13,CONSTITUCION,1815.85,1798.39,17.47,0
2017-05-01,14,CONSTITUCION,1818.69,1796.63,22.06,0
2017-05-01,15,CONSTITUCION,1820.32,1796.96,23.36,0
2017-05-01,16,CONSTITUCION,1825.58,1796.09,29.48,0
2017-05-01,17,CONSTITUCION,1823.92,1788.76,35.15,0
2017-05-01,18,CONSTITUCION,1820.38,1786.15,34.24,0
2017-05-01,19,CONSTITUCION,1795.74,1857.07,-61.33,0
2017-05-01,20,CONSTITUCION,1814.7,1891.88,-77.18,0
2017-05-01,21,CONSTITUCION,1833.22,1906.19,-72.98,0
2017-05-01,22,CONSTITUCION,1831.69,1905.4,-73.71,0
2017-05-01,23,CONSTITUCION,1902.37,1903.54,-1.17,0
2017-05-01,24,CONSTITUCION,1431.96,1455.7,-23.74,0
2017-05-01,1,LA PAZ,1418.69,1408.65,10.04,0
2017-05-01,2,LA PAZ,1479.42,1466.13,13.29,0
2017-05-01,3,LA PAZ,1792.29,1778.26,14.03,0
2017-05-01,4,LA PAZ,1702.73,1689.06,13.67,0
2017-05-01,5,LA PAZ,1679.3,1665.91,13.39,0
2017-05-01,6,LA PAZ,1656.45,1643.39,13.06,0
2017-05-01,7,LA PAZ,1570.36,1558.34,12.03,0
2017-05-01,8,LA PAZ,1423.26,1412.73,10.53,0
2017-05-01,9,LA PAZ,1679.05,1666.91,12.14,0
2017-05-01,10,LA PAZ,1725.15,1712.57,12.58,0
2017-05-01,11,LA PAZ,1811.95,1798.48,13.47,0
