Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-04-01,1,ACAPULCO,1585.41,1452.41,133,0
2017-04-01,2,ACAPULCO,1479.73,1355.39,124.35,-.01
2017-04-01,3,ACAPULCO,1038.38,949.62,88.77,-.01
2017-04-01,4,ACAPULCO,1005.51,919.33,86.19,-.01
2017-04-01,5,ACAPULCO,988.71,905.06,83.66,-.01
2017-04-01,6,ACAPULCO,1015.02,929.04,85.99,0
2017-04-01,7,ACAPULCO,1020.3,933.38,86.92,0
2017-04-01,8,ACAPULCO,1159.62,1064.28,95.34,0
2017-04-01,9,ACAPULCO,1566.41,1469.82,96.58,0
2017-04-01,10,ACAPULCO,1871.44,1768.82,102.63,0
2017-04-01,11,ACAPULCO,1810.01,1713.94,96.07,0
2017-04-01,12,ACAPULCO,1949,1820.14,128.87,0
2017-04-01,13,ACAPULCO,2408.55,2248.92,159.62,0
2017-04-01,14,ACAPULCO,1908.71,1786.33,122.37,0
2017-04-01,15,ACAPULCO,2190.36,2037.68,152.68,0
2017-04-01,16,ACAPULCO,1839.79,1709.67,130.13,0
2017-04-01,17,ACAPULCO,1925.84,1776.71,149.12,0
2017-04-01,18,ACAPULCO,1808.82,1668.67,140.15,0
2017-04-01,19,ACAPULCO,1936.61,1783.15,153.45,0
2017-04-01,20,ACAPULCO,1821.5,1690.37,131.13,0
2017-04-01,21,ACAPULCO,1933.38,1792.58,140.8,.01
2017-04-01,22,ACAPULCO,1815.93,1666.25,149.67,.01
2017-04-01,23,ACAPULCO,1606.78,1486.38,120.38,.02
2017-04-01,24,ACAPULCO,1494.62,1358.93,135.69,0
2017-04-01,1,AGUASCALIENTES,1450.22,1452.41,-2.19,0
2017-04-01,2,AGUASCALIENTES,1352.19,1355.38,-3.21,.02
2017-04-01,3,AGUASCALIENTES,948.04,949.62,-1.61,.02
2017-04-01,4,AGUASCALIENTES,917.04,919.33,-2.31,.02
2017-04-01,5,AGUASCALIENTES,903.7,905.06,-1.37,.02
2017-04-01,6,AGUASCALIENTES,926.9,929.04,-2.14,0
2017-04-01,7,AGUASCALIENTES,931.42,933.38,-1.96,0
2017-04-01,8,AGUASCALIENTES,1061.23,1064.28,-3.05,0
2017-04-01,9,AGUASCALIENTES,1475.75,1469.82,5.92,0
2017-04-01,10,AGUASCALIENTES,1779.54,1768.82,10.73,0
2017-04-01,11,AGUASCALIENTES,1731.69,1713.94,17.75,0
2017-04-01,12,AGUASCALIENTES,1844.55,1820.14,24.41,0
2017-04-01,13,AGUASCALIENTES,2283.8,2248.92,34.88,0
2017-04-01,14,AGUASCALIENTES,1813.89,1786.33,27.56,0
2017-04-01,15,AGUASCALIENTES,2061.72,2037.68,24.04,0
2017-04-01,16,AGUASCALIENTES,1728.79,1709.67,19.13,0
2017-04-01,17,AGUASCALIENTES,1784.72,1776.71,8.01,0
2017-04-01,18,AGUASCALIENTES,1672.49,1668.67,3.82,0
2017-04-01,19,AGUASCALIENTES,1783.05,1783.15,-.11,0
2017-04-01,20,AGUASCALIENTES,1681.78,1690.38,-8.59,0
2017-04-01,21,AGUASCALIENTES,1787.92,1792.58,-4.66,0
2017-04-01,22,AGUASCALIENTES,1660.86,1666.25,-5.39,0
2017-04-01,23,AGUASCALIENTES,1490.26,1486.38,3.88,0
2017-04-01,24,AGUASCALIENTES,1352.48,1358.93,-6.45,0
2017-04-01,1,APATZINGAN,1507.59,1452.41,55.18,0
2017-04-01,2,APATZINGAN,1403.5,1355.38,48.16,-.04
2017-04-01,3,APATZINGAN,987.27,949.62,37.69,-.04
2017-04-01,4,APATZINGAN,954.5,919.33,35.2,-.04
2017-04-01,5,APATZINGAN,940.37,905.06,35.35,-.04
2017-04-01,6,APATZINGAN,966.13,929.04,37.1,0
2017-04-01,7,APATZINGAN,977.25,933.38,43.87,0
2017-04-01,8,APATZINGAN,1115.67,1064.28,51.4,0
2017-04-01,9,APATZINGAN,1540.39,1469.82,70.57,0
2017-04-01,10,APATZINGAN,1854.34,1768.82,85.52,0
2017-04-01,11,APATZINGAN,1802.15,1713.94,88.21,0
2017-04-01,12,APATZINGAN,1919.87,1820.14,99.73,0
2017-04-01,13,APATZINGAN,2375.07,2248.92,126.15,0
2017-04-01,14,APATZINGAN,1881.26,1786.33,94.93,0
2017-04-01,15,APATZINGAN,2142.46,2037.68,104.78,0
2017-04-01,16,APATZINGAN,1800.74,1709.67,91.08,0
2017-04-01,17,APATZINGAN,1868.29,1776.71,91.57,0
2017-04-01,18,APATZINGAN,1751.3,1668.67,82.63,0
2017-04-01,19,APATZINGAN,1872.11,1783.15,88.96,0
2017-04-01,20,APATZINGAN,1779.44,1690.37,89.06,0
2017-04-01,21,APATZINGAN,1893.37,1792.58,100.79,0
2017-04-01,22,APATZINGAN,1751.98,1666.25,85.73,0
2017-04-01,23,APATZINGAN,1557.82,1486.38,71.44,0
2017-04-01,24,APATZINGAN,1415.08,1358.93,56.14,0
2017-04-01,1,CABORCA,623.96,1452.41,-346.57,-481.88
2017-04-01,2,CABORCA,619.96,1355.38,-284.24,-451.18
2017-04-01,3,CABORCA,592.38,949.62,-208.31,-148.93
2017-04-01,4,CABORCA,585.2,919.33,-207.17,-126.96
2017-04-01,5,CABORCA,575.86,905.06,-205.55,-123.65
2017-04-01,6,CABORCA,589.94,929.04,-215.94,-123.16
2017-04-01,7,CABORCA,586.69,933.38,-213.61,-133.08
2017-04-01,8,CABORCA,589.94,1064.28,-244.78,-229.56
2017-04-01,9,CABORCA,631.93,1469.82,-291.59,-546.3
2017-04-01,10,CABORCA,663.51,1768.82,-325.22,-780.09
2017-04-01,11,CABORCA,711.02,1713.94,-277.88,-725.04
2017-04-01,12,CABORCA,784.38,1820.14,-321.41,-714.35
2017-04-01,13,CABORCA,818.9,2248.92,-387.64,-1042.39
2017-04-01,14,CABORCA,798.74,1786.33,-284.82,-702.78
2017-04-01,15,CABORCA,836.04,2037.68,-387.26,-814.37
2017-04-01,16,CABORCA,772.34,1709.67,-288.96,-648.37
2017-04-01,17,CABORCA,763.09,1776.71,-336.97,-676.65
2017-04-01,18,CABORCA,764.63,1668.67,-320.32,-583.72
2017-04-01,19,CABORCA,766.56,1783.15,-360.24,-656.36
2017-04-01,20,CABORCA,744.9,1690.37,-349.99,-595.49
2017-04-01,21,CABORCA,763.84,1792.58,-357.01,-671.73
2017-04-01,22,CABORCA,749.88,1666.25,-339.19,-577.18
2017-04-01,23,CABORCA,714.13,1486.38,-291.32,-480.93
2017-04-01,24,CABORCA,645.13,1358.93,-310.3,-403.5
2017-04-01,1,CAMARGO,1307.05,1452.41,-145.36,0
2017-04-01,2,CAMARGO,1213.02,1355.39,-137.69,-4.68
2017-04-01,3,CAMARGO,840.56,949.62,-104.64,-4.42
2017-04-01,4,CAMARGO,809.3,919.33,-105.86,-4.17
2017-04-01,5,CAMARGO,796.53,905.06,-104.57,-3.95
2017-04-01,6,CAMARGO,815.93,929.04,-113.11,0
2017-04-01,7,CAMARGO,820.86,933.38,-112.53,0
2017-04-01,8,CAMARGO,934.8,1064.28,-129.47,0
2017-04-01,9,CAMARGO,1337.42,1469.82,-132.41,0
2017-04-01,10,CAMARGO,1639.42,1768.82,-129.4,0
2017-04-01,11,CAMARGO,1626.3,1713.94,-87.64,0
2017-04-01,12,CAMARGO,1737.54,1820.14,-82.6,0
2017-04-01,13,CAMARGO,2166.32,2248.92,-82.6,0
2017-04-01,14,CAMARGO,1727.83,1786.33,-58.51,0
2017-04-01,15,CAMARGO,1940.31,2037.68,-97.37,0
2017-04-01,16,CAMARGO,1628.91,1709.67,-80.76,0
2017-04-01,17,CAMARGO,1655,1776.71,-121.71,0
2017-04-01,18,CAMARGO,1549.69,1668.67,-118.98,0
2017-04-01,19,CAMARGO,1640.04,1783.15,-143.12,0
2017-04-01,20,CAMARGO,1545.75,1690.37,-144.63,0
2017-04-01,21,CAMARGO,1658.39,1792.58,-134.19,0
2017-04-01,22,CAMARGO,1525.36,1666.25,-140.89,0
2017-04-01,23,CAMARGO,1358.77,1486.38,-127.61,0
2017-04-01,24,CAMARGO,1193.13,1358.93,-165.8,0
2017-04-01,1,CAMPECHE,1813.72,1452.41,361.31,0
2017-04-01,2,CAMPECHE,1707.95,1355.39,352.56,.01
