Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-01-11,1,ACAPULCO,692.04,640.22,52.23,-.4
2017-01-11,2,ACAPULCO,629.93,586.62,43.31,0
2017-01-11,3,ACAPULCO,619.65,578.13,41.51,0
2017-01-11,4,ACAPULCO,612.54,572.49,40.05,0
2017-01-11,5,ACAPULCO,608.41,570.73,37.68,0
2017-01-11,6,ACAPULCO,635.9,590.79,45.38,-.28
2017-01-11,7,ACAPULCO,812.02,748.33,64.36,-.66
2017-01-11,8,ACAPULCO,911.89,845.33,66.58,-.02
2017-01-11,9,ACAPULCO,1176.96,1096.46,80.62,-.12
2017-01-11,10,ACAPULCO,1317.41,1250.37,73.15,-6.1
2017-01-11,11,ACAPULCO,1686.1,1578.13,122.9,-14.93
2017-01-11,12,ACAPULCO,1724.62,1611.42,126,-12.8
2017-01-11,13,ACAPULCO,1692.29,1585.07,122.19,-14.97
2017-01-11,14,ACAPULCO,1691.04,1579.25,124.44,-12.65
2017-01-11,15,ACAPULCO,1685.87,1574.64,123.36,-12.13
2017-01-11,16,ACAPULCO,1716.51,1598.24,130.4,-12.13
2017-01-11,17,ACAPULCO,1707.61,1593.68,126.36,-12.43
2017-01-11,18,ACAPULCO,1715.49,1595.16,133.84,-13.51
2017-01-11,19,ACAPULCO,1692.42,1561.27,143.83,-12.68
2017-01-11,20,ACAPULCO,1758.43,1611.37,152.79,-5.73
2017-01-11,21,ACAPULCO,1747.68,1603.54,156.16,-12.03
2017-01-11,22,ACAPULCO,1691.09,1550.78,152.48,-12.16
2017-01-11,23,ACAPULCO,1273.22,1176.13,101.98,-4.9
2017-01-11,24,ACAPULCO,857.49,787.79,70.87,-1.16
2017-01-11,1,AGUASCALIENTES,649.39,640.22,6.2,2.97
2017-01-11,2,AGUASCALIENTES,591.71,586.62,5.09,0
2017-01-11,3,AGUASCALIENTES,585.36,578.13,7.23,0
2017-01-11,4,AGUASCALIENTES,581.04,572.49,8.56,0
2017-01-11,5,AGUASCALIENTES,578.78,570.73,8.06,0
2017-01-11,6,AGUASCALIENTES,597.17,590.79,4.32,2.07
2017-01-11,7,AGUASCALIENTES,754.82,748.33,1.6,4.89
2017-01-11,8,AGUASCALIENTES,848.95,845.33,3.37,.25
2017-01-11,9,AGUASCALIENTES,1109.91,1096.46,12.21,1.24
2017-01-11,10,AGUASCALIENTES,1310.53,1250.37,14.34,45.83
2017-01-11,11,AGUASCALIENTES,1709.24,1578.13,19.33,111.78
2017-01-11,12,AGUASCALIENTES,1728.84,1611.42,20.86,96.56
2017-01-11,13,AGUASCALIENTES,1718.84,1585.07,21.15,112.62
2017-01-11,14,AGUASCALIENTES,1693.84,1579.25,19.27,95.33
2017-01-11,15,AGUASCALIENTES,1687.48,1574.64,21.54,91.3
2017-01-11,16,AGUASCALIENTES,1706.95,1598.24,17.9,90.82
2017-01-11,17,AGUASCALIENTES,1704.97,1593.68,18.64,92.65
2017-01-11,18,AGUASCALIENTES,1709.6,1595.16,14.22,100.22
2017-01-11,19,AGUASCALIENTES,1651.67,1561.27,-3.12,93.52
2017-01-11,20,AGUASCALIENTES,1654.75,1611.37,1.1,42.29
2017-01-11,21,AGUASCALIENTES,1686.73,1603.54,-5.27,88.46
2017-01-11,22,AGUASCALIENTES,1644.64,1550.78,4.73,89.13
2017-01-11,23,AGUASCALIENTES,1224.39,1176.13,11.84,36.42
2017-01-11,24,AGUASCALIENTES,804.16,787.79,7.84,8.54
2017-01-11,1,APATZINGAN,663.13,640.22,21.81,1.11
2017-01-11,2,APATZINGAN,612.75,586.62,26.14,0
2017-01-11,3,APATZINGAN,601.97,578.13,23.84,0
2017-01-11,4,APATZINGAN,597.53,572.49,25.04,0
2017-01-11,5,APATZINGAN,595.34,570.73,24.61,0
2017-01-11,6,APATZINGAN,617.95,590.79,26.38,.78
2017-01-11,7,APATZINGAN,774.6,748.33,24.45,1.83
2017-01-11,8,APATZINGAN,869.62,845.33,24.2,.09
2017-01-11,9,APATZINGAN,1132.53,1096.46,35.62,.44
2017-01-11,10,APATZINGAN,1303.31,1250.37,35.89,17.06
2017-01-11,11,APATZINGAN,1672.26,1578.13,52.55,41.58
2017-01-11,12,APATZINGAN,1703.86,1611.42,56.55,35.89
2017-01-11,13,APATZINGAN,1683.08,1585.07,56.15,41.85
2017-01-11,14,APATZINGAN,1683.1,1579.25,68.31,35.54
2017-01-11,15,APATZINGAN,1685.51,1574.64,76.73,34.14
2017-01-11,16,APATZINGAN,1710.53,1598.24,78.08,34.21
2017-01-11,17,APATZINGAN,1701.71,1593.68,73.15,34.88
2017-01-11,18,APATZINGAN,1706.07,1595.16,73.22,37.69
2017-01-11,19,APATZINGAN,1651.86,1561.27,55.39,35.2
2017-01-11,20,APATZINGAN,1701.07,1611.37,73.61,16.1
2017-01-11,21,APATZINGAN,1705.99,1603.54,69.18,33.27
2017-01-11,22,APATZINGAN,1648.34,1550.78,64.07,33.48
2017-01-11,23,APATZINGAN,1232.1,1176.13,42.28,13.69
2017-01-11,24,APATZINGAN,818.89,787.79,27.9,3.2
2017-01-11,1,CABORCA,544.19,640.22,-94.71,-1.31
