Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-02-01,1,ACAPULCO,641.06,593.13,47.93,0
2017-02-01,2,ACAPULCO,623.89,580.41,43.48,0
2017-02-01,3,ACAPULCO,597.61,557.92,39.69,0
2017-02-01,4,ACAPULCO,610.77,569.28,41.49,0
2017-02-01,5,ACAPULCO,614.57,572.43,42.14,0
2017-02-01,6,ACAPULCO,635.27,589.82,45.45,0
2017-02-01,7,ACAPULCO,778.34,719.6,58.74,0
2017-02-01,8,ACAPULCO,985.06,919.37,66.52,-.83
2017-02-01,9,ACAPULCO,1477.94,1383.7,95.27,-1.02
2017-02-01,10,ACAPULCO,1632.47,1529,103.47,0
2017-02-01,11,ACAPULCO,1641.27,1540.25,101.02,0
2017-02-01,12,ACAPULCO,1492.97,1396.93,96.03,0
2017-02-01,13,ACAPULCO,1724.2,1615.73,108.48,0
2017-02-01,14,ACAPULCO,1820.05,1697.39,122.67,0
2017-02-01,15,ACAPULCO,1596.43,1523.27,73.16,0
2017-02-01,16,ACAPULCO,1833.83,1734.75,99.08,0
2017-02-01,17,ACAPULCO,1830.6,1714.92,115.67,0
2017-02-01,18,ACAPULCO,1808.42,1693.75,114.68,0
2017-02-01,19,ACAPULCO,1608.13,1509.22,98.91,0
2017-02-01,20,ACAPULCO,1765.26,1623.3,141.96,0
2017-02-01,21,ACAPULCO,1809.91,1658.75,151.16,0
2017-02-01,22,ACAPULCO,1632.29,1508.63,123.66,0
2017-02-01,23,ACAPULCO,992.44,921.6,70.84,0
2017-02-01,24,ACAPULCO,801.5,745.67,55.82,0
2017-02-01,1,AGUASCALIENTES,599.22,593.13,6.09,0
2017-02-01,2,AGUASCALIENTES,586.94,580.41,6.54,0
2017-02-01,3,AGUASCALIENTES,564.38,557.92,6.46,0
2017-02-01,4,AGUASCALIENTES,574.48,569.28,5.2,0
2017-02-01,5,AGUASCALIENTES,577.96,572.43,5.54,0
2017-02-01,6,AGUASCALIENTES,595.68,589.82,5.86,0
2017-02-01,7,AGUASCALIENTES,725.69,719.6,6.1,0
2017-02-01,8,AGUASCALIENTES,934.15,919.37,8.58,6.2
2017-02-01,9,AGUASCALIENTES,1407.65,1383.7,16.34,7.62
2017-02-01,10,AGUASCALIENTES,1554.49,1529,25.48,0
2017-02-01,11,AGUASCALIENTES,1570.01,1540.25,29.75,0
2017-02-01,12,AGUASCALIENTES,1405.26,1396.93,8.32,0
2017-02-01,13,AGUASCALIENTES,1642.7,1615.73,26.97,0
2017-02-01,14,AGUASCALIENTES,1724,1697.39,26.61,0
2017-02-01,15,AGUASCALIENTES,1544.93,1523.27,21.66,0
2017-02-01,16,AGUASCALIENTES,1768.18,1734.75,33.43,0
2017-02-01,17,AGUASCALIENTES,1747.2,1714.92,32.27,0
2017-02-01,18,AGUASCALIENTES,1721.46,1693.75,27.71,0
2017-02-01,19,AGUASCALIENTES,1513.02,1509.22,3.8,0
2017-02-01,20,AGUASCALIENTES,1628.09,1623.3,4.79,0
2017-02-01,21,AGUASCALIENTES,1661.47,1658.75,2.72,0
2017-02-01,22,AGUASCALIENTES,1516.47,1508.63,7.84,0
2017-02-01,23,AGUASCALIENTES,925.49,921.6,3.89,0
2017-02-01,24,AGUASCALIENTES,752.31,745.67,6.63,0
2017-02-01,1,APATZINGAN,620.29,593.13,27.16,0
2017-02-01,2,APATZINGAN,604.88,580.41,24.47,0
2017-02-01,3,APATZINGAN,580.41,557.92,22.49,0
2017-02-01,4,APATZINGAN,591.35,569.28,22.07,0
2017-02-01,5,APATZINGAN,594.72,572.43,22.29,0
2017-02-01,6,APATZINGAN,614.66,589.82,24.85,0
2017-02-01,7,APATZINGAN,752.84,719.6,33.24,0
2017-02-01,8,APATZINGAN,966.96,919.37,45.34,2.26
2017-02-01,9,APATZINGAN,1458.56,1383.7,72.09,2.78
2017-02-01,10,APATZINGAN,1616.97,1529,87.96,0
2017-02-01,11,APATZINGAN,1629.07,1540.25,88.82,0
2017-02-01,12,APATZINGAN,1462.63,1396.93,65.7,0
2017-02-01,13,APATZINGAN,1701.73,1615.73,86.01,0
2017-02-01,14,APATZINGAN,1791.89,1697.39,94.51,0
2017-02-01,15,APATZINGAN,1597.89,1523.27,74.63,0
2017-02-01,16,APATZINGAN,1823.51,1734.75,88.76,0
2017-02-01,17,APATZINGAN,1802.78,1714.92,87.86,0
2017-02-01,18,APATZINGAN,1774.95,1693.75,81.21,0
2017-02-01,19,APATZINGAN,1560.61,1509.22,51.39,0
2017-02-01,20,APATZINGAN,1702.95,1623.3,79.65,0
2017-02-01,21,APATZINGAN,1743.38,1658.75,84.63,0
2017-02-01,22,APATZINGAN,1583.6,1508.63,74.97,0
2017-02-01,23,APATZINGAN,960.68,921.6,39.08,0
2017-02-01,24,APATZINGAN,777.13,745.67,31.45,0
2017-02-01,1,CABORCA,509.86,593.13,-83.27,0
2017-02-01,2,CABORCA,503.96,580.41,-76.45,0
2017-02-01,3,CABORCA,494.7,557.92,-63.22,0
2017-02-01,4,CABORCA,497.79,569.28,-71.49,0
2017-02-01,5,CABORCA,496.28,572.43,-76.15,0
2017-02-01,6,CABORCA,499.23,589.82,-90.58,0
2017-02-01,7,CABORCA,557.92,719.6,-161.68,0
2017-02-01,8,CABORCA,699.05,919.37,-213.36,-6.96
2017-02-01,9,CABORCA,1019.05,1383.7,-356.1,-8.55
2017-02-01,10,CABORCA,1181.04,1529,-347.97,0
2017-02-01,11,CABORCA,1240,1540.25,-300.25,0
2017-02-01,12,CABORCA,1073.25,1396.93,-323.68,0
2017-02-01,13,CABORCA,1286.25,1615.73,-329.48,0
2017-02-01,14,CABORCA,1337.48,1697.39,-359.91,0
2017-02-01,15,CABORCA,1219.69,1523.27,-303.58,0
2017-02-01,16,CABORCA,1384.99,1734.75,-349.76,0
2017-02-01,17,CABORCA,1336.22,1714.92,-378.71,0
2017-02-01,18,CABORCA,1309.16,1693.75,-384.58,0
2017-02-01,19,CABORCA,1100.92,1509.22,-408.3,0
2017-02-01,20,CABORCA,1217.24,1623.3,-406.06,0
2017-02-01,21,CABORCA,1227.48,1658.75,-431.26,0
2017-02-01,22,CABORCA,1151.73,1508.63,-356.89,0
2017-02-01,23,CABORCA,730.65,921.6,-190.95,0
2017-02-01,24,CABORCA,600.23,745.67,-145.44,0
2017-02-01,1,CAMARGO,540.72,593.13,-52.41,0
2017-02-01,2,CAMARGO,530.98,580.41,-49.43,0
2017-02-01,3,CAMARGO,520.44,557.92,-37.49,0
2017-02-01,4,CAMARGO,524.43,569.28,-44.85,0
2017-02-01,5,CAMARGO,523.48,572.43,-48.95,0
2017-02-01,6,CAMARGO,532.89,589.82,-56.93,0
2017-02-01,7,CAMARGO,630.38,719.6,-89.22,0
2017-02-01,8,CAMARGO,790.2,919.37,-115.07,-14.09
2017-02-01,9,CAMARGO,1197.81,1383.7,-168.58,-17.3
2017-02-01,10,CAMARGO,1373.37,1529,-155.64,0
2017-02-01,11,CAMARGO,1415.21,1540.25,-125.04,0
2017-02-01,12,CAMARGO,1248.82,1396.93,-148.11,0
2017-02-01,13,CAMARGO,1469.92,1615.73,-145.81,0
2017-02-01,14,CAMARGO,1533.37,1697.39,-164.02,0
2017-02-01,15,CAMARGO,1388.73,1523.27,-134.54,0
2017-02-01,16,CAMARGO,1601.34,1734.75,-133.41,0
2017-02-01,17,CAMARGO,1570.53,1714.92,-144.39,0
2017-02-01,18,CAMARGO,1541.12,1693.75,-152.63,0
2017-02-01,19,CAMARGO,1337.74,1509.22,-171.48,0
2017-02-01,20,CAMARGO,1444.03,1623.3,-179.28,0
2017-02-01,21,CAMARGO,1468.18,1658.75,-190.56,0
2017-02-01,22,CAMARGO,1346.43,1508.63,-162.2,0
2017-02-01,23,CAMARGO,817.13,921.6,-104.47,0
2017-02-01,24,CAMARGO,669.82,745.67,-75.85,0
2017-02-01,1,CAMPECHE,636.99,593.13,43.86,0
2017-02-01,2,CAMPECHE,615.61,580.41,35.21,0
2017-02-01,3,CAMPECHE,574.54,557.92,16.62,0
2017-02-01,4,CAMPECHE,595.19,569.28,25.91,0
2017-02-01,5,CAMPECHE,600.46,572.43,28.03,0
2017-02-01,6,CAMPECHE,624.38,589.82,34.57,0
2017-02-01,7,CAMPECHE,767.24,719.6,47.64,0
2017-02-01,8,CAMPECHE,983.25,919.37,65.96,-2.07
2017-02-01,9,CAMPECHE,1502.7,1383.7,121.55,-2.54
2017-02-01,10,CAMPECHE,1660.5,1529,131.5,0
2017-02-01,11,CAMPECHE,1713.43,1540.25,173.18,0
2017-02-01,12,CAMPECHE,1594.34,1396.93,197.41,0
2017-02-01,13,CAMPECHE,1838.03,1615.73,222.3,0
2017-02-01,14,CAMPECHE,1957.82,1697.39,260.44,0
2017-02-01,15,CAMPECHE,1752.64,1523.27,229.37,0
2017-02-01,16,CAMPECHE,1999.6,1734.75,264.85,0
2017-02-01,17,CAMPECHE,1961.57,1714.92,246.65,0
2017-02-01,18,CAMPECHE,1944.01,1693.75,250.26,0
2017-02-01,19,CAMPECHE,1777.71,1509.22,268.49,0
2017-02-01,20,CAMPECHE,1914.09,1623.3,290.79,0
2017-02-01,21,CAMPECHE,1975.6,1658.75,316.85,0
2017-02-01,22,CAMPECHE,1763.28,1508.63,254.66,0
2017-02-01,23,CAMPECHE,1053.08,921.6,131.48,0
2017-02-01,24,CAMPECHE,833.56,745.67,87.89,0
2017-02-01,1,CANCUN,645.83,593.13,52.7,0
2017-02-01,2,CANCUN,623.71,580.41,43.3,0
2017-02-01,3,CANCUN,581.83,557.92,23.9,0
2017-02-01,4,CANCUN,602.51,569.28,33.23,0
2017-02-01,5,CANCUN,608.21,572.43,35.79,0
2017-02-01,6,CANCUN,632.84,589.82,43.02,0
2017-02-01,7,CANCUN,775.01,719.6,55.42,0
2017-02-01,8,CANCUN,998.3,919.37,81.01,-2.07
2017-02-01,9,CANCUN,1529.98,1383.7,148.82,-2.54
2017-02-01,10,CANCUN,1692.63,1529,163.63,0
2017-02-01,11,CANCUN,1747.6,1540.25,207.34,0
2017-02-01,12,CANCUN,1626.1,1396.93,229.17,0
2017-02-01,13,CANCUN,1875.22,1615.73,259.49,0
2017-02-01,14,CANCUN,1999.38,1697.39,302,0
2017-02-01,15,CANCUN,1789.95,1523.27,266.68,0
2017-02-01,16,CANCUN,2042.32,1734.75,307.57,0
2017-02-01,17,CANCUN,2002.38,1714.92,287.46,0
2017-02-01,18,CANCUN,1986.36,1693.75,292.62,0
2017-02-01,19,CANCUN,1814.27,1509.22,305.05,0
2017-02-01,20,CANCUN,1948.45,1623.3,325.15,0
