Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-06-16,1,ACAPULCO,5227.71,3848.57,195.15,1183.99
2017-06-16,2,ACAPULCO,3044.37,2874.91,169.45,0
2017-06-16,3,ACAPULCO,2958.98,2782.99,175.98,0
2017-06-16,4,ACAPULCO,2834.95,2657.23,177.71,0
2017-06-16,5,ACAPULCO,2697.14,2512.76,184.38,0
2017-06-16,6,ACAPULCO,1711.73,1618.69,93.04,0
2017-06-16,7,ACAPULCO,1688.87,1600.59,88.28,0
2017-06-16,8,ACAPULCO,2634.94,2456.78,178.17,0
2017-06-16,9,ACAPULCO,2657.07,2504.08,152.99,0
2017-06-16,10,ACAPULCO,4691.77,4554.24,137.53,0
2017-06-16,11,ACAPULCO,4633.62,4638.39,-4.77,0
2017-06-16,12,ACAPULCO,5726.81,5729.47,-2.66,0
2017-06-16,13,ACAPULCO,6567.19,6691.46,-124.27,0
2017-06-16,14,ACAPULCO,7044.72,7173.25,-128.52,0
2017-06-16,15,ACAPULCO,6671.02,6757.86,-86.84,0
2017-06-16,16,ACAPULCO,6783.28,6888.93,-105.65,0
2017-06-16,17,ACAPULCO,6735.94,6816.11,-79.95,-.22
2017-06-16,18,ACAPULCO,6954.77,7031.13,-76.36,0
2017-06-16,19,ACAPULCO,7021.81,7095.21,-73.41,0
2017-06-16,20,ACAPULCO,6888.82,6814.63,74.19,0
2017-06-16,21,ACAPULCO,6651.91,6368.47,283.44,0
2017-06-16,22,ACAPULCO,6890.68,6678.76,211.91,0
2017-06-16,23,ACAPULCO,6578.55,6519.98,58.57,0
2017-06-16,24,ACAPULCO,6963.15,6894.84,77.51,-9.2
2017-06-16,1,AGUASCALIENTES,6489.95,3848.57,249.84,2391.55
2017-06-16,2,AGUASCALIENTES,3048.02,2874.91,173.11,0
2017-06-16,3,AGUASCALIENTES,2935.39,2783,152.39,0
2017-06-16,4,AGUASCALIENTES,2787.24,2657.24,130.01,0
2017-06-16,5,AGUASCALIENTES,2624.44,2512.76,111.68,0
2017-06-16,6,AGUASCALIENTES,1692.06,1618.69,73.37,0
2017-06-16,7,AGUASCALIENTES,1675.62,1600.59,75.03,0
2017-06-16,8,AGUASCALIENTES,2569.8,2456.78,113.02,0
2017-06-16,9,AGUASCALIENTES,2643.5,2504.08,139.42,0
2017-06-16,10,AGUASCALIENTES,4832.81,4554.24,278.57,0
2017-06-16,11,AGUASCALIENTES,4938.15,4638.39,299.76,0
2017-06-16,12,AGUASCALIENTES,6080.01,5729.47,350.54,0
2017-06-16,13,AGUASCALIENTES,7082.44,6649.65,432.79,0
2017-06-16,14,AGUASCALIENTES,7107.19,6667.54,439.66,0
2017-06-16,15,AGUASCALIENTES,7107.19,6685.6,421.59,0
2017-06-16,16,AGUASCALIENTES,7107.19,6685.07,422.12,0
2017-06-16,17,AGUASCALIENTES,7107.19,6707.38,397.4,2.42
2017-06-16,18,AGUASCALIENTES,7107.19,6716.09,391.1,0
2017-06-16,19,AGUASCALIENTES,7107.19,6741.95,365.24,0
2017-06-16,20,AGUASCALIENTES,7107.19,6734.16,373.03,0
2017-06-16,21,AGUASCALIENTES,6686.91,6393.03,293.88,0
2017-06-16,22,AGUASCALIENTES,7069.05,6717.4,351.66,0
2017-06-16,23,AGUASCALIENTES,6908.31,6540.37,367.95,0
2017-06-16,24,AGUASCALIENTES,7107.19,6697.77,409.66,-.24
2017-06-16,1,APATZINGAN,6666.78,3848.57,223.53,2594.68
2017-06-16,2,APATZINGAN,3041.4,2874.91,166.49,0
2017-06-16,3,APATZINGAN,2937.16,2782.99,154.16,0
2017-06-16,4,APATZINGAN,2793.41,2657.23,136.18,0
2017-06-16,5,APATZINGAN,2640.04,2512.76,127.29,0
2017-06-16,6,APATZINGAN,1701.05,1618.69,82.35,0
2017-06-16,7,APATZINGAN,1693.03,1600.59,92.44,0
2017-06-16,8,APATZINGAN,2617.72,2456.78,160.94,0
2017-06-16,9,APATZINGAN,2675.22,2504.08,171.14,0
2017-06-16,10,APATZINGAN,4851.93,4554.24,297.69,0
2017-06-16,11,APATZINGAN,4918.27,4638.39,279.88,0
2017-06-16,12,APATZINGAN,6051.91,5729.47,322.44,0
2017-06-16,13,APATZINGAN,7003.93,6622.68,381.25,0
2017-06-16,14,APATZINGAN,7102.5,6708.9,393.6,0
2017-06-16,15,APATZINGAN,7066.26,6672.13,394.13,0
2017-06-16,16,APATZINGAN,7106.5,6687.05,419.45,0
2017-06-16,17,APATZINGAN,7101.83,6698.32,402.36,1.14
2017-06-16,18,APATZINGAN,7107.19,6699.77,407.42,0
2017-06-16,19,APATZINGAN,7102.69,6731.78,370.91,0
2017-06-16,20,APATZINGAN,7094.21,6705.53,388.67,0
2017-06-16,21,APATZINGAN,6772.58,6364.3,408.28,0
2017-06-16,22,APATZINGAN,7078.25,6625.54,452.71,0
2017-06-16,23,APATZINGAN,6918.08,6486.04,432.03,0
2017-06-16,24,APATZINGAN,7098.7,6768.68,390.67,-60.64
2017-06-16,1,CABORCA,5917.47,3848.57,297.03,1771.87
2017-06-16,2,CABORCA,3227.09,2874.91,352.17,0
2017-06-16,3,CABORCA,2917.94,2783,134.94,0
2017-06-16,4,CABORCA,1447.35,2657.23,12.66,-1222.54
2017-06-16,5,CABORCA,2432.3,2512.76,-80.46,0
2017-06-16,6,CABORCA,1257.94,1618.69,-55.43,-305.32
2017-06-16,7,CABORCA,1355.31,1600.59,-1.28,-244
2017-06-16,8,CABORCA,1429.61,2456.78,-225.44,-801.72
2017-06-16,9,CABORCA,867.72,2504.08,-180.45,-1455.9
2017-06-16,10,CABORCA,1978.91,4554.24,-127.48,-2447.85
2017-06-16,11,CABORCA,4715.91,4638.39,77.52,0
2017-06-16,12,CABORCA,6000.4,5729.47,270.93,0
2017-06-16,13,CABORCA,6559.33,6692.81,464.21,-597.69
2017-06-16,14,CABORCA,7107.19,6488.7,618.49,0
2017-06-16,15,CABORCA,7106.53,6493.71,612.82,0
2017-06-16,16,CABORCA,7107.19,6339.11,768.08,0
2017-06-16,17,CABORCA,7107.19,6432.9,666.81,7.48
2017-06-16,18,CABORCA,7107.19,6332.69,774.5,0
2017-06-16,19,CABORCA,7107.19,6208.44,898.75,0
2017-06-16,20,CABORCA,7107.19,6268.32,838.88,0
2017-06-16,21,CABORCA,6911.45,6389.87,521.58,0
2017-06-16,22,CABORCA,7100,6640.09,459.92,0
2017-06-16,23,CABORCA,7095.01,6466.94,628.07,0
2017-06-16,24,CABORCA,1544.17,6971.02,792.68,-6219.53
2017-06-16,1,CAMARGO,6797.26,3848.57,933.18,2015.52
2017-06-16,2,CAMARGO,3564.99,2874.91,690.08,0
2017-06-16,3,CAMARGO,3363.06,2783,580.06,0
2017-06-16,4,CAMARGO,3140.43,2657.24,483.2,0
2017-06-16,5,CAMARGO,2908.18,2512.76,395.42,0
2017-06-16,6,CAMARGO,1867.5,1618.69,248.8,0
2017-06-16,7,CAMARGO,1847.55,1600.59,246.96,0
2017-06-16,8,CAMARGO,2775.76,2456.78,318.98,0
2017-06-16,9,CAMARGO,2910.6,2504.08,406.52,0
2017-06-16,10,CAMARGO,5441.97,4554.24,887.73,0
2017-06-16,11,CAMARGO,5678.5,4638.39,1040.11,0
2017-06-16,12,CAMARGO,7019.25,5653.08,1366.18,0
2017-06-16,13,CAMARGO,7107.19,5628.87,1478.32,0
2017-06-16,14,CAMARGO,7107.19,5569.04,1538.16,0
2017-06-16,15,CAMARGO,7107.19,5802.14,1305.05,0
2017-06-16,16,CAMARGO,7107.19,5816.62,1290.57,0
2017-06-16,17,CAMARGO,7107.19,6048.82,1049.1,9.28
2017-06-16,18,CAMARGO,7107.19,5948.44,1158.75,0
2017-06-16,19,CAMARGO,7107.19,5808.66,1298.53,0
2017-06-16,20,CAMARGO,7107.19,5850.97,1256.22,0
2017-06-16,21,CAMARGO,7107.19,5930.04,1177.15,0
2017-06-16,22,CAMARGO,7107.19,5866.51,1240.68,0
2017-06-16,23,CAMARGO,7107.19,5773.67,1333.53,0
2017-06-16,24,CAMARGO,7107.19,4508.58,1110.15,1488.46
2017-06-16,1,CAMPECHE,4844.72,3848.57,157.58,838.57
2017-06-16,2,CAMPECHE,3031.38,2874.91,156.47,0
2017-06-16,3,CAMPECHE,3012.14,2783,229.14,0
2017-06-16,4,CAMPECHE,2979.26,2657.23,322.03,0
2017-06-16,5,CAMPECHE,2827.89,2512.76,315.13,0
2017-06-16,6,CAMPECHE,1795.19,1618.69,176.49,0
2017-06-16,7,CAMPECHE,1699.38,1600.59,98.79,0
2017-06-16,8,CAMPECHE,2510.76,2456.78,53.99,0
2017-06-16,9,CAMPECHE,2457.91,2504.08,-46.17,0
2017-06-16,10,CAMPECHE,4432.67,4554.24,-121.57,0
2017-06-16,11,CAMPECHE,4538.53,4638.39,-99.86,0
2017-06-16,12,CAMPECHE,5622.58,5729.47,-106.89,0
2017-06-16,13,CAMPECHE,6405.03,6692.81,-287.78,0
2017-06-16,14,CAMPECHE,6852.28,7236.34,-384.07,0
2017-06-16,15,CAMPECHE,6469.3,6772.79,-303.49,0
2017-06-16,16,CAMPECHE,6620.28,6914.93,-294.65,0
2017-06-16,17,CAMPECHE,6628.23,6837.62,-208.63,-.76
2017-06-16,18,CAMPECHE,6925.98,7081.94,-155.97,0
2017-06-16,19,CAMPECHE,7107.19,7058.33,48.86,0
2017-06-16,20,CAMPECHE,6954.06,6858.03,96.03,0
2017-06-16,21,CAMPECHE,6602.31,6393.95,208.36,0
2017-06-16,22,CAMPECHE,6861.06,6757.24,103.82,0
2017-06-16,23,CAMPECHE,6656.09,6548.38,107.71,0
2017-06-16,24,CAMPECHE,7012.18,6970.45,27.94,13.79
2017-06-16,1,CANCUN,4901.36,3848.57,214.22,838.57
2017-06-16,2,CANCUN,3064.75,2874.91,189.84,0
2017-06-16,3,CANCUN,3041.62,2783,258.63,0
2017-06-16,4,CANCUN,2992.38,2657.23,335.15,0
2017-06-16,5,CANCUN,2835.4,2512.76,322.64,0
2017-06-16,6,CANCUN,1799.87,1618.69,181.18,0
2017-06-16,7,CANCUN,1704.64,1600.59,104.05,0
2017-06-16,8,CANCUN,2532.78,2456.78,76.01,0
2017-06-16,9,CANCUN,2492.4,2504.08,-11.68,0
2017-06-16,10,CANCUN,4500.99,4554.24,-53.25,0
2017-06-16,11,CANCUN,4624.45,4638.39,-13.93,0
2017-06-16,12,CANCUN,5751.98,5729.47,22.51,0
2017-06-16,13,CANCUN,6526.05,6692.81,-166.76,0
2017-06-16,14,CANCUN,6972.71,7236.34,-263.63,0
2017-06-16,15,CANCUN,6592.51,6772.79,-180.27,0
2017-06-16,16,CANCUN,6742.12,6914.93,-172.81,0
2017-06-16,17,CANCUN,6740.15,6837.62,-96.71,-.76
2017-06-16,18,CANCUN,7031.55,7081.94,-50.39,0
2017-06-16,19,CANCUN,7107.19,6973.14,134.05,0
2017-06-16,20,CANCUN,7053.01,6858.03,194.99,0
2017-06-16,21,CANCUN,6671.39,6393.95,277.44,0
2017-06-16,22,CANCUN,6908.26,6757.24,151.02,0
2017-06-16,23,CANCUN,6704.18,6548.38,155.8,0
2017-06-16,24,CANCUN,7046.47,6971.02,61.66,13.79
2017-06-16,1,CARMEN,5048.83,3848.57,361.69,838.57
2017-06-16,2,CARMEN,3178.05,2874.91,303.14,0
2017-06-16,3,CARMEN,3146.17,2783,363.17,0
2017-06-16,4,CARMEN,3105.17,2657.23,447.94,0
2017-06-16,5,CARMEN,2944,2512.76,431.25,0
2017-06-16,6,CARMEN,1862.68,1618.69,243.98,0
2017-06-16,7,CARMEN,1762.87,1600.59,162.28,0
2017-06-16,8,CARMEN,2611.54,2456.78,154.76,0
2017-06-16,9,CARMEN,2565.54,2504.08,61.46,0
2017-06-16,10,CARMEN,4634.71,4554.24,80.47,0
2017-06-16,11,CARMEN,4744.26,4638.39,105.87,0
2017-06-16,12,CARMEN,5874.22,5729.47,144.75,0
2017-06-16,13,CARMEN,6616.72,6692.81,-76.09,0
2017-06-16,14,CARMEN,7090.39,7236.34,-145.95,0
2017-06-16,15,CARMEN,6691.07,6772.79,-81.72,0
2017-06-16,16,CARMEN,6860.9,6914.93,-54.03,0
2017-06-16,17,CARMEN,6880.33,6837.62,43.46,-.76
2017-06-16,18,CARMEN,7107.14,7006.53,100.62,0
2017-06-16,19,CARMEN,7107.19,6819.37,287.82,0
