Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-03-01,1,ACAPULCO,953.04,869.89,83.15,0
2017-03-01,2,ACAPULCO,880.79,806.39,74.4,0
2017-03-01,3,ACAPULCO,828.79,765.41,63.39,0
2017-03-01,4,ACAPULCO,816.1,753.09,63.01,0
2017-03-01,5,ACAPULCO,891.57,816.47,75.09,0
2017-03-01,6,ACAPULCO,1007.02,922.71,84.31,0
2017-03-01,7,ACAPULCO,1155.28,1072.39,82.89,0
2017-03-01,8,ACAPULCO,1670.65,1565.32,105.33,0
2017-03-01,9,ACAPULCO,1788.94,1692.05,96.89,0
2017-03-01,10,ACAPULCO,2259.42,2099.33,160.09,0
2017-03-01,11,ACAPULCO,2275.02,2112.55,162.48,0
2017-03-01,12,ACAPULCO,2182.94,2027.42,155.52,0
2017-03-01,13,ACAPULCO,2261.42,2100.7,160.72,0
2017-03-01,14,ACAPULCO,2192.17,2036.48,155.69,0
2017-03-01,15,ACAPULCO,2291.11,2124.07,167.04,0
2017-03-01,16,ACAPULCO,2296.51,2127.42,169,.09
2017-03-01,17,ACAPULCO,2190.58,2033.74,156.84,0
2017-03-01,18,ACAPULCO,2196.05,2032.79,163.27,0
2017-03-01,19,ACAPULCO,2293.59,2097.87,195.68,.04
2017-03-01,20,ACAPULCO,2474.65,2257.49,217.16,0
2017-03-01,21,ACAPULCO,2319.16,2117.19,201.97,0
2017-03-01,22,ACAPULCO,2068.41,1889.16,179.25,0
2017-03-01,23,ACAPULCO,1849.74,1731.54,118.2,0
2017-03-01,24,ACAPULCO,1210.36,1121.23,89.14,0
2017-03-01,1,AGUASCALIENTES,874.05,869.89,4.15,0
2017-03-01,2,AGUASCALIENTES,811.69,806.39,5.3,0
2017-03-01,3,AGUASCALIENTES,766.88,765.41,1.47,0
2017-03-01,4,AGUASCALIENTES,753.11,753.09,.02,0
2017-03-01,5,AGUASCALIENTES,819.84,816.47,3.37,0
2017-03-01,6,AGUASCALIENTES,925.85,922.71,3.14,0
2017-03-01,7,AGUASCALIENTES,1079.38,1072.39,6.99,0
2017-03-01,8,AGUASCALIENTES,1579.91,1565.32,14.59,0
2017-03-01,9,AGUASCALIENTES,1721.72,1692.05,29.67,0
2017-03-01,10,AGUASCALIENTES,2133.78,2099.33,34.45,0
2017-03-01,11,AGUASCALIENTES,2148.58,2112.55,36.04,0
2017-03-01,12,AGUASCALIENTES,2062.79,2027.42,35.37,0
2017-03-01,13,AGUASCALIENTES,2143.02,2100.7,42.32,0
2017-03-01,14,AGUASCALIENTES,2077.98,2036.48,41.5,0
2017-03-01,15,AGUASCALIENTES,2166.46,2124.07,42.4,0
2017-03-01,16,AGUASCALIENTES,2173.3,2127.42,45.9,-.02
2017-03-01,17,AGUASCALIENTES,2075.82,2033.74,42.08,0
2017-03-01,18,AGUASCALIENTES,2065.64,2032.79,32.86,0
2017-03-01,19,AGUASCALIENTES,2106.99,2097.87,9.13,-.01
2017-03-01,20,AGUASCALIENTES,2254.2,2257.49,-3.29,0
2017-03-01,21,AGUASCALIENTES,2111.73,2117.19,-5.46,0
2017-03-01,22,AGUASCALIENTES,1876.46,1889.16,-12.7,0
2017-03-01,23,AGUASCALIENTES,1735.49,1731.54,3.96,0
2017-03-01,24,AGUASCALIENTES,1121.36,1121.23,.14,0
2017-03-01,1,APATZINGAN,907.65,869.89,37.76,0
2017-03-01,2,APATZINGAN,842.27,806.39,35.88,0
2017-03-01,3,APATZINGAN,795.34,765.41,29.93,0
2017-03-01,4,APATZINGAN,781.57,753.09,28.48,0
2017-03-01,5,APATZINGAN,848.85,816.47,32.38,0
2017-03-01,6,APATZINGAN,959.78,922.71,37.07,0
2017-03-01,7,APATZINGAN,1119.56,1072.39,47.17,0
2017-03-01,8,APATZINGAN,1636.07,1565.32,70.76,0
2017-03-01,9,APATZINGAN,1781.33,1692.05,89.28,0
2017-03-01,10,APATZINGAN,2216.38,2099.33,117.05,0
2017-03-01,11,APATZINGAN,2236.47,2112.55,123.93,0
2017-03-01,12,APATZINGAN,2150.42,2027.42,123,0
2017-03-01,13,APATZINGAN,2231.97,2100.7,131.27,0
2017-03-01,14,APATZINGAN,2164.53,2036.48,128.05,0
2017-03-01,15,APATZINGAN,2255.44,2124.07,131.37,0
2017-03-01,16,APATZINGAN,2260.69,2127.42,132.52,.74
2017-03-01,17,APATZINGAN,2156.19,2033.74,122.44,0
2017-03-01,18,APATZINGAN,2149.67,2032.79,116.89,0
2017-03-01,19,APATZINGAN,2199.68,2097.87,101.45,.35
2017-03-01,20,APATZINGAN,2376.96,2257.49,119.47,0
2017-03-01,21,APATZINGAN,2236.18,2117.19,118.99,0
2017-03-01,22,APATZINGAN,1989.23,1889.16,100.07,0
2017-03-01,23,APATZINGAN,1812.77,1731.54,81.24,0
2017-03-01,24,APATZINGAN,1168.17,1121.23,46.94,0
2017-03-01,1,CABORCA,488.89,869.89,-197.7,-183.3
2017-03-01,2,CABORCA,514.17,806.39,-183.99,-108.23
2017-03-01,3,CABORCA,495.57,765.41,-187.81,-82.03
2017-03-01,4,CABORCA,478.35,753.09,-190.49,-84.25
2017-03-01,5,CABORCA,536.61,816.47,-184.84,-95.03
2017-03-01,6,CABORCA,543.61,922.71,-212.97,-166.14
2017-03-01,7,CABORCA,578.84,1072.39,-232.39,-261.16
2017-03-01,8,CABORCA,1219.82,1565.32,-345.5,0
2017-03-01,9,CABORCA,1367,1692.05,-325.04,0
2017-03-01,10,CABORCA,1591.38,2099.33,-471.11,-36.84
2017-03-01,11,CABORCA,1615.29,2112.55,-497.25,0
2017-03-01,12,CABORCA,1593.57,2027.42,-433.85,0
2017-03-01,13,CABORCA,1609.37,2100.7,-424.87,-66.46
2017-03-01,14,CABORCA,1602.51,2036.48,-412.74,-21.23
2017-03-01,15,CABORCA,1661.32,2124.07,-437.26,-25.49
2017-03-01,16,CABORCA,1464.29,2127.42,-444.36,-218.77
2017-03-01,17,CABORCA,1604.84,2033.74,-427.33,-1.57
2017-03-01,18,CABORCA,1587.14,2032.79,-445.65,0
2017-03-01,19,CABORCA,1514.26,2097.87,-534.41,-49.2
2017-03-01,20,CABORCA,1652.92,2257.49,-604.57,0
2017-03-01,21,CABORCA,1576.46,2117.19,-540.73,0
2017-03-01,22,CABORCA,1320.51,1889.16,-568.65,0
2017-03-01,23,CABORCA,695.31,1731.54,-486.78,-549.44
2017-03-01,24,CABORCA,542.34,1121.23,-282.04,-296.85
2017-03-01,1,CAMARGO,737.44,869.89,-132.45,0
2017-03-01,2,CAMARGO,689.64,806.39,-116.75,0
2017-03-01,3,CAMARGO,645.76,765.41,-119.65,0
2017-03-01,4,CAMARGO,630.72,753.09,-122.37,0
2017-03-01,5,CAMARGO,687.87,816.47,-128.6,0
2017-03-01,6,CAMARGO,773.27,922.71,-149.44,0
2017-03-01,7,CAMARGO,910.33,1072.39,-162.06,0
