Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-05-16,1,ACAPULCO,1593.98,1466.98,126.98,.03
2017-05-16,2,ACAPULCO,1829.46,1657.21,172.25,0
2017-05-16,3,ACAPULCO,1800.67,1623.74,176.94,0
2017-05-16,4,ACAPULCO,1894.56,1711.69,182.87,0
2017-05-16,5,ACAPULCO,1940.47,1758.21,182.26,0
2017-05-16,6,ACAPULCO,1816.99,1644.69,172.29,0
2017-05-16,7,ACAPULCO,1804.41,1616.97,187.44,0
2017-05-16,8,ACAPULCO,1762.59,1590.32,172.28,0
2017-05-16,9,ACAPULCO,1794.18,1621.71,172.48,0
2017-05-16,10,ACAPULCO,2359.19,2138.28,221.26,-.35
2017-05-16,11,ACAPULCO,2399.9,2171.33,228.57,0
2017-05-16,12,ACAPULCO,3847.21,3487.35,360,-.15
2017-05-16,13,ACAPULCO,2416.8,2231.45,186.17,-.82
2017-05-16,14,ACAPULCO,2421.32,2217.44,204.87,-.99
2017-05-16,15,ACAPULCO,2440.56,2238.19,203.26,-.9
2017-05-16,16,ACAPULCO,3935.94,3619.66,316.29,0
2017-05-16,17,ACAPULCO,5673.97,5395.88,278.09,0
2017-05-16,18,ACAPULCO,4258.41,4053.57,204.84,0
2017-05-16,19,ACAPULCO,1687.75,1561.57,126.17,0
2017-05-16,20,ACAPULCO,1686.94,1546.23,140.71,0
2017-05-16,21,ACAPULCO,1679.13,1538.61,140.53,-.01
2017-05-16,22,ACAPULCO,1744.32,1614.7,129.69,-.07
2017-05-16,23,ACAPULCO,1766.65,1631.58,135.07,.01
2017-05-16,24,ACAPULCO,1525.33,1408.51,116.82,-.01
2017-05-16,1,AGUASCALIENTES,1490.08,1466.98,23.1,0
2017-05-16,2,AGUASCALIENTES,1683.83,1657.21,26.61,0
2017-05-16,3,AGUASCALIENTES,1644.01,1623.74,20.27,0
2017-05-16,4,AGUASCALIENTES,1737.83,1711.69,26.14,0
2017-05-16,5,AGUASCALIENTES,1783.12,1758.21,24.91,0
2017-05-16,6,AGUASCALIENTES,1658.94,1644.69,14.24,0
2017-05-16,7,AGUASCALIENTES,1614.09,1616.97,-2.88,0
2017-05-16,8,AGUASCALIENTES,1584.91,1590.32,-5.4,0
2017-05-16,9,AGUASCALIENTES,1621.7,1621.71,-.01,0
2017-05-16,10,AGUASCALIENTES,2150.47,2138.28,12.16,.03
2017-05-16,11,AGUASCALIENTES,2188.38,2171.33,17.05,0
2017-05-16,12,AGUASCALIENTES,3528.93,3487.35,41.56,.02
2017-05-16,13,AGUASCALIENTES,2268.52,2231.45,36.96,.11
2017-05-16,14,AGUASCALIENTES,2253.62,2217.44,36.05,.13
2017-05-16,15,AGUASCALIENTES,2279.16,2238.19,40.84,.12
2017-05-16,16,AGUASCALIENTES,3700.48,3619.66,80.82,0
2017-05-16,17,AGUASCALIENTES,5537.06,5395.88,141.18,0
2017-05-16,18,AGUASCALIENTES,4155.54,4053.57,101.97,0
2017-05-16,19,AGUASCALIENTES,1597.7,1561.57,36.13,0
2017-05-16,20,AGUASCALIENTES,1568.3,1546.23,22.07,0
2017-05-16,21,AGUASCALIENTES,1551.77,1538.61,13.16,0
2017-05-16,22,AGUASCALIENTES,1631.43,1614.7,16.72,0
2017-05-16,23,AGUASCALIENTES,1656.8,1631.58,25.22,0
2017-05-16,24,AGUASCALIENTES,1437.94,1408.52,29.43,0
2017-05-16,1,APATZINGAN,1525.81,1466.98,58.83,0
2017-05-16,2,APATZINGAN,1729.14,1657.21,71.93,0
2017-05-16,3,APATZINGAN,1694.82,1623.74,71.08,0
2017-05-16,4,APATZINGAN,1790.09,1711.69,78.4,0
2017-05-16,5,APATZINGAN,1835.59,1758.21,77.38,0
2017-05-16,6,APATZINGAN,1714.64,1644.69,69.95,0
2017-05-16,7,APATZINGAN,1682.46,1616.97,65.49,0
2017-05-16,8,APATZINGAN,1649.75,1590.32,59.43,0
2017-05-16,9,APATZINGAN,1682.35,1621.71,60.65,0
2017-05-16,10,APATZINGAN,2264.73,2138.27,128.65,-2.2
2017-05-16,11,APATZINGAN,2314.73,2171.33,143.41,0
2017-05-16,12,APATZINGAN,3724.65,3487.35,238.22,-.91
2017-05-16,13,APATZINGAN,2392.1,2231.44,165.73,-5.08
2017-05-16,14,APATZINGAN,2371.97,2217.44,160.61,-6.08
2017-05-16,15,APATZINGAN,2394.75,2238.19,162.12,-5.56
2017-05-16,16,APATZINGAN,3902.77,3619.66,283.11,0
2017-05-16,17,APATZINGAN,5820.84,5395.88,424.96,0
2017-05-16,18,APATZINGAN,4273.34,4053.57,219.78,0
2017-05-16,19,APATZINGAN,1645.2,1561.57,83.63,0
